Season,Squad,Total Cmp_for,Total Att_for,Total Cmp%_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Total Cmp_against,Total Cmp%_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against
2024-2025,Leganés,11207,14840,75.5,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,27,23.3,21.8,3.7,241,796,187,45,1030,16312,80.7,102752,7566,8514,88.9,6971,8047,86.6,1403,2710,51.8,34,40.9,42.8,-6.9,426,1363,325,109,1675
2024-2025,Mallorca,12613,16224,77.7,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,24,26.5,28.3,-2.5,282,973,239,112,1184,14980,80.3,92330,6786,7634,88.9,6376,7462,85.4,1438,2695,53.4,31,36.0,38.6,-5.0,423,1233,330,94,1587
2024-2025,Osasuna,12184,16028,76.0,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221,15229,80.7,97445,6895,7684,89.7,6578,7586,86.7,1433,2702,53.0,38,40.6,43.2,-2.6,349,1251,349,83,1546
2024-2025,Rayo Vallecano,13936,17861,78.0,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,27,36.2,32.2,-9.2,374,1081,242,85,1362,12793,76.5,91987,5660,6481,87.3,5397,6418,84.1,1412,2884,49.0,33,33.0,33.7,0.0,346,1064,274,81,1326
2024-2025,Real Madrid,21356,24221,88.2,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967,12981,81.7,81881,6427,7066,91.0,4989,5720,87.2,1218,2278,53.5,27,32.0,27.3,-5.0,309,1034,223,56,1168
2024-2025,Real Sociedad,14880,18759,79.3,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341,12635,77.0,84576,5620,6418,87.6,5326,6305,84.5,1400,2797,50.1,32,29.0,31.9,3.0,321,1061,236,68,1141
2024-2025,Sevilla,14432,18057,79.9,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,32,30.8,24.4,1.2,357,1072,210,60,1193,14301,79.5,88615,6318,7161,88.2,6361,7373,86.3,1337,2634,50.8,37,34.0,31.7,3.0,309,1122,235,72,1262
2024-2025,Valencia,13938,17708,78.7,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340,15307,80.6,96683,6744,7559,89.2,6698,7661,87.4,1513,2779,54.4,38,37.2,37.8,0.8,321,1184,291,92,1419
2024-2025,Valladolid,12052,15387,78.3,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991,17117,83.5,99282,7740,8497,91.1,7685,8589,89.5,1328,2457,54.0,62,46.8,44.4,15.2,449,1475,381,103,1753
2024-2025,Villarreal,14532,17825,81.5,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48.0,1.3,427,1146,371,102,1522,16617,83.4,99699,7409,8192,90.4,7220,8075,89.4,1638,2748,59.6,28,28.5,33.8,-0.5,357,1325,295,94,1597
2023-2024,Alavés,10091,14116,71.5,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260,16352,80.7,101637,7545,8460,89.2,6916,7981,86.7,1491,2870,52.0,29,29.8,34.6,-0.8,346,1223,282,76,1502
2023-2024,Almería,12774,16540,77.2,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097,15460,79.8,101064,7325,8212,89.2,6187,7240,85.5,1518,2848,53.3,56,45.3,45.1,10.7,467,1293,355,102,1644
2023-2024,Athletic Club,14509,18724,77.5,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37.0,40.3,4.0,355,1205,343,113,1610,14887,78.0,97964,6516,7486,87.0,6412,7514,85.3,1562,3003,52.0,27,32.0,29.0,-5.0,301,999,254,78,1298
2023-2024,Atlético Madrid,17064,20709,82.4,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44.0,0.6,359,1226,380,68,1597,16440,82.2,98965,7460,8271,90.2,7083,7986,88.7,1555,2770,56.1,33,29.7,32.7,3.3,342,1392,303,79,1544
2023-2024,Barcelona,21506,24761,86.9,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925,10455,75.9,77373,4978,5702,87.3,3966,4699,84.4,1202,2489,48.3,35,30.9,30.0,4.1,316,806,254,79,992
2023-2024,Betis,15310,18979,80.7,7398,8260,89.6,5944,6913,86.0,1383,2561,54.0,31,32.7,33.8,-1.7,368,1037,327,53,1441,15171,80.1,96763,7430,8311,89.4,6063,6998,86.6,1368,2619,52.2,23,32.6,32.7,-9.6,314,1142,277,88,1457
2023-2024,Cádiz,10763,14990,71.8,4837,5694,84.9,4144,5163,80.3,1455,3198,45.5,17,25.2,26.3,-8.2,292,899,219,106,1017,15783,79.3,103062,7651,8676,88.2,6204,7335,84.6,1515,2819,53.7,37,40.2,38.1,-3.2,375,1375,310,92,1679
2023-2024,Celta Vigo,13890,17776,78.1,6703,7631,87.8,5538,6545,84.6,1223,2495,49.0,35,38.2,39.1,-3.2,367,1129,293,71,1345,16975,80.8,102419,7874,8770,89.8,7062,8158,86.6,1598,2993,53.4,32,35.9,37.3,-3.9,355,1256,297,95,1535
2023-2024,Getafe,10713,15193,70.5,4641,5528,84.0,4142,5344,77.5,1625,3436,47.3,27,27.9,27.4,-0.9,324,1037,220,103,1141,14502,76.9,97400,6843,7786,87.9,5798,6956,83.4,1413,2993,47.2,37,38.0,34.2,-1.0,341,1051,276,71,1325
2023-2024,Girona,18793,21914,85.8,8986,9734,92.3,7878,8692,90.6,1460,2446,59.7,64,54.0,52.4,10.0,377,1431,362,88,1685,13335,80.4,89769,6162,6892,89.4,5439,6294,86.4,1405,2570,54.7,30,37.7,38.0,-7.7,374,1074,310,95,1277
2023-2024,Granada,12127,15976,75.9,5270,6031,87.4,5127,6099,84.1,1458,2965,49.2,27,31.1,30.4,-4.1,283,834,263,94,1044,15485,79.7,100227,7146,7984,89.5,6433,7443,86.4,1530,2949,51.9,54,43.8,39.8,10.2,355,1276,317,82,1490
2023-2024,Las Palmas,19105,22882,83.5,10201,11174,91.3,7170,8097,88.6,1145,2312,49.5,23,23.3,28.2,-0.3,295,1295,271,54,1596,11893,75.4,85461,5555,6417,86.6,4659,5572,83.6,1355,2736,49.5,33,41.8,36.0,-8.8,327,1019,240,80,1207
2023-2024,Mallorca,11476,15645,73.4,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174,15384,79.6,94062,7559,8492,89.0,5999,7074,84.8,1408,2781,50.6,29,28.5,32.9,0.5,348,1230,277,78,1399
2023-2024,Osasuna,12874,17335,74.3,5474,6420,85.3,5487,6696,81.9,1666,3277,50.8,32,28.5,31.6,3.5,301,1128,263,104,1322,14977,78.2,97973,7066,7947,88.9,6054,7238,83.6,1442,2865,50.3,44,38.3,36.0,5.7,315,1147,288,89,1427
2023-2024,Rayo Vallecano,13282,17459,76.1,5918,6783,87.2,5584,6657,83.9,1436,3063,46.9,12,24.6,25.3,-12.6,314,1082,255,81,1335,13590,76.5,96172,6551,7515,87.2,5230,6299,83.0,1406,2883,48.8,36,36.3,34.7,-0.3,354,1043,292,77,1371
2023-2024,Real Madrid,21794,24691,88.3,11641,12391,93.9,7949,8734,91.0,1624,2474,65.6,66,52.5,50.5,13.5,476,1701,391,59,1935,14072,82.2,88878,6723,7390,91.0,5703,6439,88.6,1325,2385,55.6,17,26.4,28.4,-9.4,299,995,259,92,1261
2023-2024,Real Sociedad,15263,19249,79.3,6489,7461,87.0,6923,8022,86.3,1553,2800,55.5,36,30.7,32.9,5.3,320,1133,246,63,1414,11674,74.8,80731,5319,6162,86.3,4658,5623,82.8,1358,2891,47.0,24,24.6,26.7,-0.6,263,787,207,60,941
2023-2024,Sevilla,14628,18599,78.6,6501,7367,88.2,6128,7177,85.4,1667,3111,53.6,30,31.7,32.7,-1.7,363,1207,286,134,1416,14795,79.3,97812,6814,7694,88.6,6091,7147,85.2,1505,2803,53.7,40,42.0,36.5,-2.0,382,1173,293,97,1483
2023-2024,Valencia,12233,16255,75.3,5491,6436,85.3,5177,6140,84.3,1226,2710,45.2,24,27.0,24.2,-3.0,267,886,218,72,1162,16672,80.4,108756,7313,8278,88.3,7237,8324,86.9,1754,3119,56.2,31,32.8,34.4,-1.8,299,1382,318,93,1587
2023-2024,Villarreal,15349,18637,82.4,6662,7409,89.9,6931,7828,88.5,1525,2599,58.7,47,40.5,40.4,6.5,365,1160,339,88,1558,15642,81.7,95593,7263,8043,90.3,6475,7386,87.7,1534,2794,54.9,48,40.6,44.6,7.4,408,1214,392,125,1655
2022-2023,Almería,12151,15855,76.6,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,0.5,316,846,218,81,1090,15420,79.5,96958,7336,8173,89.8,6009,7055,85.2,1644,2972,55.3,49,49.5,49.2,-0.5,423,1406,370,91,1707
2022-2023,Athletic Club,14440,18630,77.5,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816,13537,77.0,92725,6176,7079,87.2,5335,6384,83.6,1644,3105,52.9,28,26.9,27.7,1.1,286,913,253,70,1212
2022-2023,Atlético Madrid,16814,20488,82.1,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.0,40.0,3.0,418,1200,335,68,1571,16384,81.8,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,22,31.3,31.5,-9.3,331,1304,267,93,1634
2022-2023,Barcelona,21298,24733,86.1,10267,11175,91.9,8599,9543,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,482,104,2182,10316,75.0,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,10,23.0,21.6,-13.0,244,747,198,61,955
2022-2023,Betis,14678,18249,80.4,7288,8070,90.3,5334,6273,85.0,1432,2667,53.7,26,34.6,31.7,-8.6,310,988,270,54,1272,14220,79.2,95359,6584,7458,88.3,5828,6839,85.2,1478,2672,55.3,28,37.0,35.7,-9.0,326,1182,302,86,1571
2022-2023,Cádiz,9940,13952,71.2,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.7,24.7,-7.7,269,830,192,93,969,15630,79.9,103054,7208,8097,89.0,6172,7272,84.9,1772,3099,57.2,32,38.4,40.0,-6.4,393,1364,339,96,1739
2022-2023,Celta Vigo,14700,18499,79.5,6259,7148,87.6,6536,7569,86.4,1565,2844,55.0,31,30.8,31.6,0.2,353,1143,274,77,1403,14618,79.4,95274,6485,7336,88.4,6036,7073,85.3,1704,2985,57.1,35,30.5,29.2,4.5,279,1132,218,89,1297
2022-2023,Elche,12051,15758,76.5,5427,6202,87.5,4762,5677,83.9,1477,2793,52.9,21,27.1,26.2,-6.1,313,941,211,82,1197,15598,81.1,100384,7007,7840,89.4,6508,7501,86.8,1682,2859,58.8,44,48.7,43.7,-4.7,416,1340,325,92,1615
2022-2023,Espanyol,10827,14698,73.7,4483,5312,84.4,4607,5640,81.7,1483,2971,49.9,31,35.0,30.2,-4.0,319,906,233,83,1146,15807,80.6,101521,7448,8318,89.5,6120,7171,85.3,1742,3004,58.0,47,44.6,40.9,2.4,426,1297,324,92,1634
2022-2023,Getafe,9690,14126,68.6,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24.0,-1.5,248,844,214,94,1003,17070,79.4,104475,7505,8488,88.4,7300,8503,85.9,1833,3374,54.3,29,31.0,32.4,-2.0,360,1296,254,86,1519
2022-2023,Girona,15146,18604,81.4,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.5,35.4,3.5,366,1086,265,91,1378,14391,80.3,90467,6386,7118,89.7,6021,6982,86.2,1573,2822,55.7,39,38.6,38.5,0.4,377,1220,296,95,1439
2022-2023,Mallorca,10451,14261,73.3,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,0.5,252,815,182,69,948,16934,81.6,97924,7875,8733,90.2,7059,8172,86.4,1588,2872,55.3,31,31.8,35.9,-0.8,378,1539,332,115,1706
2022-2023,Osasuna,12725,16835,75.6,5565,6377,87.3,5130,6255,82.0,1759,3323,52.9,30,28.4,31.7,1.6,322,1140,271,114,1356,14139,77.7,94725,6318,7230,87.4,5956,7018,84.9,1573,2988,52.6,29,34.8,34.3,-5.8,326,1049,277,77,1371
2022-2023,Rayo Vallecano,13497,17666,76.4,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30.0,29.7,-1.0,386,1247,269,102,1390,12926,75.9,93838,6099,6948,87.8,4988,6083,82.0,1497,2986,50.1,34,36.8,30.9,-2.8,330,963,252,70,1231
2022-2023,Real Madrid,22082,25012,88.3,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017,13004,81.3,85520,6326,6960,90.9,4976,5716,87.1,1292,2373,54.4,21,27.8,26.3,-6.8,317,1013,248,63,1189
2022-2023,Real Sociedad,15324,19134,80.1,6955,7910,87.9,6451,7502,86.0,1505,2659,56.6,36,39.7,36.4,-3.7,346,1145,290,65,1483,12130,75.4,81534,5571,6377,87.4,4694,5669,82.8,1456,3002,48.5,26,24.8,26.4,1.2,300,873,222,78,1025
2022-2023,Sevilla,15379,19193,80.1,7106,7918,89.7,6324,7354,86.0,1599,2958,54.1,31,32.0,34.0,-1.0,341,1230,302,95,1513,13660,78.9,89019,6107,6903,88.5,5592,6545,85.4,1572,2903,54.2,40,42.0,34.1,-2.0,397,1136,274,101,1275
2022-2023,Valencia,13592,17492,77.7,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,12580,76.9,88530,5588,6399,87.3,5099,6072,84.0,1540,2918,52.8,34,32.3,32.3,1.7,289,986,232,51,1225
2022-2023,Valladolid,12627,16425,76.9,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244,13635,78.1,96442,6612,7546,87.6,5113,6088,84.0,1511,2794,54.1,46,46.7,43.0,-0.7,455,1184,346,94,1486
2022-2023,Villarreal,16634,19862,83.7,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622,12047,78.6,84062,5567,6240,89.2,4683,5572,84.0,1447,2598,55.7,29,35.7,30.5,-6.7,343,969,278,84,1242
2021-2022,Alavés,9676,14175,68.3,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3,20,25.5,22.8,-5.5,260,835,199,84,984,15404,77.4,102045,7074,8103,87.3,5979,7189,83.2,1768,3310,53.4,48,42.0,47.0,6.0,384,1127,342,92,1568
2021-2022,Athletic Club,12947,17283,74.9,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8,34,37.5,36.0,-3.5,351,1056,306,82,1572,14696,77.6,100413,6260,7140,87.7,5962,7115,83.8,2048,3642,56.2,26,27.7,31.5,-1.7,332,1026,253,82,1379
2021-2022,Atlético Madrid,15076,19098,78.9,7378,8289,89.0,5269,6266,84.1,1640,3060,53.6,45,40.2,39.6,4.8,347,989,325,66,1463,14882,79.1,93187,6571,7450,88.2,6101,7135,85.5,1763,3155,55.9,28,20.8,21.6,7.2,250,1068,187,47,1320
2021-2022,Barcelona,21489,25006,85.9,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9,52,47.6,54.7,4.4,402,1698,390,99,2079,10460,75.2,80066,4733,5441,87.0,3959,4789,82.7,1381,2671,51.7,27,24.7,23.3,2.3,265,750,214,60,938
2021-2022,Betis,15702,19444,80.8,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1,45,37.7,35.1,7.3,395,1136,294,51,1518,13052,77.1,89082,5986,6800,88.0,5058,6097,83.0,1531,2849,53.7,29,30.2,31.0,-1.2,308,1011,253,79,1375
2021-2022,Cádiz,10136,14415,70.3,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1,21,24.6,28.9,-3.6,277,829,233,120,1080,16729,80.5,107898,7875,8901,88.5,6714,7838,85.7,1663,2923,56.9,31,30.4,35.0,0.6,357,1481,336,92,1805
2021-2022,Celta Vigo,16007,20591,77.7,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6,29,28.8,31.6,0.2,286,1105,285,84,1447,12362,74.0,91488,5369,6407,83.8,4961,6088,81.5,1613,3048,52.9,29,28.7,27.2,0.3,293,989,257,80,1251
2021-2022,Elche,12948,16836,76.9,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6,29,27.6,24.8,1.4,261,861,204,78,1102,14329,78.7,92494,6340,7186,88.2,5813,6829,85.1,1633,2988,54.7,41,41.7,38.2,-0.7,372,1095,327,109,1477
2021-2022,Espanyol,13360,16919,79.0,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4,25,25.8,24.8,-0.8,300,993,212,59,1212,15516,80.3,98608,7112,7983,89.1,6148,7212,85.2,1748,2957,59.1,39,36.7,43.5,2.3,367,1282,378,102,1705
2021-2022,Getafe,10278,14607,70.4,4550,5489,82.9,3938,5092,77.3,1516,3176,47.7,26,19.4,19.7,6.6,288,808,166,73,917,16725,79.1,104030,7102,8082,87.9,6938,8090,85.8,2111,3622,58.3,30,27.4,29.1,2.6,299,1096,270,78,1521
2021-2022,Granada,10582,14889,71.1,4550,5400,84.3,4234,5295,80.0,1460,3218,45.4,28,26.7,25.9,1.3,306,840,205,82,1047,14611,77.5,98808,6498,7472,87.0,5971,7050,84.7,1731,3199,54.1,46,44.6,41.8,1.4,426,1217,347,111,1611
2021-2022,Levante,12584,16422,76.6,5742,6544,87.7,4982,5929,84.0,1501,2917,51.5,34,31.7,25.8,2.3,318,968,254,63,1343,14699,79.0,93473,7006,7884,88.9,5539,6557,84.5,1615,3015,53.6,59,41.2,41.1,17.8,393,1056,300,69,1448
2021-2022,Mallorca,11046,15023,73.5,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,25.7,28.3,-2.7,303,806,235,64,1129,14388,77.9,94635,6448,7397,87.2,5850,6917,84.6,1606,3001,53.5,40,33.8,36.9,6.2,329,1078,316,107,1379
2021-2022,Osasuna,11904,16522,72.0,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,22.9,27.6,0.1,297,1099,298,124,1328,14630,76.4,91704,6586,7550,87.2,5894,7112,82.9,1602,3263,49.1,37,32.5,31.0,4.5,335,1016,271,70,1330
2021-2022,Rayo Vallecano,12747,16933,75.3,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,30.7,35.8,-2.7,359,1012,267,109,1312,12928,74.9,96786,5832,6766,86.2,5108,6181,82.6,1591,3174,50.1,33,34.7,33.7,-1.7,313,1058,267,63,1330
2021-2022,Real Madrid,21373,24517,87.2,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,50.7,55.1,8.3,526,1694,455,57,2078,13258,80.6,88823,6260,6951,90.1,5038,5817,86.6,1529,2706,56.5,20,32.2,33.4,-12.2,319,1027,246,77,1257
2021-2022,Real Sociedad,15403,19304,79.8,6964,7887,88.3,6383,7429,85.9,1569,2800,56.0,22,32.9,35.0,-10.9,313,1067,315,69,1462,12311,75.6,82705,5444,6285,86.6,4887,5872,83.2,1509,2989,50.5,28,28.1,29.8,-0.1,318,949,246,75,1206
2021-2022,Sevilla,18327,22234,82.4,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7,40,32.5,34.6,7.5,342,1207,305,112,1596,11300,74.9,79517,5021,5924,84.8,4475,5445,82.2,1367,2778,49.2,19,25.0,29.4,-6.0,298,900,239,67,1182
2021-2022,Valencia,9627,13777,69.9,3923,4782,82.0,3835,4951,77.5,1506,3098,48.6,30,25.4,27.4,4.6,288,900,256,75,1202,13730,76.6,96311,6345,7234,87.7,5254,6418,81.9,1618,3095,52.3,34,32.3,30.7,1.7,330,1061,275,77,1392
2021-2022,Villarreal,16679,20401,81.8,7388,8290,89.1,7135,8109,88.0,1669,2743,60.8,51,50.9,49.9,0.1,363,1278,349,66,1698,11881,76.0,79444,5234,5996,87.3,4744,5663,83.8,1462,2897,50.5,20,30.2,28.2,-10.2,294,894,229,80,1095
2020-2021,Alavés,10217,14390,71.0,4465,5486,81.4,4015,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,939,15323,78.1,93122,6945,7955,87.3,6055,7146,84.7,1778,3256,54.6,44,37.1,34.2,6.9,292,1086,299,78,1479
2020-2021,Athletic Club,13577,17841,76.1,5872,6901,85.1,5484,6607,83.0,1791,3120,57.4,31,31.0,27.9,0.0,303,1054,284,79,1496,14283,78.0,93431,6622,7507,88.2,5355,6400,83.7,1797,3229,55.7,29,27.1,30.0,1.9,282,1022,280,94,1380
2020-2021,Atlético Madrid,16757,20680,81.0,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604,15160,79.6,90693,6763,7647,88.4,5993,6942,86.3,1807,3152,57.3,15,27.7,28.9,-12.7,271,1175,243,77,1394
2020-2021,Barcelona,25192,28488,88.4,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157,11743,78.2,80182,5511,6256,88.1,4485,5238,85.6,1354,2515,53.8,20,25.4,25.7,-5.4,234,806,223,56,1038
2020-2021,Betis,15816,19679,80.4,7406,8310,89.1,6094,7035,86.6,1673,3002,55.7,35,33.4,30.5,1.6,335,1048,297,80,1442,13194,76.6,88022,5750,6649,86.5,5379,6415,83.9,1595,2971,53.7,31,30.1,29.1,0.9,259,928,245,68,1311
2020-2021,Cádiz,7949,12067,65.9,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854,18990,82.1,109780,8929,9933,89.9,7698,8790,87.6,1736,2988,58.1,41,39.3,44.2,1.7,340,1523,367,100,1881
2020-2021,Celta Vigo,15176,19318,78.6,6912,7946,87.0,6117,7188,85.1,1552,2914,53.3,39,36.7,32.0,2.3,267,978,248,48,1308,12833,75.7,90752,5767,6732,85.7,4864,5911,82.3,1703,3093,55.1,37,35.7,33.2,1.3,285,965,248,79,1249
2020-2021,Eibar,11810,16890,69.9,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295,12572,71.2,96981,5489,6648,82.6,4928,6296,78.3,1719,3524,48.8,40,35.2,26.3,4.8,264,842,230,62,1056
2020-2021,Elche,13481,17054,79.0,6024,6751,89.2,5311,6194,85.7,1653,3001,55.1,25,21.8,19.8,3.2,190,785,148,79,929,15678,81.5,94332,6907,7794,88.6,6608,7543,87.6,1700,2817,60.3,43,44.0,42.8,-1.0,369,1247,346,84,1647
2020-2021,Getafe,8977,13863,64.8,4043,5155,78.4,3111,4340,71.7,1417,3219,44.0,14,23.6,24.0,-9.6,261,863,225,102,1090,14007,74.6,98526,6282,7408,84.8,5491,6728,81.6,1739,3372,51.6,26,25.8,23.2,0.2,223,935,204,58,1195
2020-2021,Granada,9083,13336,68.1,3915,4776,82.0,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,3.2,224,813,173,58,975,15039,78.0,97780,6817,7821,87.2,5922,7064,83.8,1751,3151,55.6,41,38.2,36.5,2.8,363,1126,324,96,1449
2020-2021,Huesca,13511,17483,77.3,5695,6489,87.8,5786,6819,84.9,1679,3199,52.5,23,26.6,25.3,-3.6,295,898,221,113,1185,15344,79.7,98942,6855,7746,88.5,6087,7054,86.3,1841,3242,56.8,37,35.6,32.8,1.4,324,1211,298,93,1447
2020-2021,Levante,14189,18113,78.3,6357,7201,88.3,5757,6801,84.6,1695,3077,55.1,35,29.6,30.0,5.4,286,1087,306,83,1537,13052,76.9,89708,5779,6636,87.1,5179,6169,84.0,1628,3057,53.3,42,40.0,33.1,2.0,356,966,304,80,1299
2020-2021,Osasuna,10233,15031,68.1,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,0.1,259,968,261,101,1220,15379,76.1,95911,7198,8271,87.0,5912,7233,81.7,1696,3425,49.5,31,33.2,35.8,-2.2,322,1070,321,89,1525
2020-2021,Real Madrid,20652,24119,85.6,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,5.6,438,1525,401,77,1920,13187,79.1,87915,6262,7020,89.2,4926,5792,85.0,1484,2710,54.8,17,24.4,24.5,-7.4,269,956,250,85,1157
2020-2021,Real Sociedad,14915,18995,78.5,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1554,11867,75.0,82039,5271,6122,86.1,4510,5447,82.8,1613,3088,52.2,24,26.1,25.4,-2.1,251,805,213,65,1011
2020-2021,Sevilla,19248,22873,84.2,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41.0,40.1,-5.0,387,1234,346,122,1627,11221,75.5,81513,5104,5905,86.4,4222,5116,82.5,1428,2771,51.5,20,22.5,21.7,-2.5,244,839,209,62,1103
2020-2021,Valencia,12755,16480,77.4,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.2,24.8,7.8,283,926,239,62,1180,15047,79.4,91502,7083,7920,89.4,5712,6772,84.3,1694,3074,55.1,29,33.8,37.1,-4.8,392,1295,342,91,1644
2020-2021,Valladolid,11145,15385,72.4,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,1101,14587,77.5,100052,6525,7550,86.4,5667,6782,83.6,1826,3220,56.7,44,38.3,37.0,5.7,346,1153,326,94,1549
2020-2021,Villarreal,17508,21129,82.9,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628,13685,78.6,86192,6311,7095,88.9,5245,6202,84.6,1561,2877,54.3,25,26.2,27.2,-1.2,290,956,273,106,1227
2019-2020,Alavés,9612,13973,68.8,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22.0,-6.9,236,723,171,56,944,15671,77.9,97858,6754,7797,86.6,6374,7561,84.3,1942,3427,56.7,36,37.1,32.4,-1.1,332,1139,283,72,1548
2019-2020,Athletic Club,12533,16915,74.1,5521,6494,85.0,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,1291,13649,75.5,93027,6206,7231,85.8,5280,6511,81.1,1666,3162,52.7,26,34.6,32.0,-8.6,288,1019,267,84,1390
2019-2020,Atlético Madrid,13595,17765,76.5,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1333,14900,77.9,93423,6444,7434,86.7,5943,7046,84.3,2007,3500,57.3,15,22.9,25.5,-7.9,299,1203,225,68,1523
