Season,Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won%_against
2020-2021,Getafe,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0,106,6,5,549,589,87,566,390,313,6,5,1,1948,53.0
2020-2021,Granada,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2,104,6,3,493,501,53,764,359,313,10,5,0,1862,55.8
2020-2021,Huesca,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2,64,2,1,554,496,74,691,323,309,3,4,2,1870,50.8
2020-2021,Levante,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,46.6,87,7,2,430,483,99,683,433,334,2,6,1,1964,53.4
2020-2021,Osasuna,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3,65,0,0,439,507,96,800,338,309,6,6,1,2115,44.7
2020-2021,Real Madrid,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8,87,3,1,493,384,39,637,380,295,4,3,3,1748,46.2
2020-2021,Real Sociedad,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8,91,6,2,495,532,89,533,379,311,4,12,1,1875,50.2
2020-2021,Sevilla,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5,109,1,0,510,458,34,680,407,306,4,7,1,1769,46.5
2020-2021,Valencia,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1,99,5,2,560,433,73,858,391,295,4,10,2,1941,48.9
2020-2021,Valladolid,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4,96,2,0,543,474,70,775,368,314,4,8,0,1948,56.6
2020-2021,Villarreal,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6,78,4,2,496,424,76,777,416,324,7,13,3,1917,50.4
2019-2020,Alavés,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,56.0,87,3,2,472,573,92,695,329,347,7,6,0,1939,44.0
2019-2020,Athletic Club,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,57.2,89,0,0,475,491,71,737,327,313,6,10,1,1861,42.8
2019-2020,Atlético Madrid,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,53.4,113,4,1,506,474,34,728,384,355,3,8,1,1869,46.6
2019-2020,Barcelona,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,55.6,89,4,2,563,387,68,560,525,361,4,6,2,1824,44.4
2019-2020,Betis,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,50.9,111,5,3,610,430,125,708,364,374,8,8,0,1723,49.1
2019-2020,Celta Vigo,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,49.7,119,5,2,571,444,66,783,384,348,3,9,0,1982,50.3
2019-2020,Eibar,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,47.2,70,2,2,451,475,121,630,342,331,4,10,1,1931,52.8
2019-2020,Espanyol,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,48.1,75,6,3,510,539,71,646,367,305,3,4,2,1924,51.9
2019-2020,Getafe,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,47.2,122,11,4,537,656,143,505,384,292,6,7,1,1948,52.8
2019-2020,Granada,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,46.8,116,7,3,544,562,75,724,333,302,5,5,2,1837,53.2
2019-2020,Leganés,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,47.4,105,5,2,541,550,68,636,332,339,6,5,0,1846,52.6
2019-2020,Levante,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,47.6,96,1,1,495,440,86,854,321,349,5,5,2,1969,52.4
2019-2020,Mallorca,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,46.5,118,4,4,565,465,54,737,383,393,12,10,1,1962,53.5
2019-2020,Osasuna,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,50.1,83,4,2,453,515,120,666,406,316,3,8,0,2071,49.9
2019-2020,Real Madrid,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,55.9,87,1,0,509,456,64,621,374,352,2,11,1,1851,44.1
2019-2020,Real Sociedad,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,53.4,101,7,5,528,458,95,590,409,359,5,5,2,1880,46.6
2019-2020,Sevilla,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,51.8,100,5,2,516,486,66,606,430,380,2,7,1,1883,48.2
2019-2020,Valencia,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,47.9,90,4,3,568,386,57,826,372,288,5,8,1,1914,52.1
2019-2020,Valladolid,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,44.7,95,4,2,575,450,46,781,300,331,5,6,1,1958,55.3
2019-2020,Villarreal,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,46.3,84,5,4,456,449,90,838,369,337,7,11,1,1921,53.7
2018-2019,Alavés,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3,93,2,0,525,528,91,800,364,330,3,3,0,2010,50.7
2018-2019,Athletic Club,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1,106,2,2,522,554,79,654,355,402,4,7,2,1965,43.9
2018-2019,Atlético Madrid,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5,95,3,2,477,448,21,692,436,383,3,4,2,2037,46.5
2018-2019,Barcelona,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2,102,5,3,572,379,68,578,545,435,1,9,2,1963,44.8
2018-2019,Betis,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8,123,7,4,585,418,101,594,424,392,4,7,1,1852,50.2
2018-2019,Celta Vigo,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0,89,2,1,515,436,78,745,361,379,7,7,1,1905,48.0
2018-2019,Eibar,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5,76,2,1,428,482,162,518,474,393,3,8,0,2105,50.5
2018-2019,Espanyol,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4,111,6,5,540,504,78,822,420,382,6,4,5,1978,49.6
2018-2019,Getafe,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9,109,5,3,529,588,117,594,342,389,4,6,1,2076,53.1
2018-2019,Girona,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8,116,7,3,551,509,74,747,407,366,7,6,0,2036,50.2
2018-2019,Huesca,114,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,49.3,86,4,3,466,553,109,692,374,399,8,7,0,2043,50.7
2018-2019,Leganés,106,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9,90,3,1,428,515,58,737,351,342,3,5,1,1896,44.1
2018-2019,Levante,112,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1,92,7,3,511,474,72,747,397,480,7,7,3,2046,54.9
2018-2019,Rayo Vallecano,106,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7,73,3,1,481,536,140,722,371,491,9,5,1,2047,52.3
2018-2019,Real Madrid,83,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5,93,3,3,568,417,91,533,449,397,5,9,2,1929,47.5
2018-2019,Real Sociedad,82,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8,107,3,2,570,463,73,743,390,478,3,10,1,2060,48.2
2018-2019,Sevilla,118,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3,99,3,2,494,513,93,662,444,396,4,6,2,1912,52.7
2018-2019,Valencia,90,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,49.0,113,4,4,540,432,70,781,448,377,4,7,1,2026,51.0
2018-2019,Valladolid,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,41.1,106,5,5,561,490,65,801,395,347,6,7,1,2050,58.9
2018-2019,Villarreal,118,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,49.4,84,2,0,443,495,87,820,439,359,4,6,2,1948,50.6
2017-2018,Alavés,109,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2,84,4,2,545,566,59,805,422,462,7,3,0,2052,49.8
2017-2018,Athletic Club,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0,106,8,6,513,509,96,644,422,449,6,8,2,2135,46.0
2017-2018,Atlético Madrid,96,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7,98,0,0,507,517,24,694,488,494,4,5,1,2187,49.3
2017-2018,Barcelona,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5,99,4,1,547,369,99,534,618,517,1,5,3,2055,45.5
2017-2018,Betis,91,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7,96,4,2,516,448,131,754,448,405,3,3,4,2061,50.3
2017-2018,Celta Vigo,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0,97,1,0,572,399,73,669,495,426,4,3,2,2086,49.0
2017-2018,Eibar,86,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2,78,6,4,470,456,156,473,510,435,3,3,1,2066,48.8
2017-2018,Espanyol,88,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5,113,3,2,555,495,80,715,433,443,4,3,3,2100,51.5
2017-2018,Getafe,134,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6,107,3,1,517,645,109,694,515,480,4,12,1,2160,57.4
2017-2018,Girona,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9,112,3,1,520,589,129,614,396,439,5,8,0,1948,48.1
2017-2018,La Coruña,100,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9,75,2,2,461,494,83,756,491,431,5,5,0,2085,51.1
2017-2018,Las Palmas,89,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7,103,7,5,694,460,114,666,506,514,5,8,0,2163,53.3
2017-2018,Leganés,105,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,51.0,82,4,4,526,568,90,638,432,474,5,3,2,2229,49.0
2017-2018,Levante,111,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6,93,6,4,466,527,113,741,454,522,6,5,1,2030,54.4
2017-2018,Málaga,101,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9,76,0,0,472,583,137,695,452,509,7,6,1,2107,55.1
2017-2018,Real Madrid,67,4,2,436,517,115,904,424,470,9,4,2,2087,406,369,52.4,97,3,1,531,421,76,531,486,418,3,10,3,1891,47.6
2017-2018,Real Sociedad,64,5,4,419,538,91,782,446,374,5,8,1,2038,498,467,51.6,94,1,1,556,391,89,596,489,510,5,5,2,1910,48.4
2017-2018,Sevilla,99,3,2,562,493,137,657,409,535,3,8,1,2129,582,504,53.6,80,3,3,527,537,74,684,467,471,6,5,1,2076,46.4
2017-2018,Valencia,107,5,4,518,548,83,605,459,492,7,5,0,2023,534,460,53.7,97,5,3,561,494,82,787,542,488,3,8,2,2033,46.3
2017-2018,Villarreal,117,6,4,598,458,111,517,427,466,5,8,0,2021,553,533,50.9,83,4,2,475,571,109,873,518,440,7,5,1,2047,49.1
2024-2025-femenino,Athletic Club,42,1,0,293,314,51,515,249,318,4,1,3,1245,233,244,48.8,47,1,0,323,281,46,522,301,432,1,4,2,1343,51.3
2024-2025-femenino,Atlético Madrid,50,1,0,336,271,65,541,287,329,2,1,1,1379,243,189,56.3,55,2,1,279,326,51,455,330,416,1,2,3,1300,43.8
2024-2025-femenino,Barcelona,20,0,0,203,193,72,878,217,330,5,0,0,1570,225,131,63.2,27,2,1,199,190,60,113,375,359,0,7,1,924,36.6
2024-2025-femenino,Dep La Coruña,45,1,0,277,286,36,297,300,365,2,1,1,1220,197,250,44.1,61,2,1,302,260,75,760,282,368,1,2,1,1422,56.6
2024-2025-femenino,Eibar,43,1,0,271,274,53,365,322,363,2,2,0,1128,347,348,49.9,41,2,1,291,255,94,597,205,337,1,4,0,1388,49.9
2024-2025-femenino,Espanyol,66,4,3,348,270,60,431,376,428,1,7,2,1227,237,268,46.9,63,3,0,289,325,55,481,218,370,5,2,1,1281,53.4
2024-2025-femenino,Granada,50,1,0,304,270,77,678,313,387,3,3,2,1383,297,244,54.9,39,0,0,289,292,46,422,271,341,2,5,1,1339,45.3
2024-2025-femenino,Levante,49,4,3,294,294,55,443,310,432,2,4,0,1343,205,245,45.6,45,2,1,310,284,41,533,345,392,3,2,0,1336,54.3
2024-2025-femenino,Levante Planas,60,1,1,330,296,61,368,284,350,5,2,1,1402,160,231,40.9,57,1,0,313,313,98,441,339,471,1,6,0,1352,59.2
2024-2025-femenino,Madrid CFF,39,0,0,266,280,64,442,315,388,0,4,1,1317,227,183,55.4,46,1,1,295,251,43,469,341,300,1,1,1,1386,44.7
2024-2025-femenino,Real Betis,71,3,1,297,334,52,353,267,418,2,6,3,1374,178,272,39.6,61,1,0,358,285,117,608,337,440,4,2,1,1578,60.4
2024-2025-femenino,Real Madrid,38,0,0,257,260,78,634,311,336,5,5,3,1437,205,188,52.2,47,2,0,275,247,62,348,297,369,5,8,4,1237,47.8
2024-2025-femenino,Real Sociedad,44,3,1,291,303,95,486,236,393,1,6,2,1397,202,196,50.8,50,2,1,314,280,44,409,359,418,6,2,2,1266,49.9
2024-2025-femenino,Sevilla,60,4,1,302,288,55,381,365,408,1,3,0,1283,202,258,43.9,40,1,0,296,290,77,537,292,379,2,1,1,1432,56.3
2024-2025-femenino,UDG Tenerife,43,2,0,365,306,96,479,332,370,4,4,0,1265,313,262,54.4,46,2,1,319,339,31,514,244,375,3,4,1,1264,45.8
2024-2025-femenino,Valencia,62,1,1,336,304,57,498,347,477,3,7,1,1232,286,239,54.5,57,3,3,318,325,87,580,295,325,6,4,1,1354,45.4
