Season,Squad,Unnamed: 3_level_0 Poss_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Unnamed: 3_level_0 Poss_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against
2021-2022,Athletic Club,48.1,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,51.9,35,26,61,32,3,3,105,9,38.4,36.0,27.7,63.7,586,1379
2021-2022,Atlético Madrid,50.6,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,49.4,40,28,68,33,7,8,102,4,33.4,27.4,20.8,48.2,495,1320
2021-2022,Barcelona,64.2,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,35.2,38,27,65,36,2,3,93,5,34.4,32.1,24.7,56.8,448,938
2021-2022,Betis,53.7,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,45.9,38,29,67,35,3,3,74,3,43.4,41.1,30.2,71.3,686,1375
2021-2022,Cádiz,41.3,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,59.1,51,31,82,40,11,13,98,6,48.3,38.2,30.4,68.5,735,1805
2021-2022,Celta Vigo,55.2,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,44.4,41,29,70,37,4,8,103,5,45.7,39.4,28.7,68.0,547,1251
2021-2022,Elche,48.4,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,51.6,52,41,93,45,7,9,80,2,59.1,52.1,41.7,93.8,657,1477
2021-2022,Espanyol,46.9,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,52.9,51,39,90,47,4,5,120,7,51.2,47.3,36.7,84.1,800,1705
2021-2022,Getafe,41.5,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,58.8,40,30,70,38,2,4,110,4,38.6,35.5,27.4,63.0,612,1521
2021-2022,Granada,44.7,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,66.0,59,46,105,52,7,9,101,9,61.2,54.6,44.6,99.2,706,1611
2021-2022,Levante,47.2,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,53.1,76,59,135,71,5,6,104,5,55.0,50.2,41.2,91.4,716,1448
2021-2022,Mallorca,45.3,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,54.9,59,40,99,53,6,8,114,6,49.3,43.0,33.8,76.8,650,1379
2021-2022,Osasuna,46.9,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,53.3,49,37,86,45,4,7,73,1,46.3,40.8,32.5,73.2,722,1330
2021-2022,Rayo Vallecano,49.9,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,50.1,49,33,82,42,7,9,110,3,48.4,41.5,34.7,76.1,603,1330
2021-2022,Real Madrid,59.9,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,34.0,31,20,51,28,3,5,82,3,43.9,39.8,32.2,72.0,632,1257
2021-2022,Real Sociedad,54.3,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,45.3,37,28,65,32,5,6,95,2,38.7,34.0,28.1,62.1,587,1206
2021-2022,Sevilla,59.4,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,40.2,30,19,49,28,2,4,98,4,36.9,33.8,25.0,58.9,521,1182
2021-2022,Valencia,43.6,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,56.4,50,34,84,43,7,8,133,7,47.7,41.6,32.3,73.8,597,1392
2021-2022,Villarreal,56.8,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,43.0,36,20,56,32,4,5,98,3,44.8,41.1,30.2,71.4,583,1095
2020-2021,Alavés,42.8,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,57.3,57,44,101,54,3,3,80,3,49.9,47.5,37.1,84.7,632,1479
2020-2021,Athletic Club,49.9,43,31,74,39,4,5,82,3,42.8,38.9,31.0,70.0,685,1496,50.2,41,29,70,36,5,6,80,5,37.5,32.9,27.1,60.0,589,1380
2020-2021,Atlético Madrid,52.3,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,47.6,22,15,37,21,1,4,59,3,37.1,34.0,27.7,61.7,557,1394
2020-2021,Barcelona,65.5,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,45.0,36,20,56,31,5,5,76,6,40.8,36.9,25.4,62.3,529,1038
2020-2021,Betis,53.6,50,35,85,42,8,11,93,8,49.1,40.6,33.4,74.0,694,1442,46.1,47,31,78,39,8,10,83,2,46.8,39.2,30.1,69.3,551,1311
2020-2021,Cádiz,34.8,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,65.7,57,41,98,48,9,10,87,4,55.4,47.6,39.3,86.9,820,1881
2020-2021,Celta Vigo,53.3,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,46.3,56,37,93,49,7,8,102,6,51.0,45.0,35.7,80.7,578,1249
2020-2021,Eibar,49.3,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,50.4,52,40,92,49,3,5,66,2,45.7,41.7,35.2,77.0,446,1056
2020-2021,Elche,47.5,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,501,929,52.4,54,43,97,48,6,10,79,2,60.9,53.2,44.0,97.2,702,1647
2020-2021,Getafe,43.3,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,57.2,40,26,66,33,7,8,106,6,40.3,34.0,25.8,59.8,454,1195
2020-2021,Granada,41.4,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,59.0,64,41,105,58,6,12,104,6,56.2,46.8,38.2,85.0,636,1449
2020-2021,Huesca,48.3,32,23,55,29,3,4,69,2,38.7,35.9,26.6,62.5,617,1185,51.7,51,37,88,46,5,5,64,2,48.1,44.3,35.6,80.0,657,1447
2020-2021,Levante,52.2,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,621,1537,47.6,55,42,97,52,3,4,87,7,53.5,50.6,40.0,90.6,625,1299
2020-2021,Osasuna,43.2,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,56.9,46,31,77,41,5,8,65,0,47.8,41.5,33.2,74.6,678,1525
2020-2021,Real Madrid,59.3,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,40.3,27,17,44,20,7,8,87,3,37.6,31.3,24.4,55.7,545,1157
2020-2021,Real Sociedad,54.9,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,44.9,37,24,61,34,3,5,91,6,39.2,35.3,26.1,61.4,436,1011
2020-2021,Sevilla,60.9,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,55.0,31,20,51,27,4,6,109,1,34.8,30.1,22.5,52.6,544,1103
2020-2021,Valencia,46.9,48,35,83,40,8,10,82,5,42.6,34.8,27.2,62.1,576,1180,53.1,51,29,80,46,5,8,99,5,52.2,46.2,33.8,80.0,713,1644
2020-2021,Valladolid,45.2,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,54.9,57,44,101,51,6,7,96,2,52.9,47.4,38.3,85.6,693,1549
2020-2021,Villarreal,55.2,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,44.4,42,25,67,35,7,9,78,4,42.5,35.6,26.2,61.8,635,1227
2019-2020,Alavés,41.5,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,58.5,59,36,95,47,12,15,87,3,57.8,46.3,37.1,83.5,656,1548
2019-2020,Athletic Club,48.7,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,51.3,36,26,62,31,5,7,89,0,48.8,43.7,34.6,78.3,615,1390
2019-2020,Atlético Madrid,48.6,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,51.4,24,15,39,21,3,4,113,4,32.5,29.5,22.9,52.5,619,1523
2019-2020,Barcelona,66.4,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,33.6,38,21,59,32,6,7,89,4,38.3,32.9,23.6,56.5,576,1003
2019-2020,Betis,56.7,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,43.3,59,40,99,48,11,11,111,5,54.8,46.2,36.1,82.3,613,1263
2019-2020,Celta Vigo,51.7,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,48.4,49,31,80,44,5,5,119,5,45.3,41.4,33.4,74.7,679,1436
2019-2020,Eibar,46.3,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,53.7,55,38,93,51,4,6,70,2,53.0,48.4,40.0,88.5,561,1177
2019-2020,Espanyol,47.4,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,52.6,56,35,91,50,6,7,75,6,51.0,45.8,34.9,80.8,688,1452
2019-2020,Getafe,45.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,55.0,35,21,56,30,5,6,122,11,41.4,36.7,29.5,66.1,376,1089
2019-2020,Granada,43.8,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,56.2,45,37,82,41,4,5,116,7,42.6,38.6,33.1,71.7,672,1397
2019-2020,Leganés,43.9,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,56.1,50,34,84,44,6,7,105,5,42.8,37.4,29.7,67.1,632,1423
2019-2020,Levante,48.3,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,51.7,51,40,91,48,3,7,96,1,62.9,57.4,47.2,104.7,741,1499
2019-2020,Mallorca,45.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,55.0,64,39,103,49,15,16,118,4,63.5,51.2,43.2,94.4,774,1681
2019-2020,Osasuna,47.4,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,52.6,54,39,93,49,5,5,83,4,49.4,45.5,35.9,81.4,581,1311
2019-2020,Real Madrid,58.8,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,41.2,25,21,46,23,2,2,87,1,33.3,31.7,23.9,55.6,604,1211
2019-2020,Real Sociedad,56.2,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,43.8,47,33,80,40,7,9,101,7,43.0,36.0,27.7,63.7,546,1133
2019-2020,Sevilla,57.9,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,42.1,33,21,54,30,3,4,100,5,36.1,33.0,24.4,57.4,552,1138
2019-2020,Valencia,49.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,51.0,52,31,83,45,7,9,90,4,56.0,49.1,35.3,84.4,863,1698
2019-2020,Valladolid,44.7,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,55.3,43,26,69,36,7,8,95,4,54.5,48.4,38.7,87.1,797,1764
2019-2020,Villarreal,52.9,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,47.1,47,35,82,39,8,9,84,5,46.3,39.3,31.9,71.1,676,1465
2018-2019,Alavés,42.7,39,27,66,37,2,3,101,1,41.1,38.8,29.0,67.8,511,1113,57.3,48,31,79,42,6,6,93,2,53.2,48.6,36.6,85.2,714,1843
2018-2019,Athletic Club,50.0,39,26,65,34,5,7,120,4,43.4,37.8,30.7,68.5,626,1452,50.0,45,32,77,40,5,5,106,2,45.7,41.8,33.9,75.6,677,1317
2018-2019,Atlético Madrid,49.2,53,36,89,50,3,4,103,5,47.3,44.1,35.3,79.5,677,1386,50.8,27,15,42,22,5,5,95,3,41.9,38.1,29.2,67.3,662,1651
2018-2019,Barcelona,64.4,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,35.6,35,25,60,33,2,2,102,5,45.3,43.7,34.3,78.0,558,1092
2018-2019,Betis,61.8,43,30,73,38,5,7,89,1,47.1,41.5,32.9,74.4,887,1631,38.2,52,42,94,48,4,5,123,7,49.4,45.5,37.2,82.7,577,1153
2018-2019,Celta Vigo,51.6,52,37,89,45,7,7,84,6,46.5,41.2,33.6,74.8,673,1288,48.4,61,41,102,55,6,7,89,2,60.9,55.4,43.5,98.9,721,1503
2018-2019,Eibar,54.0,46,26,72,39,7,8,82,2,54.8,48.6,36.7,85.3,565,1619,46.0,49,39,88,46,3,4,76,2,45.9,42.7,37.2,79.9,459,1070
2018-2019,Espanyol,49.4,43,26,69,39,4,4,92,2,48.9,45.8,33.8,79.6,642,1495,50.6,48,26,74,42,6,8,111,6,53.8,47.5,35.9,83.4,799,1585
2018-2019,Getafe,40.7,47,34,81,41,6,6,111,7,46.2,41.6,32.9,74.4,448,1131,59.3,33,18,51,29,4,7,109,5,43.6,38.7,29.8,68.5,525,1385
2018-2019,Girona,48.0,37,23,60,31,6,6,83,4,43.5,39.3,29.3,68.6,634,1316,52.0,51,34,85,43,8,8,116,7,52.7,46.9,38.0,84.9,809,1624
2018-2019,Huesca,44.5,43,28,71,37,6,7,114,3,50.8,45.4,34.6,80.0,653,1209,55.5,62,46,108,53,9,9,86,4,60.2,53.1,43.1,96.3,768,1576
2018-2019,Leganés,43.1,36,25,61,33,3,5,106,4,40.6,36.8,28.1,64.9,447,1153,56.9,42,27,69,39,3,4,90,3,41.2,37.9,28.6,66.5,705,1596
2018-2019,Levante,45.7,56,39,95,51,5,7,112,7,53.9,48.4,38.5,86.9,709,1295,54.3,64,41,105,56,8,9,92,7,76.2,69.1,51.4,120.4,868,1553
2018-2019,Rayo Vallecano,48.7,40,24,64,35,5,5,106,8,48.7,44.8,33.0,77.7,831,1326,51.3,69,51,120,62,7,11,73,3,60.0,51.5,41.0,92.5,660,1557
2018-2019,Real Madrid,60.1,61,39,100,52,9,9,83,6,66.7,60.2,49.9,110.1,1009,2094,39.9,46,32,78,40,6,8,93,3,47.1,41.7,33.0,74.7,615,1158
2018-2019,Real Sociedad,51.7,44,27,71,36,8,10,82,4,49.7,42.2,33.0,75.2,695,1381,48.3,44,30,74,42,2,3,107,3,48.6,46.1,34.2,80.2,657,1407
2018-2019,Sevilla,52.3,60,47,107,55,5,6,118,6,66.6,61.8,49.3,111.1,828,1804,47.7,47,29,76,41,6,7,99,3,45.4,39.9,31.2,71.1,696,1407
2018-2019,Valencia,47.1,50,38,88,45,5,7,90,3,60.7,55.2,46.7,101.9,751,1561,52.9,33,19,52,26,7,8,113,4,42.9,36.7,26.7,63.5,791,1632
2018-2019,Valladolid,46.8,31,19,50,27,4,7,92,0,41.1,35.6,26.7,62.3,662,1299,53.2,50,36,86,44,6,9,106,5,58.5,51.7,43.1,94.8,800,1642
2018-2019,Villarreal,48.3,47,34,81,44,3,6,118,3,53.9,50.0,39.0,89.0,715,1648,51.7,49,32,81,46,3,5,84,2,55.0,51.1,41.0,92.1,753,1560
2017-2018,Alavés,40.3,40,31,71,39,1,3,109,4,38.5,36.1,27.7,63.8,454,1045,59.7,48,28,76,41,7,10,84,4,55.9,48.6,38.8,87.4,751,1842
2017-2018,Athletic Club,49.6,39,25,64,33,6,8,93,0,49.7,43.8,33.7,77.5,652,1519,50.4,46,33,79,43,3,6,106,8,50.3,45.6,37.1,82.6,666,1311
2017-2018,Atlético Madrid,47.5,57,41,98,53,4,5,96,5,50.2,46.3,36.6,82.9,703,1460,52.5,21,17,38,20,1,4,98,0,35.8,32.6,27.6,60.2,737,1677
2017-2018,Barcelona,62.8,96,74,170,93,3,5,67,2,83.5,80.1,64.6,144.7,1025,2151,37.2,29,22,51,27,2,2,99,4,41.9,40.5,32.3,72.8,632,1190
2017-2018,Betis,56.9,56,43,99,54,2,3,91,3,46.0,43.7,35.2,78.9,736,1506,43.1,57,45,102,54,3,4,96,4,49.0,45.8,35.9,81.7,622,1354
2017-2018,Celta Vigo,55.7,57,45,102,55,2,3,85,1,55.0,52.6,43.0,95.6,724,1595,44.3,59,48,107,55,4,5,97,1,55.3,51.4,41.5,92.9,611,1361
2017-2018,Eibar,52.0,43,31,74,41,2,3,86,3,40.9,38.6,30.2,68.8,635,1468,48.0,47,36,83,43,4,4,78,6,44.4,41.3,34.4,75.7,488,1056
2017-2018,Espanyol,46.9,33,24,57,31,2,3,88,1,41.1,38.7,27.8,66.4,532,1276,53.1,40,26,66,36,4,6,113,3,52.3,47.5,35.9,83.5,706,1615
2017-2018,Getafe,40.2,41,27,68,36,5,12,134,5,48.2,38.6,29.6,68.2,374,1092,59.8,33,28,61,31,2,4,107,3,39.7,36.6,29.9,66.5,660,1580
2017-2018,Girona,46.8,50,31,81,44,6,8,102,0,50.6,44.4,34.4,78.8,590,1215,53.2,56,39,95,52,4,5,112,3,50.4,46.5,34.6,81.1,721,1436
2017-2018,La Coruña,46.8,38,30,68,35,3,5,100,2,51.6,47.7,40.0,87.7,640,1477,53.2,73,53,126,69,4,5,75,2,58.7,54.8,43.3,98.1,774,1709
2017-2018,Las Palmas,54.7,24,15,39,18,6,8,89,3,38.5,32.3,24.8,57.1,726,1332,45.3,73,53,126,68,5,5,103,7,70.5,66.6,55.5,122.2,766,1410
2017-2018,Leganés,43.0,32,23,55,30,2,3,105,5,39.9,37.6,30.0,67.6,534,1111,57.0,51,28,79,45,6,7,82,4,47.6,42.2,31.5,73.7,645,1468
2017-2018,Levante,42.8,43,28,71,38,5,5,111,6,44.7,40.8,31.8,72.7,676,1286,57.2,55,41,96,50,5,6,93,6,63.6,58.8,45.3,104.1,758,1661
2017-2018,Málaga,44.1,23,15,38,19,4,6,101,8,38.4,33.7,26.3,60.0,463,1169,55.9,61,44,105,55,6,7,76,0,59.4,53.8,43.1,97.0,777,1777
2017-2018,Real Madrid,60.2,91,65,156,83,8,10,67,4,85.4,77.5,62.8,140.2,1131,2383,39.8,42,34,76,40,2,4,97,3,43.2,40.6,31.5,72.1,598,1229
2017-2018,Real Sociedad,56.5,64,47,111,60,4,5,64,5,53.7,49.7,38.9,88.7,883,1605,43.5,58,41,99,52,6,8,94,1,50.5,44.1,35.5,79.7,577,1244
2017-2018,Sevilla,54.3,48,35,83,44,4,5,99,3,59.5,55.7,42.8,98.5,817,1824,45.7,57,39,96,52,5,8,80,3,54.4,48.1,36.6,84.7,731,1410
2017-2018,Valencia,48.6,63,45,108,55,8,8,107,5,56.0,49.8,39.9,89.7,739,1563,51.4,38,28,66,35,3,5,97,5,48.3,44.4,35.2,79.7,728,1613
2017-2018,Villarreal,50.4,56,45,101,52,4,5,117,6,53.3,49.3,42.0,91.3,719,1453,49.6,50,37,87,45,5,8,83,4,53.4,47.2,36.2,83.4,805,1587
2024-2025-femenino,Athletic Club,52.6,38,24,62,34,4,4,42,1,34.5,31.6,22.4,53.9,302,1110,47.4,29,18,47,28,1,1,47,1,32.0,31.3,22.8,54.1,382,1117
2024-2025-femenino,Atlético Madrid,59.1,46,35,81,44,2,2,50,1,41.4,39.9,30.8,70.7,494,1603,40.9,22,15,37,21,1,1,55,2,28.3,27.6,19.6,47.2,339,814
2024-2025-femenino,Barcelona,74.4,127,90,217,120,7,7,20,0,109.0,103.9,81.8,185.8,765,2601,25.6,16,9,25,16,0,0,27,2,12.7,12.7,7.8,20.5,154,273
2024-2025-femenino,Dep La Coruña,45.0,26,18,44,25,1,2,45,1,25.2,23.6,17.6,41.2,349,762,55.0,47,32,79,46,1,1,61,2,50.9,50.1,37.7,87.8,525,1513
2024-2025-femenino,Eibar,34.4,24,16,40,21,3,4,43,1,22.2,19.3,12.3,31.7,185,589,65.6,41,33,74,39,2,2,41,2,43.9,42.4,31.9,74.3,555,1660
2024-2025-femenino,Espanyol,35.2,28,20,48,27,1,2,66,4,27.1,25.6,17.8,43.4,303,626,64.8,48,29,77,44,4,6,63,3,48.8,44.3,33.1,77.4,419,1356
2024-2025-femenino,Granada,53.7,41,26,67,37,4,4,50,1,35.5,32.6,26.0,58.6,425,1094,46.3,43,31,74,41,2,3,39,0,42.6,40.4,29.5,69.9,368,1030
2024-2025-femenino,Levante,51.1,30,18,48,28,2,2,49,4,27.6,26.2,20.0,46.1,363,1083,48.9,45,33,78,44,1,4,45,2,48.1,45.1,33.9,79.1,426,1216
2024-2025-femenino,Levante Planas,50.7,24,11,35,19,5,6,60,1,34.6,30.2,21.9,52.1,447,1175,49.3,44,34,78,42,2,2,57,1,32.7,31.2,24.8,56.0,339,919
2024-2025-femenino,Madrid CFF,49.4,36,27,63,35,1,1,39,0,34.1,33.4,25.3,58.7,410,884,50.6,61,42,103,57,4,4,46,1,41.5,38.7,30.5,69.1,374,1159
2024-2025-femenino,Real Betis,46.9,23,14,37,21,2,2,71,3,22.8,21.4,15.4,36.8,271,877,53.1,64,39,103,59,5,6,61,1,56.5,51.9,37.4,89.3,464,1300
2024-2025-femenino,Real Madrid,60.6,83,57,140,79,4,8,38,0,76.1,70.0,53.6,123.6,682,1858,39.4,25,12,37,20,5,5,47,2,22.1,18.4,12.8,31.2,266,704
2024-2025-femenino,Real Sociedad,58.4,38,28,66,37,1,2,44,3,37.1,35.7,28.2,63.8,416,1357,41.6,43,30,73,37,6,6,50,2,38.4,34.1,28.8,62.9,331,921
2024-2025-femenino,Sevilla,43.2,31,17,48,30,1,1,60,4,32.2,31.4,20.8,52.2,298,721,56.8,47,29,76,46,1,3,40,1,38.4,36.2,26.4,62.6,430,1260
2024-2025-femenino,UDG Tenerife,44.6,39,26,65,36,3,4,43,2,32.5,29.6,21.7,51.3,309,851,55.4,36,25,61,33,3,4,46,2,36.6,33.7,24.1,57.8,465,1224
2024-2025-femenino,Valencia,40.8,23,16,39,21,2,4,62,1,25.4,22.4,15.4,37.8,335,793,59.2,46,32,78,41,5,7,57,3,44.0,38.7,29.8,68.5,517,1518
