Season,Squad,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against
2022-2023,Athletic Club,46,541,157,29.0,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,40,387,120,31.0,0.1,0.31,18.0,16,3,3,36.9,34.5,0.09,3.1,2.5
2022-2023,Atlético Madrid,68,538,195,36.2,0.12,0.34,17.0,9,1,1,61.9,61.1,0.12,6.1,5.9,33,433,124,28.6,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2
2022-2023,Barcelona,69,570,187,32.8,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0,17,328,99,30.2,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8
2022-2023,Betis,43,411,138,33.6,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,40,463,143,30.9,0.08,0.26,17.9,24,3,3,50.0,47.7,0.1,-10.0,-10.7
2022-2023,Cádiz,29,390,108,27.7,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7,53,541,192,35.5,0.08,0.23,17.5,24,9,10,61.6,53.8,0.1,-8.6,-9.8
2022-2023,Celta Vigo,41,470,160,34.0,0.08,0.24,19.0,19,2,3,42.6,40.3,0.09,-1.6,-1.3,52,379,127,33.5,0.12,0.37,17.3,14,5,8,45.4,39.2,0.11,6.6,7.8
2022-2023,Elche,30,400,124,31.0,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,65,551,198,35.9,0.11,0.29,17.3,22,7,10,70.0,62.1,0.12,-5.0,-4.1
2022-2023,Espanyol,51,417,151,36.2,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,67,539,177,32.8,0.12,0.35,17.2,15,5,6,59.8,55.3,0.1,7.2,6.7
2022-2023,Getafe,34,365,116,31.8,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,43,480,158,32.9,0.08,0.25,19.7,22,4,8,46.0,39.8,0.09,-3.0,-0.8
2022-2023,Girona,55,446,160,35.9,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,55,485,161,33.2,0.1,0.3,18.0,13,6,8,54.9,48.6,0.1,0.1,0.4
2022-2023,Mallorca,36,324,107,33.0,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,43,489,138,28.2,0.08,0.27,19.3,19,6,7,46.4,41.0,0.08,-3.4,-4.0
2022-2023,Osasuna,36,441,133,30.2,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9,40,441,146,33.1,0.09,0.27,18.1,15,1,4,45.7,42.5,0.1,-5.7,-3.5
2022-2023,Rayo Vallecano,41,510,146,28.6,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,49,431,140,32.5,0.1,0.32,17.4,13,4,5,50.3,46.6,0.11,-1.3,-1.6
2022-2023,Real Madrid,73,634,206,32.5,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,35,417,131,31.4,0.07,0.24,18.7,11,4,5,38.9,35.0,0.09,-3.9,-4.0
2022-2023,Real Sociedad,47,465,173,37.2,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7,33,393,131,33.3,0.08,0.24,18.2,12,1,2,33.0,31.5,0.08,0.0,0.5
2022-2023,Sevilla,47,463,141,30.5,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,51,508,158,31.1,0.1,0.31,18.5,19,2,3,54.2,51.8,0.11,-3.2,-2.8
2022-2023,Valencia,40,480,140,29.2,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,43,395,146,37.0,0.1,0.28,17.0,16,2,5,43.5,39.7,0.1,-0.5,1.3
2022-2023,Valladolid,32,443,137,30.9,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4,62,579,190,32.8,0.1,0.29,17.5,18,6,10,65.2,57.5,0.1,-3.2,-1.5
2022-2023,Villarreal,57,499,188,37.7,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,39,470,145,30.9,0.07,0.24,17.8,14,4,4,49.9,46.7,0.1,-10.9,-11.7
2021-2022,Alavés,29,373,111,29.8,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8,65,509,159,31.2,0.12,0.37,17.3,20,6,9,57.0,50.0,0.1,8.0,9.0
2021-2022,Athletic Club,40,460,150,32.6,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0,35,440,128,29.1,0.07,0.25,18.5,20,3,3,38.4,36.0,0.08,-3.4,-4.0
2021-2022,Atlético Madrid,63,458,152,33.2,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4,40,349,98,28.1,0.09,0.34,19.2,17,7,8,33.4,27.4,0.08,6.6,5.6
2021-2022,Barcelona,68,511,177,34.6,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1,38,349,120,34.4,0.1,0.3,18.1,13,2,3,34.4,32.1,0.09,3.6,3.9
2021-2022,Betis,60,509,182,35.8,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2,38,430,129,30.0,0.08,0.27,17.3,11,3,3,43.4,41.1,0.1,-5.4,-6.1
2021-2022,Cádiz,35,405,118,29.1,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8,51,461,157,34.1,0.09,0.25,18.5,20,11,13,48.3,38.2,0.08,2.7,1.8
2021-2022,Celta Vigo,43,405,135,33.3,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7,41,397,128,32.2,0.09,0.29,18.0,16,4,8,45.7,39.4,0.1,-4.7,-2.4
2021-2022,Elche,39,334,106,31.7,0.11,0.36,18.0,8,1,1,33.7,32.9,0.1,5.3,5.1,52,513,166,32.4,0.09,0.27,18.0,23,7,9,59.1,52.1,0.1,-7.1,-7.1
2021-2022,Espanyol,39,403,128,31.8,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1,51,497,165,33.2,0.09,0.28,17.2,14,4,5,51.2,47.3,0.1,-0.2,-0.3
2021-2022,Getafe,31,404,111,27.5,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7,40,408,129,31.6,0.09,0.29,19.0,22,2,4,38.6,35.5,0.09,1.4,2.5
2021-2022,Granada,43,421,131,31.1,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9,59,555,184,33.2,0.09,0.28,17.9,15,7,9,61.2,54.6,0.1,-2.2,-2.6
2021-2022,Levante,51,430,146,34.0,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1,76,508,197,38.8,0.14,0.36,17.8,15,5,6,55.0,50.2,0.1,21.0,20.8
2021-2022,Mallorca,33,440,131,29.8,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3,59,460,144,31.3,0.12,0.37,17.8,14,6,8,49.3,43.0,0.1,9.7,10.0
2021-2022,Osasuna,37,425,114,26.8,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3,49,437,144,33.0,0.1,0.31,18.9,8,4,7,46.3,40.8,0.1,2.7,4.2
2021-2022,Rayo Vallecano,38,500,133,26.6,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7,49,405,154,38.0,0.1,0.27,18.1,17,7,9,48.4,41.5,0.1,0.6,0.5
2021-2022,Real Madrid,80,645,243,37.7,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8,31,428,124,29.0,0.07,0.23,18.7,14,3,5,43.9,39.8,0.09,-12.9,-11.8
2021-2022,Real Sociedad,40,430,143,33.3,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8,37,413,121,29.3,0.08,0.26,18.7,15,5,6,38.7,34.0,0.08,-1.7,-2.0
2021-2022,Sevilla,51,430,139,32.3,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,8.6,9.0,30,420,118,28.1,0.07,0.24,18.7,15,2,4,36.9,33.8,0.08,-6.9,-5.8
2021-2022,Valencia,45,394,129,32.7,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,6.0,4.8,50,437,155,35.5,0.1,0.28,18.1,19,7,8,47.7,41.6,0.1,2.3,1.4
2021-2022,Villarreal,62,449,164,36.5,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0,36,410,123,30.0,0.08,0.26,18.6,13,4,5,44.8,41.1,0.1,-8.8,-9.1
2020-2021,Alavés,35,339,95,28.0,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,57,395,139,35.2,0.14,0.39,17.1,16,3,3,49.9,47.5,0.12,7.1,6.5
2020-2021,Athletic Club,43,399,128,32.1,0.1,0.3,17.4,15,4,5,42.8,38.9,0.1,0.2,0.1,41,370,105,28.4,0.1,0.34,18.8,15,5,6,37.5,32.9,0.09,3.5,3.1
2020-2021,Atlético Madrid,65,452,178,39.4,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,22,357,119,33.3,0.06,0.18,18.6,14,1,4,37.1,34.0,0.1,-15.1,-13.0
2020-2021,Barcelona,80,575,231,40.2,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,36,323,125,38.7,0.1,0.25,17.4,14,5,5,40.8,36.9,0.12,-4.8,-5.9
2020-2021,Betis,50,433,145,33.5,0.1,0.29,18.9,16,8,11,49.1,40.6,0.1,0.9,1.4,47,356,126,35.4,0.11,0.31,17.7,17,8,10,46.8,39.2,0.11,0.2,-0.2
2020-2021,Cádiz,33,299,97,32.4,0.1,0.3,17.6,14,4,4,34.7,31.6,0.11,-1.7,-2.6,57,439,140,31.9,0.11,0.34,18.0,19,9,10,55.4,47.6,0.11,1.6,0.4
2020-2021,Celta Vigo,55,350,133,38.0,0.14,0.36,17.0,13,7,7,50.4,44.9,0.13,4.6,3.1,56,406,130,32.0,0.12,0.38,17.9,23,7,8,51.0,45.0,0.12,5.0,4.0
2020-2021,Eibar,29,443,127,28.7,0.06,0.2,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3,52,345,131,38.0,0.14,0.37,17.2,12,3,5,45.7,41.7,0.13,6.3,7.3
2020-2021,Elche,33,265,86,32.5,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,3.1,3.5,54,464,154,33.2,0.1,0.31,17.7,20,6,10,60.9,53.2,0.12,-6.9,-5.2
2020-2021,Getafe,27,355,97,27.3,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5,40,312,103,33.0,0.11,0.32,18.4,13,7,8,40.3,34.0,0.11,-0.3,-1.0
2020-2021,Granada,47,354,121,34.2,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,5.9,6.7,64,468,159,34.0,0.12,0.36,17.4,15,6,12,56.2,46.8,0.1,7.8,11.2
2020-2021,Huesca,32,404,130,32.2,0.07,0.22,18.0,13,3,4,38.7,35.9,0.09,-6.7,-6.9,51,416,144,34.6,0.11,0.32,17.8,22,5,5,48.1,44.3,0.11,2.9,1.7
2020-2021,Levante,45,376,125,33.2,0.11,0.34,18.2,10,3,6,40.4,35.7,0.1,4.6,6.3,55,460,160,34.8,0.11,0.33,17.0,17,3,4,53.5,50.6,0.11,1.5,1.4
2020-2021,Osasuna,36,368,114,31.0,0.08,0.27,18.8,7,5,6,38.7,34.7,0.1,-2.7,-3.7,46,421,135,32.1,0.1,0.3,18.1,18,5,8,47.8,41.5,0.1,-1.8,-0.5
2020-2021,Real Madrid,64,544,167,30.7,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,2.5,1.8,27,349,108,30.9,0.06,0.19,18.4,16,7,8,37.6,31.3,0.09,-10.6,-11.3
2020-2021,Real Sociedad,58,417,139,33.3,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5,37,332,101,30.4,0.1,0.34,17.4,16,3,5,39.2,35.3,0.11,-2.2,-1.3
2020-2021,Sevilla,52,454,135,29.7,0.1,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9,31,344,114,33.1,0.08,0.24,19.0,15,4,6,34.8,30.1,0.09,-3.8,-3.1
2020-2021,Valencia,48,383,129,33.7,0.1,0.31,20.1,32,8,10,42.6,34.8,0.09,5.4,5.2,51,539,167,31.0,0.09,0.28,17.8,27,5,8,52.2,46.2,0.09,-1.2,-0.2
2020-2021,Valladolid,34,359,110,30.6,0.08,0.25,18.7,25,7,8,40.1,33.8,0.1,-6.1,-6.8,57,465,155,33.3,0.11,0.33,17.8,23,6,7,52.9,47.4,0.1,4.1,3.6
2020-2021,Villarreal,57,392,146,37.2,0.11,0.31,17.0,13,12,13,56.4,46.4,0.12,0.6,-1.4,42,400,118,29.5,0.09,0.3,18.4,17,7,9,42.5,35.6,0.09,-0.5,-0.6
2019-2020,Alavés,34,307,98,31.9,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7,59,458,146,31.9,0.1,0.32,18.5,29,12,15,57.8,46.3,0.1,1.2,0.7
2019-2020,Athletic Club,40,401,126,31.4,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8,36,386,123,31.9,0.08,0.25,17.8,26,5,7,48.8,43.7,0.12,-12.8,-12.7
2019-2020,Atlético Madrid,50,440,136,30.9,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6,24,412,109,26.5,0.05,0.19,19.8,19,3,4,32.5,29.5,0.07,-8.5,-8.5
2019-2020,Barcelona,84,488,213,43.6,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,17.7,16.3,38,364,112,30.8,0.09,0.29,19.2,16,6,7,38.3,32.9,0.09,-0.3,-0.9
2019-2020,Betis,48,471,152,32.3,0.09,0.28,18.4,20,6,8,51.0,45.2,0.1,-3.0,-3.2,59,437,143,32.7,0.11,0.34,17.8,18,11,11,54.8,46.2,0.11,4.2,1.8
2019-2020,Celta Vigo,37,359,131,36.5,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4,49,439,144,32.8,0.1,0.31,18.5,17,5,5,45.3,41.4,0.1,3.7,2.6
2019-2020,Eibar,38,419,132,31.5,0.07,0.23,18.9,21,7,10,42.0,34.2,0.08,-4.0,-3.2,55,374,132,35.3,0.14,0.39,17.2,15,4,6,53.0,48.4,0.13,2.0,2.6
2019-2020,Espanyol,25,407,120,29.5,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6,56,438,156,35.6,0.11,0.32,18.7,22,6,7,51.0,45.8,0.11,5.0,4.2
2019-2020,Getafe,42,408,121,29.7,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,0.4,-0.1,35,275,103,37.5,0.11,0.29,16.9,15,5,6,41.4,36.7,0.14,-6.4,-6.7
2019-2020,Granada,50,389,118,30.3,0.12,0.38,19.0,25,5,5,44.9,40.9,0.11,5.1,4.1,45,443,151,34.1,0.09,0.27,19.0,27,4,5,42.6,38.6,0.09,2.4,2.4
2019-2020,Leganés,30,427,143,33.5,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9,50,342,131,38.3,0.13,0.34,18.7,19,6,7,42.8,37.4,0.11,7.2,6.6
2019-2020,Levante,45,422,133,31.5,0.09,0.3,19.0,21,5,5,48.1,44.2,0.11,-3.1,-4.2,51,571,209,36.6,0.08,0.23,17.3,26,3,7,62.9,57.4,0.1,-11.9,-9.4
2019-2020,Mallorca,39,410,118,28.8,0.08,0.26,19.2,22,8,10,41.1,33.3,0.08,-2.1,-2.3,64,482,174,36.1,0.1,0.28,18.2,17,15,16,63.5,51.2,0.11,0.5,-2.2
2019-2020,Osasuna,46,455,142,31.2,0.08,0.27,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2,54,419,138,32.9,0.12,0.36,17.9,26,5,5,49.4,45.5,0.11,4.6,3.5
2019-2020,Real Madrid,69,552,222,40.2,0.11,0.26,18.0,18,11,11,67.9,59.2,0.11,1.1,-1.2,25,335,108,32.2,0.07,0.21,18.1,12,2,2,33.3,31.7,0.1,-8.3,-8.7
2019-2020,Real Sociedad,54,424,139,32.8,0.12,0.36,17.7,12,4,5,48.9,45.1,0.11,5.1,4.9,47,385,136,35.3,0.1,0.29,18.2,13,7,9,43.0,36.0,0.1,4.0,4.0
2019-2020,Sevilla,53,484,164,33.9,0.1,0.28,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9,33,384,113,29.4,0.08,0.27,19.7,31,3,4,36.1,33.0,0.09,-3.1,-3.0
2019-2020,Valencia,45,331,111,33.5,0.12,0.36,18.0,18,5,8,43.3,37.2,0.11,1.7,2.8,52,563,181,32.1,0.08,0.25,18.5,37,7,9,56.0,49.1,0.09,-4.0,-4.1
2019-2020,Valladolid,31,369,116,31.4,0.08,0.24,20.0,29,3,6,36.6,32.1,0.09,-5.6,-4.1,43,465,131,28.2,0.08,0.27,18.7,22,7,8,54.5,48.4,0.11,-11.5,-12.4
2019-2020,Villarreal,62,483,160,33.1,0.11,0.33,18.2,15,10,11,63.6,55.2,0.12,-1.6,-3.2,47,474,155,32.7,0.08,0.25,18.4,23,8,9,46.3,39.3,0.09,0.7,-0.3
2018-2019,Alavés,39,426,116,27.2,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,48,496,161,32.5,0.08,0.26,17.6,26,6,6,53.2,48.6,0.1,-5.2,-6.6
2018-2019,Athletic Club,39,380,132,34.7,0.09,0.26,17.1,6,5,7,43.4,37.8,0.1,-4.4,-3.8,45,392,115,29.3,0.1,0.35,18.6,25,5,5,45.7,41.8,0.11,-0.7,-1.8
2018-2019,Atlético Madrid,53,440,155,35.2,0.11,0.32,18.3,21,3,4,47.3,44.1,0.1,5.7,5.9,27,428,131,30.6,0.05,0.17,18.6,22,5,5,41.9,38.1,0.09,-14.9,-16.1
2018-2019,Barcelona,88,551,242,43.9,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,12.2,11.3,35,410,128,31.2,0.08,0.26,17.4,17,2,2,45.3,43.7,0.11,-10.3,-10.7
2018-2019,Betis,43,436,156,35.8,0.09,0.24,18.6,31,5,7,47.1,41.5,0.1,-4.1,-3.5,52,422,150,35.5,0.11,0.32,18.2,26,4,5,49.4,45.5,0.11,2.6,2.5
2018-2019,Celta Vigo,52,445,152,34.2,0.1,0.3,18.0,22,7,7,46.5,41.2,0.09,5.5,3.8,61,473,161,34.0,0.12,0.34,18.1,15,6,7,60.9,55.4,0.12,0.1,-0.4
2018-2019,Eibar,46,524,147,28.1,0.07,0.27,17.4,20,7,8,54.8,48.6,0.1,-8.8,-9.6,49,330,128,38.8,0.14,0.36,17.3,10,3,4,45.9,42.7,0.13,3.1,3.3
2018-2019,Espanyol,43,470,154,32.8,0.08,0.25,19.0,25,4,4,48.9,45.8,0.1,-5.9,-6.8,48,509,159,31.2,0.08,0.26,17.7,20,6,8,53.8,47.5,0.1,-5.8,-5.5
2018-2019,Getafe,47,395,122,30.9,0.1,0.34,17.1,13,6,6,46.2,41.6,0.11,0.8,-0.6,33,372,128,34.4,0.08,0.23,17.2,11,4,7,43.6,38.7,0.11,-10.6,-9.7
2018-2019,Girona,37,392,137,34.9,0.08,0.23,18.3,21,6,6,43.5,39.3,0.1,-6.5,-8.3,51,517,198,38.3,0.08,0.22,18.4,18,8,8,52.7,46.9,0.09,-1.7,-3.9
2018-2019,Huesca,43,463,139,30.0,0.08,0.27,17.9,19,6,7,50.8,45.4,0.1,-7.8,-8.4,62,459,165,35.9,0.12,0.32,17.7,28,9,9,60.2,53.1,0.12,1.8,-0.1
2018-2019,Leganés,36,414,128,30.9,0.08,0.26,17.6,14,3,5,40.6,36.8,0.09,-4.6,-3.8,42,405,130,32.1,0.1,0.3,19.2,21,3,4,41.2,37.9,0.1,0.8,1.1
2018-2019,Levante,56,435,154,35.4,0.12,0.33,18.8,32,5,7,53.9,48.4,0.11,2.1,2.6,64,682,217,31.8,0.08,0.26,17.9,22,8,9,76.2,69.1,0.1,-12.2,-13.1
2018-2019,Rayo Vallecano,40,453,144,31.8,0.08,0.24,19.3,22,5,5,48.7,44.8,0.1,-8.7,-9.8,69,437,171,39.1,0.14,0.36,17.3,25,7,11,60.0,51.5,0.12,9.0,10.5
2018-2019,Real Madrid,61,585,203,34.7,0.09,0.26,17.7,19,9,9,66.7,60.2,0.11,-5.7,-8.2,46,380,131,34.5,0.11,0.31,18.3,15,6,8,47.1,41.7,0.12,-1.1,-1.7
2018-2019,Real Sociedad,44,418,133,31.8,0.09,0.27,18.5,16,8,10,49.7,42.2,0.1,-5.7,-6.2,44,443,139,31.4,0.09,0.3,17.8,18,2,3,48.6,46.1,0.11,-4.6,-4.1
2018-2019,Sevilla,60,524,167,31.9,0.1,0.33,17.2,11,5,6,66.6,61.8,0.12,-6.6,-6.8,47,452,149,33.0,0.09,0.28,18.9,20,6,7,45.4,39.9,0.09,1.6,1.1
2018-2019,Valencia,50,470,157,33.4,0.1,0.29,17.3,18,5,7,60.7,55.2,0.12,-10.7,-10.2,33,476,144,30.3,0.05,0.18,19.6,31,7,8,42.9,36.7,0.08,-9.9,-10.7
2018-2019,Valladolid,31,406,125,30.8,0.07,0.22,19.5,24,4,7,41.1,35.6,0.09,-10.1,-8.6,50,483,146,30.2,0.09,0.3,17.5,18,6,9,58.5,51.7,0.11,-8.5,-7.7
2018-2019,Villarreal,47,488,169,34.6,0.09,0.26,17.3,8,3,6,53.9,50.0,0.1,-6.9,-6.0,49,549,181,33.0,0.08,0.25,17.8,20,3,5,55.0,51.1,0.09,-6.0,-5.1
2017-2018,Alavés,40,389,134,34.4,0.1,0.29,19.3,22,1,3,38.5,36.1,0.1,1.5,2.9,48,523,163,31.2,0.08,0.25,18.7,31,7,10,55.9,48.6,0.1,-7.9,-7.6
2017-2018,Athletic Club,39,421,142,33.7,0.08,0.23,16.7,13,6,8,49.7,43.8,0.11,-10.7,-10.8,46,463,160,34.6,0.09,0.27,19.3,33,3,6,50.3,45.6,0.1,-4.3,-2.6
2017-2018,Atlético Madrid,57,401,147,36.7,0.13,0.36,18.5,15,4,5,50.2,46.3,0.12,6.8,6.7,21,440,125,28.4,0.05,0.16,20.0,28,1,4,35.8,32.6,0.08,-14.8,-12.6
2017-2018,Barcelona,96,575,264,45.9,0.16,0.35,17.0,60,3,5,83.5,80.1,0.15,12.5,12.9,29,442,131,29.6,0.06,0.21,19.3,16,2,2,41.9,40.5,0.09,-12.9,-13.5
2017-2018,Betis,56,415,160,38.6,0.13,0.34,19.5,22,2,3,46.0,43.7,0.11,10.0,10.3,57,451,152,33.7,0.12,0.36,17.9,19,3,4,49.0,45.8,0.1,8.0,8.2
2017-2018,Celta Vigo,57,444,157,35.4,0.12,0.35,17.9,33,2,3,55.0,52.6,0.12,2.0,2.4,59,447,157,35.1,0.12,0.35,17.0,13,4,5,55.3,51.4,0.12,3.7,3.6
2017-2018,Eibar,43,467,131,28.1,0.09,0.31,18.6,23,2,3,40.9,38.6,0.08,2.1,2.4,47,319,130,40.8,0.13,0.33,18.0,18,4,4,44.4,41.3,0.13,2.6,1.7
2017-2018,Espanyol,33,410,128,31.2,0.08,0.24,18.7,17,2,3,41.1,38.7,0.1,-8.1,-7.7,40,480,158,32.9,0.08,0.23,18.6,21,4,6,52.3,47.5,0.1,-12.3,-11.5
2017-2018,Getafe,41,361,122,33.8,0.1,0.3,18.9,16,5,12,48.2,38.6,0.11,-7.2,-2.6,33,384,127,33.1,0.08,0.24,19.1,23,2,4,39.7,36.6,0.1,-6.7,-5.6
2017-2018,Girona,50,447,149,33.3,0.1,0.3,19.0,27,6,8,50.6,44.4,0.1,-0.6,-0.4,56,423,171,40.4,0.12,0.3,18.9,28,4,5,50.4,46.5,0.11,5.6,5.5
2017-2018,La Coruña,38,462,133,28.8,0.08,0.26,18.0,14,3,5,51.6,47.7,0.1,-13.6,-12.7,73,520,174,33.5,0.13,0.4,18.3,26,4,5,58.7,54.8,0.11,14.3,14.2
2017-2018,Las Palmas,24,405,119,29.4,0.04,0.15,20.6,38,6,8,38.5,32.3,0.08,-14.5,-14.3,73,525,210,40.0,0.13,0.32,17.1,22,5,5,70.5,66.6,0.13,2.5,1.4
2017-2018,Leganés,32,393,125,31.8,0.08,0.24,19.3,13,2,3,39.9,37.6,0.1,-7.9,-7.6,51,420,149,35.5,0.11,0.3,19.0,22,6,7,47.6,42.2,0.1,3.4,2.8
2017-2018,Levante,43,405,119,29.4,0.09,0.32,19.4,26,5,5,44.7,40.8,0.1,-1.7,-2.8,55,533,177,33.2,0.09,0.28,17.7,24,5,6,63.6,58.8,0.11,-8.6,-8.8
2017-2018,Málaga,23,397,108,27.2,0.05,0.18,18.7,14,4,6,38.4,33.7,0.09,-15.4,-14.7,61,453,163,36.0,0.12,0.34,18.3,17,6,7,59.4,53.8,0.12,1.6,1.2
2017-2018,Real Madrid,91,689,267,38.8,0.12,0.31,17.3,28,8,10,85.4,77.5,0.12,5.6,5.5,42,391,140,35.8,0.1,0.29,18.6,17,2,4,43.2,40.6,0.11,-1.2,-0.6
2017-2018,Real Sociedad,64,516,165,32.0,0.12,0.36,18.7,23,4,5,53.7,49.7,0.1,10.3,10.3,58,381,142,37.3,0.14,0.37,18.1,19,6,8,50.5,44.1,0.12,7.5,7.9
2017-2018,Sevilla,48,511,174,34.1,0.09,0.25,17.7,18,4,5,59.5,55.7,0.11,-11.5,-11.7,57,463,144,31.1,0.11,0.36,18.7,25,5,8,54.4,48.1,0.11,2.6,3.9
2017-2018,Valencia,63,473,175,37.0,0.12,0.31,18.7,26,8,8,56.0,49.8,0.11,7.0,5.2,38,481,159,33.1,0.07,0.22,19.2,35,3,5,48.3,44.4,0.09,-10.3,-9.4
2017-2018,Villarreal,56,470,162,34.5,0.11,0.32,19.3,15,4,5,53.3,49.3,0.11,2.7,2.7,50,512,149,29.1,0.09,0.3,18.4,26,5,8,53.4,47.2,0.09,-3.4,-2.2
2024-2025-femenino,Athletic Club,38,284,96,33.8,0.12,0.35,16.2,6,4,4,34.5,31.6,0.11,3.5,2.4,29,363,124,34.2,0.08,0.23,17.8,12,1,1,32.0,31.3,0.09,-3.0,-3.3
2024-2025-femenino,Atlético Madrid,46,390,157,40.3,0.11,0.28,16.5,9,2,2,41.4,39.9,0.11,4.6,4.1,22,340,101,29.7,0.06,0.21,19.0,10,1,1,28.3,27.6,0.08,-6.3,-6.6
2024-2025-femenino,Barcelona,127,876,321,36.6,0.14,0.37,16.2,16,7,7,109.0,103.9,0.12,18.0,16.1,16,129,47,36.4,0.12,0.34,21.3,2,0,0,12.7,12.7,0.1,3.3,3.3
2024-2025-femenino,Dep La Coruña,26,287,114,39.7,0.09,0.22,20.0,12,1,2,25.2,23.6,0.08,0.8,1.4,47,493,181,36.7,0.09,0.25,17.2,12,1,1,50.9,50.1,0.11,-3.9,-4.1
