Season,Squad,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
2020-2021,Villarreal,44,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5,60,159,101,69.8,7,18.4,13,12,1,0,7.7
2019-2020,Alavés,59,161,99,70.8,10,9,19,9,23.7,15,12,3,0,20.0,34,104,70,73.1,14,36.8,6,6,0,0,0.0
2019-2020,Athletic Club,38,128,92,74.2,13,12,13,12,31.6,7,5,0,2,0.0,41,136,94,75.7,13,34.2,10,8,2,0,20.0
2019-2020,Atlético Madrid,27,112,88,78.6,18,16,4,17,44.7,4,3,0,1,0.0,51,144,92,68.8,9,23.7,8,6,2,0,25.0
2019-2020,Barcelona,38,119,80,73.1,25,7,6,15,39.5,7,6,1,0,14.3,86,219,135,63.5,6,15.8,6,6,0,0,0.0
2019-2020,Betis,60,154,95,68.2,10,11,17,6,15.8,11,11,0,0,0.0,48,159,110,73.6,10,26.3,8,6,1,1,14.3
2019-2020,Celta Vigo,49,149,100,70.5,7,16,15,12,31.6,5,5,0,0,0.0,37,140,100,77.9,14,36.8,9,6,3,0,33.3
2019-2020,Eibar,56,138,81,62.3,11,9,18,11,28.9,6,4,2,0,33.3,39,142,101,77.5,15,39.5,10,7,3,0,30.0
2019-2020,Espanyol,58,163,106,68.1,5,10,23,6,15.8,7,6,1,0,14.3,27,124,99,81.5,18,47.4,4,4,0,0,0.0
2019-2020,Getafe,37,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7,43,127,85,70.9,14,36.8,7,6,0,1,0.0
2019-2020,Granada,45,156,110,73.7,16,8,14,13,34.2,5,4,1,0,20.0,52,123,73,61.8,10,26.3,5,5,0,0,0.0
2019-2020,Leganés,51,138,87,67.4,8,12,18,9,23.7,7,6,1,0,14.3,30,148,116,81.8,16,42.1,4,3,1,0,25.0
2019-2020,Levante,53,215,161,76.7,14,7,17,6,15.8,6,3,2,1,40.0,47,138,93,69.6,11,28.9,5,5,0,0,0.0
2019-2020,Mallorca,65,190,125,73.7,9,6,23,5,13.2,16,15,1,0,6.3,40,127,87,74.8,18,47.4,10,8,1,1,11.1
2019-2020,Osasuna,54,143,89,65.7,13,13,12,11,28.9,5,5,0,0,0.0,46,150,104,74.7,12,31.6,8,8,0,0,0.0
2019-2020,Real Madrid,25,110,85,79.1,26,9,3,19,50.0,2,2,0,0,0.0,70,233,164,74.7,6,15.8,11,11,0,0,0.0
2019-2020,Real Sociedad,48,144,96,71.5,16,8,14,9,23.7,9,7,1,1,12.5,56,144,89,63.9,7,18.4,5,4,1,0,20.0
2019-2020,Sevilla,34,117,83,73.5,19,13,6,17,44.7,4,3,1,0,25.0,54,171,118,72.5,4,10.5,7,7,0,0,0.0
2019-2020,Valencia,53,190,136,75.8,14,11,13,8,21.1,9,7,2,0,22.2,46,118,71,65.3,9,23.7,8,5,2,1,28.6
2019-2020,Valladolid,43,139,95,74.1,9,15,14,12,31.6,8,7,1,0,12.5,32,121,88,76.0,15,39.5,6,3,2,1,40.0
2019-2020,Villarreal,49,164,116,75.0,18,6,14,12,31.6,9,8,1,0,11.1,63,171,108,69.0,3,7.9,11,10,1,0,9.1
2018-2019,Alavés,50,167,119,73.7,13,11,14,8,21.1,6,6,0,0,0.0,39,119,79,68.9,13,34.2,2,2,0,0,0.0
2018-2019,Athletic Club,45,120,75,66.7,13,14,11,10,26.3,5,5,0,0,0.0,41,139,98,74.1,11,28.9,7,5,2,0,28.6
2018-2019,Atlético Madrid,29,136,109,82.4,22,10,6,20,52.6,5,5,0,0,0.0,55,159,105,67.3,6,15.8,4,3,1,0,25.0
2018-2019,Barcelona,36,130,95,73.8,26,9,3,17,44.7,2,2,0,0,0.0,90,251,162,67.3,3,7.9,9,8,1,0,11.1
2018-2019,Betis,52,155,102,69.0,14,8,16,11,28.9,5,4,1,0,20.0,44,163,118,76.1,10,26.3,7,5,2,0,28.6
2018-2019,Celta Vigo,62,167,106,66.5,10,11,17,8,21.1,7,6,0,1,0.0,53,159,107,71.1,9,23.7,7,7,0,0,0.0
2018-2019,Eibar,50,132,82,64.4,11,14,13,9,23.7,4,3,1,0,25.0,46,154,108,74.7,11,28.9,8,7,0,1,0.0
2018-2019,Espanyol,50,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,48,158,115,72.2,7,18.4,4,4,0,0,0.0
2018-2019,Getafe,35,134,99,76.9,15,14,9,13,34.2,6,4,1,1,20.0,48,128,81,67.2,11,28.9,6,6,0,0,0.0
2018-2019,Girona,53,206,154,78.2,9,10,19,9,23.7,8,8,0,0,0.0,37,143,106,78.3,14,36.8,6,6,0,0,0.0
2018-2019,Huesca,65,174,112,67.8,7,12,19,6,15.8,9,9,0,0,0.0,43,146,102,74.7,13,34.2,7,6,1,0,14.3
2018-2019,Leganés,43,134,91,70.1,11,12,15,11,28.9,4,3,1,0,25.0,37,132,94,74.2,13,34.2,5,3,1,1,25.0
2018-2019,Levante,66,226,161,74.3,11,11,16,7,18.4,9,8,1,0,11.1,59,161,103,66.5,9,23.7,7,5,2,0,28.6
2018-2019,Rayo Vallecano,70,182,109,65.4,8,8,22,7,18.4,11,7,4,0,36.4,41,149,109,75.8,9,23.7,5,5,0,0,0.0
2018-2019,Real Madrid,46,138,91,71.0,21,5,12,12,31.6,8,6,1,1,14.3,63,212,151,74.5,9,23.7,9,9,0,0,0.0
2018-2019,Real Sociedad,46,142,97,69.0,13,11,14,9,23.7,3,2,1,0,33.3,45,143,97,74.1,13,34.2,10,8,2,0,20.0
2018-2019,Sevilla,47,156,108,73.7,17,8,13,10,26.3,7,6,1,0,14.3,62,173,112,67.1,12,31.6,6,5,1,0,16.7
2018-2019,Valencia,35,152,118,81.6,15,16,7,13,34.2,8,7,1,0,12.5,51,164,112,72.0,11,28.9,7,5,2,0,28.6
2018-2019,Valladolid,51,155,102,71.0,10,11,17,9,23.7,9,6,3,0,33.3,32,131,98,78.6,17,44.7,7,4,2,1,33.3
2018-2019,Villarreal,52,185,135,73.5,10,14,14,11,28.9,5,3,1,1,25.0,49,174,125,73.6,9,23.7,6,3,2,1,40.0
2017-2018,Alavés,50,172,122,75.0,15,2,21,12,31.6,10,7,2,1,22.2,40,136,95,71.3,13,34.2,3,1,1,1,50.0
2017-2018,Athletic Club,49,166,117,72.3,10,13,15,11,28.9,6,3,3,0,50.0,41,150,109,76.7,12,31.6,8,6,2,0,25.0
2017-2018,Atlético Madrid,22,129,105,83.7,23,10,5,23,60.5,4,1,3,0,75.0,58,152,94,64.5,8,21.1,5,4,1,0,20.0
2017-2018,Barcelona,29,133,104,79.7,28,9,1,19,50.0,2,2,0,0,0.0,99,269,171,64.3,1,2.6,5,3,2,0,40.0
2017-2018,Betis,61,156,98,62.8,18,6,14,13,34.2,4,3,1,0,25.0,60,163,106,64.4,11,28.9,3,2,1,0,33.3
2017-2018,Celta Vigo,60,161,102,65.2,13,10,15,7,18.4,5,4,0,1,0.0,59,160,102,64.4,8,21.1,3,2,1,0,33.3
2017-2018,Eibar,50,134,87,65.7,14,9,15,11,28.9,4,4,0,0,0.0,44,133,90,68.4,15,39.5,3,2,0,1,0.0
2017-2018,Espanyol,42,164,122,76.8,12,13,13,12,31.6,6,4,2,0,33.3,36,131,97,74.0,15,39.5,3,2,1,0,33.3
2017-2018,Getafe,33,130,96,76.2,15,10,13,14,36.8,4,2,1,1,33.3,42,132,86,72.0,13,34.2,12,5,5,2,50.0
2017-2018,Girona,59,175,119,68.6,14,9,15,11,28.9,5,4,0,1,0.0,50,156,105,71.8,10,26.3,8,6,1,1,14.3
2017-2018,La Coruña,76,179,105,59.8,6,11,21,6,15.8,5,4,1,0,20.0,38,138,98,74.6,14,36.8,5,3,2,0,40.0
2017-2018,Las Palmas,74,215,142,67.9,5,7,26,5,13.2,5,5,0,0,0.0,24,127,101,85.8,20,52.6,8,6,2,0,25.0
2017-2018,Leganés,51,156,104,71.2,12,7,19,14,36.8,7,6,1,0,14.3,34,128,95,75.0,17,44.7,3,2,1,0,33.3
2017-2018,Levante,58,183,127,71.0,11,13,14,10,26.3,6,5,0,1,0.0,44,123,81,68.3,13,34.2,5,5,0,0,0.0
2017-2018,Málaga,61,170,108,67.6,5,5,28,6,15.8,7,6,1,0,14.3,24,114,89,82.5,23,60.5,6,4,2,0,33.3
2017-2018,Real Madrid,44,144,100,70.8,22,10,6,10,26.3,4,2,2,0,50.0,94,276,184,68.8,6,15.8,10,8,1,1,11.1
2017-2018,Real Sociedad,59,149,90,64.4,14,7,17,10,26.3,8,6,2,0,25.0,66,170,105,63.5,9,23.7,5,4,0,1,0.0
2017-2018,Sevilla,58,150,92,64.7,17,7,14,14,36.8,8,5,1,2,16.7,49,179,130,74.9,9,23.7,5,4,1,0,20.0
2017-2018,Valencia,38,164,124,78.7,22,7,9,12,31.6,5,3,2,0,40.0,65,183,120,68.9,6,15.8,8,8,0,0,0.0
2017-2018,Villarreal,50,157,104,71.3,18,7,13,11,28.9,8,5,3,0,37.5,57,167,110,68.3,8,21.1,5,4,1,0,20.0
2024-2025-femenino,Athletic Club,32,125,96,75.2,16,3,11,12,40.0,1,1,0,0,0.0,40,100,62,64.0,8,26.7,4,4,0,0,0.0
2024-2025-femenino,Atlético Madrid,23,102,80,78.4,16,10,4,18,60.0,1,1,0,0,0.0,49,159,113,70.4,6,20.0,2,2,0,0,0.0
2024-2025-femenino,Barcelona,16,47,31,66.0,28,0,2,17,56.7,0,0,0,0,,128,328,201,63.1,0,0.0,7,7,0,0,0.0
2024-2025-femenino,Dep La Coruña,48,182,135,74.2,6,9,15,8,26.7,1,1,0,0,0.0,27,116,89,77.6,12,40.0,2,1,1,0,50.0
2024-2025-femenino,Eibar,41,148,107,73.6,10,8,12,12,40.0,2,2,0,0,0.0,24,84,59,75.0,11,36.7,4,3,1,0,25.0
2024-2025-femenino,Espanyol,50,154,104,70.1,7,11,12,9,30.0,6,4,2,0,33.3,29,95,66,70.5,10,33.3,2,1,1,0,50.0
2024-2025-femenino,Granada,45,141,98,69.5,14,3,13,9,30.0,3,2,0,1,0.0,42,114,73,66.7,8,26.7,4,4,0,0,0.0
2024-2025-femenino,Levante,45,138,91,68.1,8,7,15,6,20.0,4,1,2,1,66.7,30,121,90,76.9,11,36.7,2,2,0,0,0.0
2024-2025-femenino,Levante Planas,45,107,63,59.8,6,10,14,7,23.3,2,2,0,0,0.0,24,120,95,84.2,12,40.0,6,5,1,0,16.7
2024-2025-femenino,Madrid CFF,62,148,87,60.8,9,6,15,2,6.7,4,4,0,0,0.0,37,128,92,71.9,10,33.3,1,1,0,0,0.0
2024-2025-femenino,Real Betis,67,187,121,66.8,6,5,19,4,13.3,6,5,1,0,16.7,24,93,70,76.3,16,53.3,2,2,0,0,0.0
2024-2025-femenino,Real Madrid,28,83,58,72.3,24,4,2,10,33.3,5,5,0,0,0.0,87,231,146,64.1,2,6.7,8,4,2,2,33.3
2024-2025-femenino,Real Sociedad,45,130,87,70.0,12,5,13,11,36.7,6,6,0,0,0.0,40,142,103,72.5,9,30.0,2,1,1,0,50.0
2024-2025-femenino,Sevilla,47,159,110,71.1,10,6,14,9,30.0,3,1,2,0,66.7,32,96,65,67.7,11,36.7,1,1,0,0,0.0
2024-2025-femenino,UDG Tenerife,36,135,98,75.6,11,9,10,10,33.3,4,3,1,0,25.0,40,125,85,70.4,10,33.3,4,3,1,0,25.0
2024-2025-femenino,Valencia,47,172,124,75.6,5,8,17,4,13.3,7,5,2,0,28.6,24,106,81,79.2,12,40.0,4,2,2,0,50.0
