Season,Squad,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Touches Live_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgDist_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries TotDist_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
2023-2024,Atlético Madrid,50.8,2368,7880,11405,5662,954,24743,567,297,52.4,227,40.0,14402,38491,758,546,181,533,303,16931,1580,49.2,24093,2473,7087,11377,5862,780,734,344,46.9,327,44.6,13383,68637,648,485,140,585,327,16293,1533
2023-2024,Barcelona,64.3,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,54148,964,728,262,605,305,21296,1911,35.7,17756,2590,6676,7139,4146,710,583,280,48.0,243,41.7,8889,47244,487,364,162,466,328,10372,982
2023-2024,Betis,50.4,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,34142,676,495,186,626,427,15184,1424,49.6,23260,2492,7590,10639,5269,717,744,325,43.7,358,48.1,12459,67077,649,532,144,556,334,15032,1440
2023-2024,Cádiz,43.3,2242,6375,8425,4551,570,19163,537,230,42.8,263,49.0,9664,25428,456,422,76,571,343,10662,996,56.7,24061,2102,7017,10887,6383,796,807,387,48.0,342,42.4,13220,72327,787,604,170,628,330,15630,1662
2023-2024,Celta Vigo,46.1,2314,7084,9675,5538,818,22057,646,295,45.7,291,45.0,12540,32693,660,489,162,600,336,13773,1332,53.9,25210,2323,7202,12448,5778,865,726,354,48.8,308,42.4,14322,73397,651,474,161,604,319,16825,1517
2023-2024,Getafe,44.8,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,24618,439,385,122,576,281,10603,1124,55.2,22993,2488,8205,10305,4717,750,640,286,44.7,291,45.5,12328,64824,599,404,146,629,317,14334,1309
2023-2024,Girona,56.9,2695,8432,11583,5985,977,25772,745,353,47.4,297,39.9,16055,46626,894,599,234,584,376,18610,1673,43.1,20464,2336,6616,8688,5391,863,575,247,43.0,274,47.7,11743,61564,610,486,160,492,270,13251,1269
2023-2024,Granada,45.6,2413,7720,8677,3997,667,20144,658,303,46.0,296,45.0,10969,28813,512,379,112,600,305,12010,1030,54.4,23519,2136,6926,10791,6025,843,687,334,48.6,289,42.1,13379,71262,728,542,175,598,348,15349,1478
2023-2024,Las Palmas,59.2,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,36286,577,459,116,645,365,18955,1573,40.8,19855,2120,6381,8981,4703,833,687,328,47.7,305,44.4,10333,56743,584,379,190,566,357,11762,1191
2023-2024,Mallorca,45.0,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,26398,498,377,108,566,313,11353,1155,55.0,23564,2063,6405,11512,5867,711,718,317,44.2,340,47.4,13445,72039,663,580,151,616,346,15209,1386
2023-2024,Osasuna,47.5,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,25894,501,408,97,540,283,12730,1306,52.5,23425,2440,7860,10580,5164,768,589,274,46.5,243,41.3,13001,66811,646,459,171,692,282,14838,1414
2023-2024,Rayo Vallecano,49.4,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,26844,506,368,116,634,373,13171,1327,50.6,21917,2382,7287,9837,5015,770,673,338,50.2,270,40.1,11508,64079,658,446,165,621,360,13403,1351
2023-2024,Real Madrid,59.2,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,52448,950,802,315,480,312,21642,1923,40.8,20983,2668,7335,9155,4702,615,504,236,46.8,225,44.6,12788,66462,583,460,127,502,332,13956,1247
2023-2024,Real Sociedad,55.3,2214,6934,11207,5377,769,23317,681,321,47.1,284,41.7,12972,36540,685,465,175,612,351,15092,1402,44.7,19722,2455,7311,8526,4089,603,619,269,43.5,283,45.7,9987,50358,405,318,99,578,368,11578,936
2023-2024,Sevilla,50.3,2261,7429,10033,5652,746,22877,632,292,46.2,278,44.0,12225,32942,635,447,146,620,280,14506,1406,49.7,22884,2402,7397,10296,5374,787,692,291,42.1,335,48.4,12098,66048,693,492,188,536,362,14675,1469
2023-2024,Valencia,44.3,2323,7222,9012,4440,593,20435,644,276,42.9,294,45.7,10723,28187,522,399,136,582,318,12130,1151,55.7,24786,2064,7654,11522,5816,801,698,309,44.3,309,44.3,14210,70919,621,459,147,635,348,16546,1575
2023-2024,Villarreal,49.6,2879,8003,9685,5250,848,22722,723,351,48.5,329,45.5,12248,34560,654,491,189,570,356,15179,1548,50.4,23143,2172,6893,10048,6441,992,580,272,46.9,260,44.8,13049,69618,734,573,182,516,316,15513,1644
2022-2023,Almería,45.1,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10792,29135,569,433,131,580,281,12047,1080,54.9,23165,1977,6271,10606,6490,1018,711,343,48.2,280,39.4,13816,75540,860,626,236,483,277,15280,1692
2022-2023,Athletic Club,51.6,1978,6159,10166,6645,931,22730,734,347,47.3,305,41.6,12898,39297,864,587,217,554,351,14284,1801,48.4,21997,2875,8384,9237,4606,626,719,320,44.5,322,44.8,12125,62047,549,410,135,600,286,13412,1202
2022-2023,Atlético Madrid,50.6,2414,7790,11103,5714,934,24415,656,322,49.1,262,39.9,13701,35788,730,473,200,486,277,16706,1557,49.4,24043,2425,7018,11697,5530,691,764,351,45.9,334,43.7,14819,75451,729,515,146,540,333,16237,1617
2022-2023,Barcelona,64.3,2020,6759,14000,7894,1154,28422,803,396,49.3,321,40.0,18802,55616,961,785,279,546,326,21144,2169,35.7,17707,2714,6971,7319,3601,547,567,271,47.8,227,40.0,9553,51042,475,342,130,517,295,10227,952
2022-2023,Betis,50.6,2330,7276,10222,5226,718,22473,773,365,47.2,311,40.2,12640,31076,621,492,156,564,353,14568,1259,49.4,21956,2101,6663,9684,5849,785,774,363,46.9,338,43.7,12654,68196,749,606,146,492,327,14098,1553
2022-2023,Cádiz,41.9,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,24623,475,350,89,567,354,9839,960,58.1,23666,2154,6661,10803,6401,957,746,351,47.1,320,42.9,13832,75623,823,601,187,596,303,15488,1728
2022-2023,Celta Vigo,50.2,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,36623,704,558,161,566,298,14591,1393,49.8,22441,2271,6852,10804,4993,631,747,381,51.0,295,39.5,13039,64525,536,393,137,617,369,14469,1277
2022-2023,Elche,45.5,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11273,29395,561,408,107,577,345,11950,1185,54.5,23458,2067,6449,10874,6360,932,695,323,46.5,280,40.3,13420,72977,737,555,204,588,353,15458,1597
2022-2023,Espanyol,43.1,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,25085,528,385,111,526,245,10712,1135,56.9,23635,2324,7122,10596,6153,936,680,299,44.0,301,44.3,13382,73050,748,549,223,539,351,15672,1619
2022-2023,Getafe,39.9,1980,5769,8366,3993,589,17940,456,217,47.6,189,41.4,8695,20506,365,292,78,504,268,9605,989,60.1,25414,2202,7691,12149,5823,670,714,334,46.8,285,39.9,14672,76145,688,544,138,556,256,16902,1504
2022-2023,Girona,51.3,2619,7919,9753,4932,761,22389,728,341,46.8,311,42.7,13365,38669,725,497,167,467,330,15020,1364,48.7,21779,2166,6541,9479,5968,808,623,288,46.2,244,39.2,12609,66110,677,507,166,467,307,14270,1425
2022-2023,Mallorca,41.1,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,24564,476,341,94,498,302,10356,935,58.9,24505,1788,5800,12118,6813,758,652,298,45.7,283,43.4,15033,80117,795,569,132,561,300,16791,1695
2022-2023,Osasuna,48.0,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,28888,545,416,128,590,316,12580,1338,52.0,22253,2493,7751,9410,5318,786,673,322,47.8,266,39.5,12906,68441,680,486,170,586,268,14007,1357
2022-2023,Rayo Vallecano,51.2,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,33507,703,547,131,554,374,13384,1377,48.8,21335,2445,7779,8961,4840,738,765,383,50.1,281,36.7,11197,60030,589,432,165,594,355,12797,1222
2022-2023,Real Madrid,60.9,2415,7782,12859,8463,1151,28872,971,475,48.9,379,39.0,19026,53191,1008,734,338,490,297,21956,2000,39.1,19963,2604,6935,8542,4678,640,617,306,49.6,259,42.0,11794,62135,631,505,140,470,283,12901,1178
2022-2023,Real Sociedad,54.6,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,36738,692,499,187,607,368,15101,1463,45.4,20064,2400,7172,8271,4812,654,681,328,48.2,285,41.9,10456,56751,575,450,130,558,375,12005,1017
2022-2023,Sevilla,52.6,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13544,32550,558,520,122,515,312,15243,1497,47.4,21296,2448,6961,9372,5172,750,661,310,46.9,281,42.5,12175,64880,643,489,160,532,306,13536,1265
2022-2023,Valencia,52.0,2061,6446,9155,6255,822,21612,747,352,47.1,307,41.1,12240,37665,786,630,165,555,338,13469,1457,48.0,20602,2406,7019,9022,4748,680,712,334,46.9,311,43.7,11308,59636,480,378,117,545,367,12455,1209
2022-2023,Valladolid,48.7,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,32319,610,451,147,589,316,12521,1233,51.3,21570,2128,6441,9260,6084,980,712,332,46.6,296,41.6,11974,64300,723,531,215,533,375,13506,1474
2022-2023,Villarreal,56.9,2621,7659,10215,6181,911,23811,880,435,49.4,345,39.2,14393,45453,846,570,239,552,343,16363,1617,43.1,19276,2222,6362,8049,5094,744,597,264,44.2,270,45.2,10572,57622,640,480,170,513,308,11928,1226
2021-2022,Alavés,42.0,2222,6215,8104,4235,605,18364,504,271,53.8,233,46.2,8699,20539,420,310,102,616,278,9576,969,58.2,24006,2263,7419,10974,5796,897,638,375,58.8,262,41.1,13155,67162,656,466,159,632,288,15266,1558
2021-2022,Athletic Club,48.1,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,30509,653,461,146,569,341,12839,1559,51.9,23145,2686,8299,9724,5338,738,582,358,61.5,224,38.5,13233,61552,586,413,154,626,284,14558,1356
2021-2022,Atlético Madrid,50.6,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,34800,705,531,164,555,353,14978,1456,49.4,22840,2520,7416,10829,4797,518,619,326,52.7,293,47.3,12320,62922,495,430,78,587,343,14731,1304
2021-2022,Barcelona,64.2,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,52508,961,704,280,623,358,21334,2059,35.2,18008,2652,7090,7453,3639,576,493,249,50.5,244,49.5,9266,49398,448,287,136,569,343,10357,931
2021-2022,Betis,53.7,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,33876,666,482,187,588,364,15573,1501,45.9,21018,2221,6760,9187,5302,736,695,371,53.4,324,46.6,11051,61249,686,469,160,562,338,12921,1356
2021-2022,Cádiz,41.3,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,26751,571,382,106,576,291,10039,1063,59.1,24939,2196,6771,12031,6336,803,712,410,57.6,302,42.4,14139,77242,735,581,139,672,345,16592,1789
2021-2022,Celta Vigo,55.2,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,38568,665,544,125,572,310,15869,1434,44.4,21082,2265,6965,9473,4873,676,762,476,62.5,286,37.5,10464,53122,547,395,133,679,410,12239,1241
2021-2022,Elche,48.4,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,26247,531,403,89,650,330,12844,1087,51.6,22214,1764,6198,10589,5631,834,623,354,56.8,268,43.0,12291,66584,657,488,163,567,321,14181,1463
2021-2022,Espanyol,46.9,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,30222,610,468,119,563,331,13239,1196,52.9,23110,1938,6189,10593,6526,976,646,371,57.4,275,42.6,12859,72070,800,567,194,533,282,15370,1679
2021-2022,Getafe,41.5,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,20748,399,328,92,603,301,10197,910,58.8,25022,2099,7619,12389,5225,653,594,346,58.2,248,41.8,14196,68698,612,505,111,621,339,16581,1509
2021-2022,Granada,44.7,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,24761,435,354,96,588,321,10466,1036,66.0,22987,2120,6813,10236,6130,960,632,358,56.6,274,43.4,12410,63240,706,505,190,644,337,14472,1594
2021-2022,Levante,47.2,2377,7382,8840,4535,719,20487,683,348,51.0,335,49.0,10842,29187,569,405,154,614,302,12487,1334,53.1,22619,2204,6680,10519,5639,842,611,374,61.2,237,38.8,12819,67914,716,561,187,554,321,14569,1437
2021-2022,Mallorca,45.3,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,27611,575,449,112,613,404,10923,1110,54.9,22593,2165,6846,10513,5434,804,551,303,55.0,248,45.0,12229,64575,650,495,141,622,359,14251,1358
2021-2022,Osasuna,46.9,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,23279,417,358,76,597,309,11775,1313,53.3,23306,2463,7877,10125,5520,747,598,347,58.0,251,42.0,12658,67449,722,527,182,603,326,14488,1309
2021-2022,Rayo Vallecano,49.9,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,32089,697,497,151,696,371,12632,1299,50.1,21403,2364,7202,9223,5218,723,688,408,59.3,280,40.7,11305,58159,603,470,154,614,341,12807,1315
2021-2022,Real Madrid,59.9,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,51714,1029,757,330,495,277,21234,2061,34.0,20331,2591,6738,8722,5040,681,502,291,58.0,211,42.0,11747,60712,632,509,147,507,349,13167,1250
2021-2022,Real Sociedad,54.3,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13290,36038,667,546,178,626,391,15188,1447,45.3,20488,2362,6990,8514,5184,665,546,286,52.4,260,47.6,11269,57819,587,471,149,625,326,12202,1191
2021-2022,Sevilla,59.4,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,34977,625,517,139,589,326,18197,1580,40.2,19020,2220,6221,8288,4698,685,542,306,56.5,236,43.5,9919,52159,521,423,124,558,298,11202,1174
2021-2022,Valencia,43.6,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,27482,554,449,109,656,294,9503,1187,56.4,21974,2234,7262,9584,5338,726,623,357,57.3,266,42.7,11943,61183,597,444,133,663,325,13584,1383
2021-2022,Villarreal,56.8,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,42169,790,483,240,570,332,16415,1683,43.0,19595,2370,6846,8101,4842,700,476,247,51.9,229,48.1,10274,56171,583,422,161,521,309,11770,1087
2020-2021,Alavés,42.8,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,20934,404,315,104,557,256,10113,926,57.3,23128,2076,6655,10894,5762,716,565,368,65.1,197,34.9,12586,68276,632,488,139,564,302,15191,1461
2020-2021,Athletic Club,49.9,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,35153,685,508,147,496,335,13474,1477,50.2,22249,2418,7574,9636,5255,664,515,348,67.6,167,32.4,12503,63220,589,465,121,557,294,14174,1366
2020-2021,Atlético Madrid,52.3,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,36112,694,483,190,503,342,16649,1598,47.6,22889,2326,6949,10656,5476,577,631,335,53.1,296,46.9,12371,66054,557,531,89,516,326,15032,1371
2020-2021,Barcelona,65.5,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,56171,972,930,276,477,341,25054,2144,45.0,18887,2541,6990,8060,4070,606,522,298,57.1,224,42.9,10362,57617,529,402,127,534,275,11631,1027
2020-2021,Betis,53.6,2102,6948,11168,5736,790,23631,638,420,65.8,218,34.2,13276,34503,694,547,172,591,368,15686,1428,46.1,20972,2314,7011,9392,4770,658,556,345,62.1,211,37.9,11164,59828,551,399,127,505,345,13078,1297
2020-2021,Cádiz,34.8,2120,5874,6716,3598,438,15975,513,321,62.6,192,37.4,7259,20745,455,357,79,561,294,7859,838,65.7,26777,1848,6813,13118,7046,835,607,360,59.3,247,40.7,15858,87187,820,700,146,569,326,18861,1876
2020-2021,Celta Vigo,53.3,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13151,31160,514,431,109,533,279,15060,1299,46.3,20854,1927,6118,9489,5453,714,694,456,65.7,238,34.3,10960,56851,578,430,139,637,424,12701,1231
2020-2021,Eibar,49.3,1764,5553,9563,5924,671,20819,519,320,61.7,199,38.3,10428,24386,507,373,102,657,320,11685,1282,50.4,21668,2897,9306,8407,4147,603,519,315,60.7,203,39.1,10485,51893,446,317,125,544,311,12449,1036
2020-2021,Elche,47.5,2572,8345,9141,3560,417,20846,618,365,59.1,253,40.9,11794,28514,501,368,73,614,345,13378,922,52.4,22919,1668,5637,11438,6060,824,578,368,63.7,210,36.3,14099,73905,702,575,158,526,341,15541,1630
2020-2021,Getafe,43.3,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,21035,443,390,116,607,354,8882,1076,57.2,22842,2309,8032,10578,4424,496,619,378,61.1,241,38.9,11476,56925,454,333,87,600,338,13875,1180
2020-2021,Granada,41.4,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,21461,411,288,105,526,346,8979,961,59.0,23132,1938,6784,10742,5793,792,468,283,60.5,186,39.7,12755,66716,636,503,146,590,314,14910,1431
2020-2021,Huesca,48.3,2396,7960,9099,4469,594,21267,653,426,65.2,227,34.8,11737,34054,617,452,113,539,305,13397,1173,51.7,23054,2166,6647,10739,5873,741,579,340,58.7,239,41.3,13402,66411,657,474,141,563,317,15249,1433
2020-2021,Levante,52.2,2407,7652,9504,4931,679,21876,615,366,59.5,249,40.5,12435,33417,621,446,136,548,326,14069,1526,47.6,20773,2104,6440,9282,5282,800,543,335,61.7,209,38.5,11550,61623,625,486,175,505,304,12942,1284
2020-2021,Osasuna,43.2,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,19734,345,315,64,588,310,10118,1200,56.9,24102,2239,7544,11030,5720,776,553,328,59.3,224,40.5,12972,68706,678,529,178,594,300,15223,1510
2020-2021,Real Madrid,59.3,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,49939,963,739,242,546,315,20538,1909,40.3,20377,2548,6876,8894,4799,573,532,340,63.9,192,36.1,11436,58738,545,467,117,499,339,13087,1148
2020-2021,Real Sociedad,54.9,2089,6527,10724,5581,823,22611,550,330,60.0,220,40.0,12816,37154,626,492,125,518,311,14729,1530,44.9,19586,2348,6984,8569,4222,579,480,280,58.3,200,41.7,10251,50970,436,319,115,525,347,11770,1002
2020-2021,Sevilla,60.9,2495,8190,12249,6228,784,26478,599,392,65.4,207,34.6,15794,38933,691,552,151,516,309,19128,1606,55.0,18445,2148,6138,8069,4430,579,510,326,63.9,184,36.1,9885,51392,544,445,118,569,308,11114,1089
2020-2021,Valencia,46.9,2575,7195,8736,4520,560,20229,553,341,61.7,212,38.3,11500,32815,576,468,102,498,268,12660,1168,53.1,22473,1899,5948,10051,6697,894,592,394,66.6,198,33.4,12591,65616,713,563,163,465,265,14936,1630
2020-2021,Valladolid,45.2,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,25666,564,423,112,524,328,11055,1089,54.9,22763,2003,6612,10553,5815,818,681,434,63.7,247,36.3,12690,65770,693,528,152,577,312,14474,1539
2020-2021,Villarreal,55.2,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,41859,737,558,185,545,336,17313,1608,44.4,21190,2249,6635,9463,5298,687,588,349,59.4,239,40.6,11878,62594,635,481,140,505,300,13588,1219
2019-2020,Alavés,41.5,2032,6060,8359,3622,508,17859,497,251,50.5,246,49.5,9373,20855,403,307,100,535,309,9525,936,58.5,23863,1842,6718,11873,5477,739,619,364,58.8,255,41.2,13268,69567,656,492,146,600,324,15540,1535
2019-2020,Athletic Club,48.7,2064,6212,9835,5031,594,20847,587,337,57.4,250,42.6,10354,30842,604,493,110,576,299,12422,1273,51.3,21884,2203,7001,9816,5267,651,614,396,64.5,217,35.3,12428,65062,615,488,106,549,316,13538,1382
2019-2020,Atlético Madrid,48.6,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,30072,598,516,156,586,377,13506,1323,51.4,23174,2256,6949,11021,5427,606,640,357,55.8,283,44.2,13247,68033,619,569,105,545,375,14793,1508
2019-2020,Barcelona,66.4,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,57254,923,864,243,444,354,24606,2036,33.6,18087,2241,6429,7656,4201,619,501,290,57.9,211,42.1,9797,54159,576,416,170,470,325,10825,996
2019-2020,Betis,56.7,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,41021,834,634,200,548,355,16065,1463,43.3,19236,2164,6191,8320,4907,793,511,290,56.8,221,43.2,10260,56375,613,438,180,466,280,11524,1250
2019-2020,Celta Vigo,51.7,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,33492,670,521,133,541,375,14460,1358,48.4,21488,1911,5845,9854,6026,745,615,364,59.2,251,40.8,11897,65184,679,537,148,511,338,13334,1423
2019-2020,Eibar,46.3,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,21965,424,409,110,564,355,10333,1246,53.7,22447,2798,9373,8818,4454,662,607,343,56.5,264,43.5,11837,59571,561,412,148,608,303,13149,1168
2019-2020,Espanyol,47.4,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,29721,561,405,103,576,331,11783,1222,52.6,22320,2161,6637,10437,5498,696,701,444,63.3,257,36.7,12409,68225,688,552,151,536,371,13875,1444
2019-2020,Getafe,45.0,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,18906,416,330,82,635,318,8211,1179,55.0,21102,2227,7906,9625,3758,464,574,338,58.9,235,40.9,10240,51878,376,315,89,686,345,11648,1073
2019-2020,Granada,43.8,2226,6282,7633,4377,585,18066,553,300,54.2,253,45.8,9792,25249,511,381,111,486,290,9720,994,56.2,22510,1937,6931,10446,5317,703,570,332,58.2,238,41.8,12484,66692,672,492,180,575,346,14259,1386
2019-2020,Leganés,43.9,1764,5798,8465,4791,636,18836,581,342,58.9,239,41.1,9273,24609,498,412,122,544,291,10246,1145,56.1,23472,2199,7106,11477,5069,588,610,356,58.4,254,41.6,12902,69099,632,562,114,588,349,14940,1407
2019-2020,Levante,48.3,2479,7642,8291,4454,632,20205,637,386,60.6,251,39.4,10797,32153,711,417,157,537,302,12313,1350,51.7,21696,2115,6333,9561,6022,959,532,328,61.7,204,38.3,12480,66807,741,557,219,549,303,13726,1485
2019-2020,Mallorca,45.0,2340,6588,8406,4870,686,19616,709,392,55.3,317,44.7,11405,34539,740,527,201,625,353,11691,1201,55.0,23484,2066,6696,10996,6017,930,602,375,62.3,227,37.7,13556,74203,774,565,203,545,318,15485,1663
2019-2020,Osasuna,47.4,2002,6073,9400,4869,661,20114,525,315,60.0,210,40.0,9935,25607,562,428,124,611,306,10840,1346,52.6,22151,2230,7171,10223,4984,686,617,350,56.7,267,43.3,11357,59766,581,427,143,620,346,12918,1293
2019-2020,Real Madrid,58.8,2234,7711,12551,7671,1038,27682,769,484,62.9,285,37.1,17146,47544,951,727,302,518,315,19981,1951,41.2,20543,2583,7110,9207,4451,530,595,369,62.0,226,38.0,11264,60819,604,473,131,498,360,12905,1199
2019-2020,Real Sociedad,56.2,2340,7553,11352,5327,778,24032,591,355,60.1,234,39.6,14006,40635,737,523,149,552,357,15827,1573,43.8,19876,2210,6594,8777,4746,694,573,321,56.0,252,44.0,10620,55968,546,441,158,539,299,11562,1117
2019-2020,Sevilla,57.9,2229,7794,11678,6387,920,25643,667,413,61.9,254,38.1,14440,39085,803,571,211,541,352,17430,1804,42.1,19982,2400,6615,8833,4755,552,661,400,60.5,261,39.5,10431,55937,552,452,124,573,326,11679,1123
2019-2020,Valencia,49.0,2592,7697,9694,4654,638,21839,549,345,62.8,203,37.0,12893,36309,671,491,114,521,283,14386,1367,51.0,23063,1945,6033,10538,6712,902,590,357,60.5,232,39.3,13600,74649,863,648,204,460,268,15626,1681
2019-2020,Valladolid,44.7,2162,6607,9057,3980,480,19404,569,338,59.4,231,40.6,9985,27378,510,403,110,537,324,11102,1096,55.3,23568,1868,5973,11723,6085,787,672,433,64.4,239,35.6,13197,74264,797,568,158,652,329,15342,1750
2019-2020,Villarreal,52.9,2532,7874,11259,5231,772,24126,690,431,62.5,259,37.5,13189,37620,694,518,209,601,310,16111,1472,47.1,21804,2106,6369,9998,5666,812,602,384,63.8,218,36.2,12330,64811,676,473,170,508,335,13890,1452
2018-2019,Alavés,42.7,2174,6367,8264,4063,609,18472,489,276,56.4,213,43.6,8348,24646,511,366,103,587,341,9540,1102,57.3,23524,2023,6609,11133,6010,864,595,341,57.3,254,42.7,12837,71687,714,535,173,587,392,14794,1825
2018-2019,Athletic Club,50.0,1935,6265,10194,5320,703,21546,542,288,53.1,254,46.9,10781,31442,626,533,124,522,344,13087,1434,50.0,21677,2176,6972,9852,5095,657,646,401,62.1,245,37.9,11399,64793,677,536,124,525,398,13185,1309
2018-2019,Atlético Madrid,49.2,1928,6339,10785,6196,765,23119,572,366,64.0,205,35.8,12778,34534,677,581,169,497,412,14831,1369,50.8,23808,2256,7066,11384,5594,638,701,381,54.4,319,45.5,12723,68078,662,596,112,531,465,15622,1645
2018-2019,Barcelona,64.4,2182,7325,14901,8400,1045,30385,753,446,59.2,307,40.8,19443,52422,851,840,266,456,435,23143,2095,35.6,18710,2299,6567,8133,4232,651,492,266,54.1,226,45.9,9990,55948,558,431,149,488,311,11102,1081
2018-2019,Betis,61.8,2351,7748,12726,6515,826,26755,717,449,62.6,267,37.2,16024,48124,887,705,218,569,392,19278,1622,38.2,17994,2061,5784,7874,4579,698,544,325,59.7,219,40.3,9473,53519,577,460,176,483,396,10516,1139
2018-2019,Celta Vigo,51.6,2297,7252,10891,4967,670,22882,626,380,60.7,246,39.3,12743,34962,673,588,141,499,371,14866,1278,48.4,21502,1931,6001,10013,5698,818,563,304,54.0,258,45.8,11699,65154,721,507,179,497,376,13520,1488
2018-2019,Eibar,54.0,1611,4998,10759,6998,907,22520,592,344,58.1,248,41.9,11159,28489,565,523,135,576,387,12814,1596,46.0,20644,2765,8817,8410,3621,574,564,323,57.3,240,42.6,9346,48705,459,292,143,614,397,10819,1058
2018-2019,Espanyol,49.4,2499,7590,9658,4910,689,21899,523,318,60.8,204,39.0,12023,34689,642,500,139,565,374,13752,1482,50.6,22224,2083,6393,10123,5959,842,684,421,61.5,263,38.5,12180,70682,799,670,201,511,392,14132,1572
2018-2019,Getafe,40.7,1810,5155,7727,4688,688,17351,576,299,51.9,277,48.1,7394,20707,448,383,117,589,366,8009,1121,59.3,23942,2119,7657,11542,4958,653,617,362,58.7,255,41.3,12434,64651,525,427,114,644,349,14591,1373
2018-2019,Girona,48.0,2422,7551,9834,4221,633,21357,537,316,58.8,221,41.2,11343,31729,634,487,102,502,370,13037,1303,52.0,22861,2037,6445,10613,6045,878,636,372,58.5,264,41.5,13030,73146,809,633,221,529,349,14575,1602
