Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Playing Time MP_for,Playing Time Min_for,Playing Time Mn/MP_for,Playing Time Min%_for,Playing Time 90s_for,Starts Starts_for,Starts Mn/Start_for,Starts Compl_for,Subs Subs_for,Subs Mn/Sub_for,Subs unSub_for,Team Success PPM_for,Team Success onG_for,Team Success onGA_for,Team Success +/-_for,Team Success +/-90_for,Team Success (xG) onxG_for,Team Success (xG) onxGA_for,Team Success (xG) xG+/-_for,Team Success (xG) xG+/-90_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Playing Time MP_against,Playing Time Min_against,Playing Time Mn/MP_against,Playing Time Min%_against,Playing Time 90s_against,Starts Starts_against,Starts Mn/Start_against,Starts Compl_against,Subs Subs_against,Subs Mn/Sub_against,Subs unSub_against,Team Success PPM_against,Team Success onG_against,Team Success onGA_against,Team Success +/-_against,Team Success +/-90_against,Team Success (xG) onxG_against,Team Success (xG) onxGA_against,Team Success (xG) xG+/-_against,Team Success (xG) xG+/-90_against,Season
Mallorca,28,28.7,38,3420,90,100,38.0,418,82,233.0,179,18,260,1.26,35,44,-9,-0.24,38.8,46.8,-8.1,-0.21,28,26.6,38,3420,90,100,38.0,418,82,246.0,171,21,252,1.5,44,35,9,0.24,46.8,38.8,8.1,0.21,2024-2025
Osasuna,25,27.4,38,3420,90,100,38.0,418,82,239.0,183,18,256,1.37,48,52,-4,-0.11,44.0,53.7,-9.6,-0.25,25,26.7,38,3420,90,100,38.0,418,82,242.0,172,22,263,1.21,52,48,4,0.11,53.7,44.0,9.6,0.25,2024-2025
Rayo Vallecano,26,29.3,38,3420,90,100,38.0,418,80,227.0,188,22,256,1.37,41,45,-4,-0.11,45.4,49.0,-3.5,-0.09,26,26.4,38,3420,90,100,38.0,418,80,242.0,172,22,253,1.29,45,41,4,0.11,49.0,45.4,3.5,0.09,2024-2025
Real Madrid,30,26.6,38,3420,90,100,38.0,418,83,270.0,144,18,213,2.21,78,38,40,1.05,75.3,42.8,32.5,0.86,30,26.7,38,3420,90,100,38.0,418,83,234.0,181,20,244,0.63,38,78,-40,-1.05,42.8,75.3,-32.5,-0.86,2024-2025
Real Sociedad,31,25.2,38,3420,90,100,38.0,418,79,233.0,181,25,268,1.21,35,46,-11,-0.29,42.5,43.9,-1.5,-0.04,31,26.8,38,3420,90,100,38.0,418,79,248.0,170,21,251,1.61,46,35,11,0.29,43.9,42.5,1.5,0.04,2024-2025
Sevilla,35,26.1,38,3420,90,100,38.0,418,82,240.0,174,18,266,1.08,42,55,-13,-0.34,42.7,47.4,-4.7,-0.12,35,26.8,38,3420,90,100,38.0,418,82,234.0,183,20,243,1.63,55,42,13,0.34,47.4,42.7,4.7,0.12,2024-2025
Valencia,32,24.7,38,3420,90,100,38.0,418,82,238.0,179,19,264,1.21,44,54,-10,-0.26,43.2,51.9,-8.6,-0.23,32,26.8,38,3420,90,100,38.0,418,82,237.0,180,22,248,1.45,54,44,10,0.26,51.9,43.2,8.6,0.23,2024-2025
Valladolid,38,25.6,38,3420,90,100,38.0,418,79,238.0,177,25,264,0.42,26,90,-64,-1.68,34.6,67.6,-33.0,-0.87,38,27.0,38,3420,90,100,38.0,418,79,235.0,182,21,248,2.47,90,26,64,1.68,67.6,34.6,33.0,0.87,2024-2025
Villarreal,31,26.7,38,3420,90,100,38.0,418,81,239.0,177,21,179,1.84,71,51,20,0.53,64.8,44.4,20.4,0.54,31,26.8,38,3420,90,100,38.0,418,81,228.0,183,23,251,0.89,51,71,-20,-0.53,44.4,64.8,-20.4,-0.54,2024-2025
Alavés,30,25.6,38,3420,90,100,38.0,418,82,230.0,187,18,258,1.21,36,46,-10,-0.26,46.2,44.7,1.5,0.04,30,27.2,38,3420,90,100,38.0,418,82,238.0,178,22,237,1.53,46,36,10,0.26,44.7,46.2,-1.5,-0.04,2023-2024
Almería,35,25.6,38,3420,90,100,38.0,418,81,239.0,176,22,257,0.55,43,75,-32,-0.84,48.7,61.6,-12.9,-0.34,35,27.1,38,3420,90,100,38.0,418,81,235.0,181,22,237,2.13,75,43,32,0.84,61.6,48.7,12.9,0.34,2023-2024
Athletic Club,27,27.3,38,3420,90,100,38.0,418,80,225.0,188,22,255,1.79,61,37,24,0.63,52.7,41.3,11.4,0.3,27,27.0,38,3420,90,100,38.0,418,80,250.0,167,23,244,0.92,37,61,-24,-0.63,41.3,52.7,-11.4,-0.3,2023-2024
Atlético Madrid,27,29.2,38,3420,90,100,38.0,418,78,233.0,183,26,198,2.0,70,43,27,0.71,62.4,39.5,23.0,0.6,27,26.9,38,3420,90,100,38.0,418,78,242.0,174,20,235,0.89,43,70,-27,-0.71,39.5,62.4,-23.0,-0.6,2023-2024
Barcelona,29,26.0,38,3420,90,100,38.0,418,81,257.0,161,23,230,2.24,79,44,35,0.92,77.6,41.6,35.9,0.94,29,26.9,38,3420,90,100,38.0,418,81,238.0,174,21,243,0.58,44,79,-35,-0.92,41.6,77.6,-35.9,-0.94,2023-2024
Betis,35,27.8,38,3420,90,100,38.0,418,80,253.0,164,24,237,1.5,48,45,3,0.08,43.9,50.2,-6.3,-0.17,35,27.0,38,3420,90,100,38.0,418,80,238.0,177,20,236,1.11,45,48,-3,-0.08,50.2,43.9,6.3,0.17,2023-2024
Cádiz,34,28.5,38,3420,90,100,38.0,418,80,227.0,186,21,257,0.87,26,55,-29,-0.76,36.0,52.3,-16.3,-0.43,34,27.3,38,3420,90,100,38.0,418,80,236.0,181,20,236,1.74,55,26,29,0.76,52.3,36.0,16.3,0.43,2023-2024
Celta Vigo,31,26.7,38,3420,90,100,38.0,418,82,249.0,167,19,277,1.08,46,57,-11,-0.29,50.7,54.6,-3.8,-0.1,31,27.1,38,3420,90,100,38.0,418,82,236.0,179,22,238,1.63,57,46,11,0.29,54.6,50.7,3.8,0.1,2023-2024
Getafe,33,27.3,38,3420,90,100,38.0,418,80,241.0,171,22,195,1.13,42,54,-12,-0.32,45.7,53.8,-8.1,-0.21,33,27.2,38,3420,90,100,38.0,418,80,232.0,177,19,236,1.53,54,42,12,0.32,53.8,45.7,8.1,0.21,2023-2024
Girona,25,26.1,38,3420,90,100,38.0,418,83,251.0,167,19,221,2.13,85,46,39,1.03,70.8,54.3,16.5,0.43,25,27.2,38,3420,90,100,38.0,418,83,236.0,180,21,237,0.71,46,85,-39,-1.03,54.3,70.8,-16.5,-0.43,2023-2024
Granada,40,26.7,38,3420,90,100,38.0,418,82,236.0,180,19,244,0.55,38,79,-41,-1.08,42.6,64.2,-21.6,-0.57,40,27.2,38,3420,90,100,38.0,418,82,242.0,174,22,238,2.21,79,38,41,1.08,64.2,42.6,21.6,0.57,2023-2024
Las Palmas,29,25.6,38,3420,90,100,38.0,418,81,238.0,177,20,266,1.05,33,47,-14,-0.37,33.2,56.6,-23.5,-0.62,29,27.1,38,3420,90,100,38.0,418,81,230.0,183,22,238,1.68,47,33,14,0.37,56.6,33.2,23.5,0.62,2023-2024
Mallorca,25,28.7,38,3420,90,100,38.0,418,80,230.0,186,22,263,1.05,33,44,-11,-0.29,40.5,42.9,-2.5,-0.06,25,27.0,38,3420,90,100,38.0,418,80,252.0,169,20,254,1.53,44,33,11,0.29,42.9,40.5,2.5,0.06,2023-2024
Osasuna,29,27.7,38,3420,90,100,38.0,418,82,233.0,182,19,211,1.18,45,56,-11,-0.29,40.5,49.9,-9.4,-0.25,29,27.1,38,3420,90,100,38.0,418,82,246.0,170,21,244,1.58,56,45,11,0.29,49.9,40.5,9.4,0.25,2023-2024
Rayo Vallecano,26,29.4,38,3420,90,100,38.0,418,81,229.0,186,21,255,1.0,29,48,-19,-0.5,42.3,44.6,-2.3,-0.06,26,26.9,38,3420,90,100,38.0,418,81,237.0,178,21,241,1.63,48,29,19,0.5,44.6,42.3,2.3,0.06,2023-2024
Real Madrid,27,27.4,38,3420,90,100,38.0,418,83,251.0,164,18,192,2.5,87,26,61,1.61,68.8,35.4,33.4,0.88,27,27.1,38,3420,90,100,38.0,418,83,241.0,177,23,238,0.29,26,87,-61,-1.61,35.4,68.8,-33.4,-0.88,2023-2024
Real Sociedad,31,25.8,38,3420,90,100,38.0,418,80,241.0,178,23,271,1.58,51,39,12,0.32,44.9,41.3,3.6,0.1,31,27.2,38,3420,90,100,38.0,418,80,239.0,175,20,237,1.11,39,51,-12,-0.32,41.3,44.9,-3.6,-0.1,2023-2024
Sevilla,35,28.6,38,3420,90,100,38.0,418,82,248.0,168,20,274,1.08,48,54,-6,-0.16,44.9,55.9,-11.0,-0.29,35,27.2,38,3420,90,100,38.0,418,82,242.0,175,18,237,1.63,54,48,6,0.16,55.9,44.9,11.0,0.29,2023-2024
Valencia,29,23.8,38,3420,90,100,38.0,418,81,237.0,179,20,229,1.29,40,45,-5,-0.13,43.1,47.6,-4.5,-0.12,29,27.1,38,3420,90,100,38.0,418,81,234.0,181,22,237,1.45,45,40,5,0.13,47.6,43.1,4.5,0.12,2023-2024
Villarreal,32,27.9,38,3420,90,100,38.0,418,80,235.0,178,22,186,1.39,65,65,0,0.0,55.6,58.7,-3.2,-0.08,32,27.1,38,3420,90,100,38.0,418,80,239.0,178,21,233,1.32,65,65,0,0.0,58.7,55.6,3.2,0.08,2023-2024
Almería,29,26.4,38,3420,90,100,38.0,418,81,229.0,187,21,254,1.08,49,65,-16,-0.42,45.5,62.5,-17.0,-0.45,29,27.6,38,3420,90,100,38.0,418,81,242.0,173,22,244,1.71,65,49,16,0.42,62.5,45.5,17.0,0.45,2022-2023
Athletic Club,26,27.4,38,3420,90,100,38.0,418,81,234.0,182,19,248,1.34,47,43,4,0.11,54.2,36.9,17.3,0.46,26,27.3,38,3420,90,100,38.0,418,81,241.0,178,22,232,1.42,43,47,-4,-0.11,36.9,54.2,-17.3,-0.46,2022-2023
Atlético Madrid,27,28.5,38,3420,90,100,38.0,418,81,245.0,168,22,201,2.03,70,33,37,0.97,61.9,41.1,20.8,0.55,27,27.0,38,3420,90,100,38.0,418,81,238.0,176,21,244,0.76,33,70,-37,-0.97,41.1,61.9,-20.8,-0.55,2022-2023
Barcelona,29,25.9,38,3420,90,100,38.0,418,81,246.0,168,23,227,2.32,70,20,50,1.32,75.5,33.2,42.3,1.11,29,27.4,38,3420,90,100,38.0,418,81,235.0,179,23,244,0.58,20,70,-50,-1.32,33.2,75.5,-42.3,-1.11,2022-2023
Betis,30,28.6,38,3420,90,100,38.0,418,81,242.0,165,21,254,1.58,46,41,5,0.13,51.3,50.0,1.3,0.03,30,27.3,38,3420,90,100,38.0,418,81,239.0,174,21,244,1.18,41,46,-5,-0.13,50.0,51.3,-1.3,-0.03,2022-2023
Cádiz,38,29.1,38,3420,90,100,38.0,418,79,230.0,183,24,244,1.11,30,53,-23,-0.61,41.5,61.6,-20.1,-0.53,38,27.2,38,3420,90,100,38.0,418,79,242.0,169,20,254,1.58,53,30,23,0.61,61.6,41.5,20.1,0.53,2022-2023
Celta Vigo,26,26.7,38,3420,90,100,38.0,418,81,253.0,161,22,266,1.13,43,53,-10,-0.26,42.6,45.4,-2.8,-0.07,26,27.6,38,3420,90,100,38.0,418,81,239.0,174,22,241,1.61,53,43,10,0.26,45.4,42.6,2.8,0.07,2022-2023
Elche,32,28.3,38,3420,90,100,38.0,418,79,234.0,177,24,242,0.66,30,67,-37,-0.97,37.5,70.0,-32.6,-0.86,32,27.3,38,3420,90,100,38.0,418,79,234.0,179,22,225,2.08,67,30,37,0.97,70.0,37.5,32.6,0.86,2022-2023
Espanyol,33,27.6,38,3420,90,100,38.0,418,81,246.0,169,21,238,0.97,52,69,-17,-0.45,48.3,59.8,-11.5,-0.3,33,27.6,38,3420,90,100,38.0,418,81,244.0,171,19,250,1.68,69,52,17,0.45,59.8,48.3,11.5,0.3,2022-2023
Getafe,25,27.4,38,3420,90,100,38.0,418,82,249.0,165,20,269,1.11,34,45,-11,-0.29,36.7,46.0,-9.4,-0.25,25,27.5,38,3420,90,100,38.0,418,82,244.0,169,23,255,1.58,45,34,11,0.29,46.0,36.7,9.4,0.25,2022-2023
Girona,29,26.0,38,3420,90,100,38.0,418,81,239.0,179,21,228,1.29,58,55,3,0.08,50.6,54.9,-4.3,-0.11,29,27.2,38,3420,90,100,38.0,418,81,247.0,168,21,262,1.45,55,58,-3,-0.08,54.9,50.6,4.3,0.11,2022-2023
Mallorca,31,27.7,38,3420,90,100,38.0,418,82,250.0,165,19,280,1.32,37,43,-6,-0.16,35.2,46.4,-11.2,-0.3,31,27.4,38,3420,90,100,38.0,418,82,241.0,174,20,233,1.47,43,37,6,0.16,46.4,35.2,11.2,0.3,2022-2023
Osasuna,26,27.5,38,3420,90,100,38.0,418,81,230.0,183,20,198,1.39,37,42,-5,-0.13,39.8,45.7,-5.9,-0.15,26,27.4,38,3420,90,100,38.0,418,81,238.0,175,21,242,1.39,42,37,5,0.13,45.7,39.8,5.9,0.15,2022-2023
Rayo Vallecano,28,27.9,38,3420,90,100,38.0,418,82,231.0,183,18,267,1.29,45,53,-8,-0.21,43.9,50.3,-6.4,-0.17,28,27.2,38,3420,90,100,38.0,418,82,243.0,168,21,255,1.45,53,45,8,0.21,50.3,43.9,6.4,0.17,2022-2023
Real Madrid,26,27.4,38,3420,90,100,38.0,418,83,265.0,151,18,248,2.05,75,36,39,1.03,75.5,38.9,36.6,0.96,26,27.3,38,3420,90,100,38.0,418,83,236.0,178,20,233,0.79,36,75,-39,-1.03,38.9,75.5,-36.6,-0.96,2022-2023
Real Sociedad,30,25.9,38,3420,90,100,38.0,418,81,238.0,178,22,267,1.87,51,35,16,0.42,52.9,33.0,19.8,0.52,30,27.5,38,3420,90,100,38.0,418,81,241.0,170,23,238,0.92,35,51,-16,-0.42,33.0,52.9,-19.8,-0.52,2022-2023
Sevilla,35,28.7,38,3420,90,100,38.0,418,78,231.0,177,26,236,1.29,47,54,-7,-0.18,46.3,54.2,-7.9,-0.21,35,27.3,38,3420,90,100,38.0,418,78,239.0,177,21,245,1.45,54,47,7,0.18,54.2,46.3,7.9,0.21,2022-2023
Valencia,28,24.2,38,3420,90,100,38.0,418,81,238.0,176,22,271,1.11,42,45,-3,-0.08,49.3,43.5,5.8,0.15,28,27.5,38,3420,90,100,38.0,418,81,232.0,179,24,238,1.66,45,42,3,0.08,43.5,49.3,-5.8,-0.15,2022-2023
Valladolid,36,27.4,38,3420,90,100,38.0,418,78,227.0,189,27,225,1.05,33,63,-30,-0.79,38.5,65.2,-26.6,-0.7,36,27.4,38,3420,90,100,38.0,418,78,247.0,173,21,231,1.76,63,33,30,0.79,65.2,38.5,26.6,0.7,2022-2023
Villarreal,32,28.4,38,3420,90,100,38.0,418,81,245.0,172,21,204,1.68,59,40,19,0.5,61.6,49.9,11.8,0.31,32,27.2,38,3420,90,100,38.0,418,81,240.0,174,20,257,1.13,40,59,-19,-0.5,49.9,61.6,-11.8,-0.31,2022-2023
Alavés,33,27.9,38,3420,90,100,38.0,418,82,247.0,167,20,277,0.82,31,65,-34,-0.89,37.3,57.0,-19.7,-0.52,33,27.6,38,3420,90,100,38.0,418,82,236.0,180,20,234,2.0,65,31,34,0.89,57.0,37.3,19.7,0.52,2021-2022
Athletic Club,26,26.9,38,3420,90,100,38.0,418,81,237.0,180,21,209,1.45,43,36,7,0.18,49.6,38.4,11.3,0.3,26,27.6,38,3420,90,100,38.0,418,81,245.0,168,20,255,1.21,36,43,-7,-0.18,38.4,49.6,-11.3,-0.3,2021-2022
Atlético Madrid,26,28.1,38,3420,90,100,38.0,418,79,244.0,170,26,159,1.87,65,43,22,0.58,54.4,33.4,21.1,0.56,26,27.6,38,3420,90,100,38.0,418,79,244.0,171,20,249,0.92,43,65,-22,-0.58,33.4,54.4,-21.1,-0.56,2021-2022
Barcelona,38,26.2,38,3420,90,100,38.0,418,82,254.0,159,20,264,1.92,68,38,30,0.79,63.4,34.4,29.0,0.76,38,27.7,38,3420,90,100,38.0,418,82,244.0,175,22,249,0.82,38,68,-30,-0.79,34.4,63.4,-29.0,-0.76,2021-2022
Betis,31,28.9,38,3420,90,100,38.0,418,82,251.0,161,21,266,1.71,62,40,22,0.58,53.5,43.4,10.1,0.27,31,27.4,38,3420,90,100,38.0,418,82,244.0,172,23,245,1.08,40,62,-22,-0.58,43.4,53.5,-10.1,-0.27,2021-2022
Cádiz,33,28.5,38,3420,90,100,38.0,418,81,246.0,172,22,270,1.03,35,51,-16,-0.42,39.5,48.3,-8.7,-0.23,33,27.6,38,3420,90,100,38.0,418,81,250.0,166,20,251,1.58,51,35,16,0.42,48.3,39.5,8.7,0.23,2021-2022
Celta Vigo,25,28.4,38,3420,90,100,38.0,418,82,261.0,155,21,222,1.21,43,43,0,0.0,43.1,45.7,-2.6,-0.07,25,27.4,38,3420,90,100,38.0,418,82,239.0,178,20,241,1.53,43,43,0,0.0,45.7,43.1,2.6,0.07,2021-2022
Elche,28,29.1,38,3420,90,100,38.0,418,80,236.0,179,22,255,1.11,40,52,-12,-0.32,33.7,59.1,-25.4,-0.67,28,27.4,38,3420,90,100,38.0,418,80,237.0,179,20,241,1.66,52,40,12,0.32,59.1,33.7,25.4,0.67,2021-2022
Espanyol,34,27.7,38,3420,90,100,38.0,418,81,234.0,181,21,269,1.11,40,53,-13,-0.34,36.7,51.2,-14.5,-0.38,34,27.5,38,3420,90,100,38.0,418,81,243.0,169,21,252,1.58,53,40,13,0.34,51.2,36.7,14.5,0.38,2021-2022
Getafe,31,26.6,38,3420,90,100,38.0,418,83,259.0,153,19,251,1.03,33,41,-8,-0.21,29.3,38.6,-9.3,-0.25,31,27.8,38,3420,90,100,38.0,418,83,247.0,168,19,252,1.58,41,33,8,0.21,38.6,29.3,9.3,0.25,2021-2022
Granada,32,28.1,38,3420,90,100,38.0,418,80,241.0,175,22,243,1.0,44,61,-17,-0.45,39.0,61.2,-22.2,-0.59,32,27.6,38,3420,90,100,38.0,418,80,233.0,178,20,231,1.63,61,44,17,0.45,61.2,39.0,22.2,0.59,2021-2022
Levante,31,28.0,38,3420,90,100,38.0,418,81,237.0,180,21,261,0.92,51,76,-25,-0.66,55.1,55.0,0.1,0.0,31,27.4,38,3420,90,100,38.0,418,81,238.0,177,19,245,1.79,76,51,25,0.66,55.0,55.1,-0.1,0.0,2021-2022
Mallorca,33,27.9,38,3420,90,100,38.0,418,82,237.0,178,20,273,1.03,36,63,-27,-0.71,38.8,49.3,-10.5,-0.28,33,27.7,38,3420,90,100,38.0,418,82,239.0,175,23,246,1.74,63,36,27,0.71,49.3,38.8,10.5,0.28,2021-2022
Osasuna,29,27.7,38,3420,90,100,38.0,418,83,242.0,175,17,269,1.24,37,51,-14,-0.37,36.7,46.3,-9.6,-0.25,29,27.6,38,3420,90,100,38.0,418,83,248.0,170,21,243,1.47,51,37,14,0.37,46.3,36.7,9.6,0.25,2021-2022
Rayo Vallecano,28,27.5,38,3420,90,100,38.0,418,81,238.0,178,20,224,1.11,39,50,-11,-0.29,42.8,48.4,-5.6,-0.15,28,27.6,38,3420,90,100,38.0,418,81,248.0,170,21,245,1.66,50,39,11,0.29,48.4,42.8,5.6,0.15,2021-2022
Real Madrid,31,27.7,38,3420,90,100,38.0,418,83,256.0,163,19,248,2.26,80,31,49,1.29,71.7,43.9,27.8,0.73,31,27.6,38,3420,90,100,38.0,418,83,240.0,177,22,246,0.53,31,80,-49,-1.29,43.9,71.7,-27.8,-0.73,2021-2022
Real Sociedad,32,25.7,38,3420,90,100,38.0,418,81,235.0,179,19,237,1.63,40,37,3,0.08,51.5,38.7,12.8,0.34,32,27.7,38,3420,90,100,38.0,418,81,251.0,166,19,262,1.08,37,40,-3,-0.08,38.7,51.5,-12.8,-0.34,2021-2022
Sevilla,33,28.6,38,3420,90,100,38.0,418,79,238.0,179,25,262,1.84,53,30,23,0.61,42.4,36.9,5.4,0.14,33,27.8,38,3420,90,100,38.0,418,79,250.0,165,22,255,0.74,30,53,-23,-0.61,36.9,42.4,-5.4,-0.14,2021-2022
Valencia,34,24.8,38,3420,90,100,38.0,418,81,235.0,179,20,246,1.26,48,53,-5,-0.13,39.0,47.7,-8.7,-0.23,34,27.8,38,3420,90,100,38.0,418,81,244.0,170,22,243,1.34,53,48,5,0.13,47.7,39.0,8.7,0.23,2021-2022
Villarreal,29,28.0,38,3420,90,100,38.0,418,81,235.0,183,21,234,1.55,63,37,26,0.68,64.2,44.8,19.4,0.51,29,27.6,38,3420,90,100,38.0,418,81,243.0,172,21,254,1.16,37,63,-26,-0.68,44.8,64.2,-19.4,-0.51,2021-2022
Alavés,30,28.7,38,3420,90,100,38.0,418,82,248.0,163,20,254,1.0,36,57,-21,-0.55,42.6,49.9,-7.3,-0.19,30,27.5,38,3420,90,100,38.0,418,82,253.0,163,20,241,1.71,57,36,21,0.55,49.9,42.6,7.3,0.19,2020-2021
Athletic Club,27,26.6,38,3420,90,100,38.0,418,81,240.0,177,22,242,1.21,46,42,4,0.11,42.8,37.5,5.3,0.14,27,27.6,38,3420,90,100,38.0,418,81,251.0,163,21,240,1.45,42,46,-4,-0.11,37.5,42.8,-5.3,-0.14,2020-2021
Atlético Madrid,25,27.3,38,3420,90,100,38.0,418,82,272.0,148,23,231,2.26,67,25,42,1.11,52.8,37.1,15.7,0.41,25,27.5,38,3420,90,100,38.0,418,82,258.0,157,20,251,0.53,25,67,-42,-1.11,37.1,52.8,-15.7,-0.41,2020-2021
Barcelona,25,26.4,38,3420,90,100,38.0,418,82,260.0,158,22,260,2.08,85,38,47,1.24,73.5,40.8,32.7,0.86,25,27.4,38,3420,90,100,38.0,418,82,248.0,166,23,249,0.74,38,85,-47,-1.24,40.8,73.5,-32.7,-0.86,2020-2021
Betis,25,27.9,38,3420,90,100,38.0,418,82,258.0,155,21,276,1.61,50,50,0,0.0,49.1,46.8,2.3,0.06,25,27.4,38,3420,90,100,38.0,418,82,255.0,165,23,246,1.13,50,50,0,0.0,46.8,49.1,-2.3,-0.06,2020-2021
Cádiz,34,28.8,38,3420,90,100,38.0,418,80,236.0,180,23,262,1.16,36,58,-22,-0.58,34.7,55.4,-20.7,-0.54,34,27.5,38,3420,90,100,38.0,418,80,250.0,166,22,246,1.55,58,36,22,0.58,55.4,34.7,20.7,0.54,2020-2021
Celta Vigo,30,26.6,38,3420,90,100,38.0,418,83,280.0,137,20,238,1.39,55,57,-2,-0.05,50.4,51.0,-0.6,-0.02,30,27.4,38,3420,90,100,38.0,418,83,258.0,158,24,250,1.32,57,55,2,0.05,51.0,50.4,0.6,0.02,2020-2021
Eibar,30,28.2,38,3420,90,100,38.0,418,82,266.0,149,21,266,0.79,29,52,-23,-0.61,45.2,45.7,-0.5,-0.01,30,27.5,38,3420,90,100,38.0,418,82,256.0,160,20,243,1.89,52,29,23,0.61,45.7,45.2,0.5,0.01,2020-2021
Elche,30,28.1,38,3420,90,100,38.0,418,82,267.0,152,21,298,0.95,34,55,-21,-0.55,29.9,60.9,-31.0,-0.82,30,27.4,38,3420,90,100,38.0,418,82,259.0,160,21,251,1.74,55,34,21,0.55,60.9,29.9,31.0,0.82,2020-2021
Getafe,31,26.7,38,3420,90,100,38.0,418,83,270.0,141,19,228,1.0,28,43,-15,-0.39,34.4,40.3,-5.9,-0.16,31,27.4,38,3420,90,100,38.0,418,83,256.0,158,21,258,1.71,43,28,15,0.39,40.3,34.4,5.9,0.16,2020-2021
Granada,34,27.4,38,3420,90,100,38.0,418,80,243.0,176,24,222,1.21,47,65,-18,-0.47,41.1,56.2,-15.0,-0.4,34,27.6,38,3420,90,100,38.0,418,80,255.0,159,22,258,1.61,65,47,18,0.47,56.2,41.1,15.0,0.4,2020-2021
Huesca,27,28.0,38,3420,90,100,38.0,418,82,246.0,171,21,215,0.89,34,53,-19,-0.5,38.7,48.1,-9.4,-0.25,27,27.3,38,3420,90,100,38.0,418,82,246.0,172,20,238,1.76,53,34,19,0.5,48.1,38.7,9.4,0.25,2020-2021
Levante,29,28.0,38,3420,90,100,38.0,418,81,233.0,184,20,219,1.08,46,57,-11,-0.29,40.4,53.5,-13.1,-0.34,29,27.4,38,3420,90,100,38.0,418,81,248.0,164,19,246,1.55,57,46,11,0.29,53.5,40.4,13.1,0.34,2020-2021
Osasuna,28,27.9,38,3420,90,100,38.0,418,81,240.0,173,20,247,1.16,37,48,-11,-0.29,38.7,47.8,-9.0,-0.24,28,27.4,38,3420,90,100,38.0,418,81,251.0,167,20,246,1.55,48,37,11,0.29,47.8,38.7,9.0,0.24,2020-2021
Real Madrid,30,27.9,38,3420,90,100,38.0,418,82,279.0,137,23,217,2.21,67,28,39,1.03,61.5,37.6,23.9,0.63,30,27.5,38,3420,90,100,38.0,418,82,253.0,164,21,250,0.55,28,67,-39,-1.03,37.6,61.5,-23.9,-0.63,2020-2021
Real Sociedad,30,25.0,38,3420,90,100,38.0,418,81,240.0,177,21,235,1.63,59,38,21,0.55,60.7,39.2,21.5,0.57,30,27.4,38,3420,90,100,38.0,418,81,251.0,163,24,243,1.08,38,59,-21,-0.55,39.2,60.7,-21.5,-0.57,2020-2021
Sevilla,26,28.1,38,3420,90,100,38.0,418,81,233.0,184,20,266,2.03,53,33,20,0.53,54.4,34.8,19.6,0.52,26,27.3,38,3420,90,100,38.0,418,81,258.0,161,21,237,0.84,33,53,-20,-0.53,34.8,54.4,-19.6,-0.52,2020-2021
Valencia,30,25.2,38,3420,90,100,38.0,418,83,263.0,150,19,283,1.13,50,53,-3,-0.08,42.6,52.2,-9.6,-0.25,30,27.6,38,3420,90,100,38.0,418,83,250.0,166,20,243,1.53,53,50,3,0.08,52.2,42.6,9.6,0.25,2020-2021
Valladolid,32,28.1,38,3420,90,100,38.0,418,81,246.0,170,21,246,0.82,34,57,-23,-0.61,40.1,52.9,-12.8,-0.34,32,27.4,38,3420,90,100,38.0,418,81,259.0,157,20,251,1.76,57,34,23,0.61,52.9,40.1,12.8,0.34,2020-2021
Villarreal,29,28.0,38,3420,90,100,38.0,418,82,253.0,165,20,238,1.53,60,44,16,0.42,56.4,42.5,13.9,0.37,29,27.5,38,3420,90,100,38.0,418,82,258.0,158,21,256,1.13,44,60,-16,-0.42,42.5,56.4,-13.9,-0.37,2020-2021
Alavés,32,27.6,38,3420,90,100,38.0,418,83,,133,22,187,1.03,34,59,-25,-0.66,39.3,57.8,-18.5,-0.49,32,27.3,38,3420,90,100,38.0,418,83,,127,21,179,1.74,59,34,25,0.66,57.8,39.3,18.5,0.49,2019-2020
Athletic Club,26,26.7,38,3420,90,100,38.0,418,83,,130,21,189,1.34,41,38,3,0.08,41.5,48.8,-7.3,-0.19,26,27.1,38,3420,90,100,38.0,418,83,,131,21,187,1.34,38,41,-3,-0.08,48.8,41.5,7.3,0.19,2019-2020
Atlético Madrid,30,26.1,38,3420,90,100,38.0,418,82,,130,23,187,1.84,51,27,24,0.63,56.8,32.5,24.4,0.64,30,27.4,38,3420,90,100,38.0,418,82,,131,21,186,0.74,27,51,-24,-0.63,32.5,56.8,-24.4,-0.64,2019-2020
Barcelona,28,27.8,38,3420,90,100,38.0,418,83,,123,22,183,2.16,86,38,48,1.26,66.3,38.3,28.0,0.74,28,27.0,38,3420,90,100,38.0,418,83,,132,24,186,0.66,38,86,-48,-1.26,38.3,66.3,-28.0,-0.74,2019-2020
Betis,27,27.5,38,3420,90,100,38.0,418,83,,132,20,182,1.08,48,60,-12,-0.32,51.0,54.8,-3.7,-0.1,27,27.0,38,3420,90,100,38.0,418,83,,133,21,177,1.63,60,48,12,0.32,54.8,51.0,3.7,0.1,2019-2020
