Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Sevilla,35,38.0,39,472,148,31.4,12.42,3.89,0.08,0.25,18.8,14,2,3,42.7,40.3,0.09,-3.7,-3.3,35,38.0,54,409,142,34.7,10.76,3.74,0.12,0.35,17.8,15,5,6,47.4,42.7,0.11,6.6,6.3,2024-2025
Valencia,32,38.0,43,382,116,30.4,10.05,3.05,0.1,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3,32,38.0,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1,2024-2025
Valladolid,38,38.0,26,331,97,29.3,8.71,2.55,0.06,0.22,18.0,11,5,5,34.6,30.7,0.09,-8.6,-9.7,38,38.0,89,592,197,33.3,15.58,5.18,0.14,0.42,17.7,28,7,7,67.6,62.4,0.11,21.4,19.6,2024-2025
Villarreal,31,38.0,69,530,171,32.3,13.95,4.5,0.12,0.37,16.0,9,5,7,64.8,59.1,0.12,4.2,4.9,31,38.0,50,475,153,32.2,12.5,4.03,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8,2024-2025
Alavés,30,38.0,33,458,136,29.7,12.05,3.58,0.07,0.22,17.7,15,3,7,46.2,40.7,0.09,-13.2,-10.7,30,38.0,44,444,139,31.3,11.68,3.66,0.08,0.26,17.9,15,8,8,44.7,38.5,0.09,-0.7,-2.5,2023-2024
Almería,35,38.0,42,478,163,34.1,12.58,4.29,0.08,0.25,18.8,18,2,2,48.7,47.1,0.1,-6.7,-7.1,35,38.0,75,584,195,33.4,15.37,5.13,0.12,0.35,16.9,18,6,9,61.6,54.5,0.09,13.4,14.5,2023-2024
Athletic Club,27,38.0,59,458,163,35.6,12.05,4.29,0.12,0.34,15.9,7,3,5,52.7,48.7,0.11,6.3,7.3,27,38.0,33,405,130,32.1,10.66,3.42,0.08,0.25,18.3,18,1,5,41.3,37.5,0.09,-8.3,-5.5,2023-2024
Atlético Madrid,27,38.0,68,475,197,41.5,12.5,5.18,0.13,0.32,16.2,9,5,6,62.4,57.9,0.12,5.6,5.1,27,38.0,43,451,143,31.7,11.87,3.76,0.09,0.29,17.9,9,1,2,39.5,37.9,0.09,3.5,4.1,2023-2024
Barcelona,29,38.0,76,588,219,37.2,15.47,5.76,0.12,0.32,16.5,21,6,7,77.6,72.1,0.13,-1.6,-2.1,29,38.0,44,411,139,33.8,10.82,3.66,0.1,0.3,17.4,8,2,2,41.6,40.1,0.1,2.4,1.9,2023-2024
Betis,35,38.0,46,489,150,30.7,12.87,3.95,0.09,0.29,17.2,15,2,3,43.9,41.7,0.09,2.1,2.3,35,38.0,42,441,150,34.0,11.61,3.95,0.08,0.23,18.2,18,7,8,50.2,44.0,0.1,-8.2,-9.0,2023-2024
Cádiz,34,38.0,25,395,120,30.4,10.39,3.16,0.06,0.18,18.4,21,3,3,36.0,33.6,0.09,-11.0,-11.6,34,38.0,54,508,173,34.1,13.37,4.55,0.1,0.3,18.3,26,2,2,52.3,50.7,0.1,1.7,1.3,2023-2024
Celta Vigo,31,38.0,45,467,151,32.3,12.29,3.97,0.09,0.28,17.5,14,3,5,50.7,46.9,0.1,-5.7,-4.9,31,38.0,54,470,157,33.4,12.37,4.13,0.1,0.31,16.6,13,6,8,54.6,48.4,0.11,-0.6,-0.4,2023-2024
Getafe,33,38.0,42,446,150,33.6,11.74,3.95,0.08,0.24,18.6,14,6,7,45.7,40.2,0.09,-3.7,-4.2,33,38.0,54,448,167,37.3,11.79,4.39,0.11,0.29,17.7,15,5,7,53.8,48.3,0.11,0.2,0.7,2023-2024
Girona,25,38.0,84,476,178,37.4,12.53,4.68,0.16,0.43,16.4,13,7,8,70.8,64.6,0.14,13.2,12.4,25,38.0,46,503,162,32.2,13.24,4.26,0.08,0.25,17.5,13,5,7,54.3,48.9,0.1,-8.3,-7.9,2023-2024
Granada,40,38.0,35,394,123,31.2,10.37,3.24,0.08,0.24,17.8,15,5,8,42.6,36.4,0.09,-7.6,-6.4,40,38.0,77,488,198,40.6,12.84,5.21,0.15,0.36,17.5,20,5,6,64.2,59.5,0.12,12.8,12.5,2023-2024
Las Palmas,29,38.0,33,386,120,31.1,10.16,3.16,0.08,0.25,20.1,21,3,5,33.2,29.2,0.08,-0.2,0.8,29,38.0,44,433,148,34.2,11.39,3.89,0.09,0.26,17.4,15,5,9,56.6,49.7,0.12,-12.6,-10.7,2023-2024
Mallorca,25,38.0,33,415,131,31.6,10.92,3.45,0.08,0.24,16.8,4,1,3,40.5,38.2,0.09,-7.5,-6.2,25,38.0,43,474,143,30.2,12.47,3.76,0.08,0.27,19.6,30,4,5,42.9,39.0,0.08,0.1,0.0,2023-2024
Osasuna,29,38.0,45,421,124,29.5,11.08,3.26,0.1,0.33,17.9,14,4,5,40.5,36.6,0.09,4.5,4.4,29,38.0,56,436,150,34.4,11.47,3.95,0.13,0.37,16.7,15,1,2,49.9,48.5,0.11,6.1,6.5,2023-2024
Rayo Vallecano,26,38.0,29,487,160,32.9,12.82,4.21,0.05,0.14,20.8,47,6,6,42.3,37.7,0.08,-13.3,-14.7,26,38.0,46,441,149,33.8,11.61,3.92,0.1,0.3,17.4,12,1,2,44.6,43.1,0.1,1.4,1.9,2023-2024
Real Madrid,27,38.0,85,593,242,40.8,15.61,6.37,0.14,0.34,17.5,24,2,5,68.8,65.2,0.11,16.2,17.8,27,38.0,25,392,117,29.8,10.32,3.08,0.06,0.21,17.9,7,1,1,35.4,34.7,0.09,-10.4,-10.7,2023-2024
Real Sociedad,31,38.0,48,457,147,32.2,12.03,3.87,0.1,0.3,17.8,24,4,4,44.9,41.8,0.09,3.1,2.2,31,38.0,38,388,128,33.0,10.21,3.37,0.08,0.25,18.0,24,6,7,41.3,36.0,0.1,-3.3,-4.0,2023-2024
Sevilla,35,38.0,46,487,160,32.9,12.82,4.21,0.09,0.28,17.5,15,2,2,44.9,43.3,0.09,1.1,0.7,35,38.0,52,496,170,34.3,13.05,4.47,0.09,0.28,17.6,16,5,5,55.9,52.1,0.11,-3.9,-5.1,2023-2024
Valencia,29,38.0,39,368,123,33.4,9.68,3.24,0.08,0.25,18.7,16,8,9,43.1,36.2,0.1,-4.1,-5.2,29,38.0,43,407,154,37.8,10.71,4.05,0.1,0.26,17.2,22,3,6,47.6,42.9,0.11,-4.6,-2.9,2023-2024
Villarreal,32,38.0,64,462,163,35.3,12.16,4.29,0.13,0.36,16.2,8,5,7,55.6,50.1,0.11,8.4,8.9,32,38.0,64,580,208,35.9,15.26,5.47,0.1,0.28,17.6,21,6,6,58.7,54.0,0.09,5.3,4.0,2023-2024
Almería,29,38.0,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,29,38.0,64,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2,2022-2023
Athletic Club,26,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,26,38.0,40,387,120,31.0,10.18,3.16,0.1,0.31,18.0,16,3,3,36.9,34.5,0.09,3.1,2.5,2022-2023
Atlético Madrid,27,38.0,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,61.9,61.1,0.12,6.1,5.9,27,38.0,33,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2,2022-2023
Barcelona,29,38.0,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0,29,38.0,17,328,99,30.2,8.63,2.61,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8,2022-2023
Betis,30,38.0,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,30,38.0,40,463,143,30.9,12.18,3.76,0.08,0.26,17.9,24,3,3,50.0,47.7,0.1,-10.0,-10.7,2022-2023
Cádiz,38,38.0,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7,38,38.0,53,541,192,35.5,14.24,5.05,0.08,0.23,17.5,24,9,10,61.6,53.8,0.1,-8.6,-9.8,2022-2023
Celta Vigo,26,38.0,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.6,40.3,0.09,-1.6,-1.3,26,38.0,52,379,127,33.5,9.97,3.34,0.12,0.37,17.3,14,5,8,45.4,39.2,0.11,6.6,7.8,2022-2023
Elche,32,38.0,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,32,38.0,65,551,198,35.9,14.5,5.21,0.11,0.29,17.3,22,7,10,70.0,62.1,0.12,-5.0,-4.1,2022-2023
Espanyol,33,38.0,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,33,38.0,67,539,177,32.8,14.18,4.66,0.12,0.35,17.2,15,5,6,59.8,55.3,0.1,7.2,6.7,2022-2023
Getafe,25,38.0,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,25,38.0,43,480,158,32.9,12.63,4.16,0.08,0.25,19.7,22,4,8,46.0,39.8,0.09,-3.0,-0.8,2022-2023
Girona,29,38.0,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,29,38.0,55,485,161,33.2,12.76,4.24,0.1,0.3,18.0,13,6,8,54.9,48.6,0.1,0.1,0.4,2022-2023
Mallorca,31,38.0,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,31,38.0,43,489,138,28.2,12.87,3.63,0.08,0.27,19.3,19,6,7,46.4,41.0,0.08,-3.4,-4.0,2022-2023
Osasuna,26,38.0,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9,26,38.0,40,441,146,33.1,11.61,3.84,0.09,0.27,18.1,15,1,4,45.7,42.5,0.1,-5.7,-3.5,2022-2023
Rayo Vallecano,28,38.0,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,28,38.0,49,431,140,32.5,11.34,3.68,0.1,0.32,17.4,13,4,5,50.3,46.6,0.11,-1.3,-1.6,2022-2023
Real Madrid,26,38.0,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,26,38.0,35,417,131,31.4,10.97,3.45,0.07,0.24,18.7,11,4,5,38.9,35.0,0.09,-3.9,-4.0,2022-2023
Real Sociedad,30,38.0,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7,30,38.0,33,393,131,33.3,10.34,3.45,0.08,0.24,18.2,12,1,2,33.0,31.5,0.08,0.0,0.5,2022-2023
Sevilla,35,38.0,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,35,38.0,51,508,158,31.1,13.37,4.16,0.1,0.31,18.5,19,2,3,54.2,51.8,0.11,-3.2,-2.8,2022-2023
Valencia,28,38.0,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,28,38.0,43,395,146,37.0,10.39,3.84,0.1,0.28,17.0,16,2,5,43.5,39.7,0.1,-0.5,1.3,2022-2023
Valladolid,36,38.0,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4,36,38.0,62,579,190,32.8,15.24,5.0,0.1,0.29,17.5,18,6,10,65.2,57.5,0.1,-3.2,-1.5,2022-2023
Villarreal,32,38.0,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,32,38.0,39,470,145,30.9,12.37,3.82,0.07,0.24,17.8,14,4,4,49.9,46.7,0.1,-10.9,-11.7,2022-2023
Alavés,33,38.0,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8,33,38.0,65,509,159,31.2,13.39,4.18,0.12,0.37,17.3,20,6,9,57.0,50.0,0.1,8.0,9.0,2021-2022
Athletic Club,26,38.0,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0,26,38.0,35,440,128,29.1,11.58,3.37,0.07,0.25,18.5,20,3,3,38.4,36.0,0.08,-3.4,-4.0,2021-2022
Atlético Madrid,26,38.0,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4,26,38.0,40,349,98,28.1,9.18,2.58,0.09,0.34,19.2,17,7,8,33.4,27.4,0.08,6.6,5.6,2021-2022
Barcelona,38,38.0,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1,38,38.0,38,349,120,34.4,9.18,3.16,0.1,0.3,18.1,13,2,3,34.4,32.1,0.09,3.6,3.9,2021-2022
Betis,31,38.0,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2,31,38.0,38,430,129,30.0,11.32,3.39,0.08,0.27,17.3,11,3,3,43.4,41.1,0.1,-5.4,-6.1,2021-2022
Cádiz,33,38.0,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8,33,38.0,51,461,157,34.1,12.13,4.13,0.09,0.25,18.5,20,11,13,48.3,38.2,0.08,2.7,1.8,2021-2022
Celta Vigo,25,38.0,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7,25,38.0,41,397,128,32.2,10.45,3.37,0.09,0.29,18.0,16,4,8,45.7,39.4,0.1,-4.7,-2.4,2021-2022
Elche,28,38.0,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,33.7,32.9,0.1,5.3,5.1,28,38.0,52,513,166,32.4,13.5,4.37,0.09,0.27,18.0,23,7,9,59.1,52.1,0.1,-7.1,-7.1,2021-2022
Espanyol,34,38.0,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1,34,38.0,51,497,165,33.2,13.08,4.34,0.09,0.28,17.2,14,4,5,51.2,47.3,0.1,-0.2,-0.3,2021-2022
Getafe,31,38.0,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7,31,38.0,40,408,129,31.6,10.74,3.39,0.09,0.29,19.0,22,2,4,38.6,35.5,0.09,1.4,2.5,2021-2022
Granada,32,38.0,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9,32,38.0,59,555,184,33.2,14.61,4.84,0.09,0.28,17.9,15,7,9,61.2,54.6,0.1,-2.2,-2.6,2021-2022
Levante,31,38.0,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1,31,38.0,76,508,197,38.8,13.37,5.18,0.14,0.36,17.8,15,5,6,55.0,50.2,0.1,21.0,20.8,2021-2022
Mallorca,33,38.0,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3,33,38.0,59,460,144,31.3,12.11,3.79,0.12,0.37,17.8,14,6,8,49.3,43.0,0.1,9.7,10.0,2021-2022
Osasuna,29,38.0,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3,29,38.0,49,437,144,33.0,11.5,3.79,0.1,0.31,18.9,8,4,7,46.3,40.8,0.1,2.7,4.2,2021-2022
Rayo Vallecano,28,38.0,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7,28,38.0,49,405,154,38.0,10.66,4.05,0.1,0.27,18.1,17,7,9,48.4,41.5,0.1,0.6,0.5,2021-2022
Real Madrid,31,38.0,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8,31,38.0,31,428,124,29.0,11.26,3.26,0.07,0.23,18.7,14,3,5,43.9,39.8,0.09,-12.9,-11.8,2021-2022
Real Sociedad,32,38.0,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8,32,38.0,37,413,121,29.3,10.87,3.18,0.08,0.26,18.7,15,5,6,38.7,34.0,0.08,-1.7,-2.0,2021-2022
Sevilla,33,38.0,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,8.6,9.0,33,38.0,30,420,118,28.1,11.05,3.11,0.07,0.24,18.7,15,2,4,36.9,33.8,0.08,-6.9,-5.8,2021-2022
Valencia,34,38.0,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,6.0,4.8,34,38.0,50,437,155,35.5,11.5,4.08,0.1,0.28,18.1,19,7,8,47.7,41.6,0.1,2.3,1.4,2021-2022
Villarreal,29,38.0,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0,29,38.0,36,410,123,30.0,10.79,3.24,0.08,0.26,18.6,13,4,5,44.8,41.1,0.1,-8.8,-9.1,2021-2022
Alavés,30,38.0,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,30,38.0,57,395,139,35.2,10.39,3.66,0.14,0.39,17.1,16,3,3,49.9,47.5,0.12,7.1,6.5,2020-2021
Athletic Club,27,38.0,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,42.8,38.9,0.1,0.2,0.1,27,38.0,41,370,105,28.4,9.74,2.76,0.1,0.34,18.8,15,5,6,37.5,32.9,0.09,3.5,3.1,2020-2021
Atlético Madrid,25,38.0,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,25,38.0,22,357,119,33.3,9.39,3.13,0.06,0.18,18.6,14,1,4,37.1,34.0,0.1,-15.1,-13.0,2020-2021
Barcelona,25,38.0,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,25,38.0,36,323,125,38.7,8.5,3.29,0.1,0.25,17.4,14,5,5,40.8,36.9,0.12,-4.8,-5.9,2020-2021
Betis,25,38.0,50,433,145,33.5,11.39,3.82,0.1,0.29,18.9,16,8,11,49.1,40.6,0.1,0.9,1.4,25,38.0,47,356,126,35.4,9.37,3.32,0.11,0.31,17.7,17,8,10,46.8,39.2,0.11,0.2,-0.2,2020-2021
Cádiz,34,38.0,33,299,97,32.4,7.87,2.55,0.1,0.3,17.6,14,4,4,34.7,31.6,0.11,-1.7,-2.6,34,38.0,57,439,140,31.9,11.55,3.68,0.11,0.34,18.0,19,9,10,55.4,47.6,0.11,1.6,0.4,2020-2021
Celta Vigo,30,38.0,55,350,133,38.0,9.21,3.5,0.14,0.36,17.0,13,7,7,50.4,44.9,0.13,4.6,3.1,30,38.0,56,406,130,32.0,10.68,3.42,0.12,0.38,17.9,23,7,8,51.0,45.0,0.12,5.0,4.0,2020-2021
Eibar,30,38.0,29,443,127,28.7,11.66,3.34,0.06,0.2,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3,30,38.0,52,345,131,38.0,9.08,3.45,0.14,0.37,17.2,12,3,5,45.7,41.7,0.13,6.3,7.3,2020-2021
Elche,30,38.0,33,265,86,32.5,6.97,2.26,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,3.1,3.5,30,38.0,54,464,154,33.2,12.21,4.05,0.1,0.31,17.7,20,6,10,60.9,53.2,0.12,-6.9,-5.2,2020-2021
Getafe,31,38.0,27,355,97,27.3,9.34,2.55,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5,31,38.0,40,312,103,33.0,8.21,2.71,0.11,0.32,18.4,13,7,8,40.3,34.0,0.11,-0.3,-1.0,2020-2021
Granada,34,38.0,47,354,121,34.2,9.32,3.18,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,5.9,6.7,34,38.0,64,468,159,34.0,12.32,4.18,0.12,0.36,17.4,15,6,12,56.2,46.8,0.1,7.8,11.2,2020-2021
Huesca,27,38.0,32,404,130,32.2,10.63,3.42,0.07,0.22,18.0,13,3,4,38.7,35.9,0.09,-6.7,-6.9,27,38.0,51,416,144,34.6,10.95,3.79,0.11,0.32,17.8,22,5,5,48.1,44.3,0.11,2.9,1.7,2020-2021
Levante,29,38.0,45,376,125,33.2,9.89,3.29,0.11,0.34,18.2,10,3,6,40.4,35.7,0.1,4.6,6.3,29,38.0,55,460,160,34.8,12.11,4.21,0.11,0.33,17.0,17,3,4,53.5,50.6,0.11,1.5,1.4,2020-2021
Osasuna,28,38.0,36,368,114,31.0,9.68,3.0,0.08,0.27,18.8,7,5,6,38.7,34.7,0.1,-2.7,-3.7,28,38.0,46,421,135,32.1,11.08,3.55,0.1,0.3,18.1,18,5,8,47.8,41.5,0.1,-1.8,-0.5,2020-2021
Real Madrid,30,38.0,64,544,167,30.7,14.32,4.39,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,2.5,1.8,30,38.0,27,349,108,30.9,9.18,2.84,0.06,0.19,18.4,16,7,8,37.6,31.3,0.09,-10.6,-11.3,2020-2021
Real Sociedad,30,38.0,58,417,139,33.3,10.97,3.66,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5,30,38.0,37,332,101,30.4,8.74,2.66,0.1,0.34,17.4,16,3,5,39.2,35.3,0.11,-2.2,-1.3,2020-2021
Sevilla,26,38.0,52,454,135,29.7,11.95,3.55,0.1,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9,26,38.0,31,344,114,33.1,9.05,3.0,0.08,0.24,19.0,15,4,6,34.8,30.1,0.09,-3.8,-3.1,2020-2021
Valencia,30,38.0,48,383,129,33.7,10.08,3.39,0.1,0.31,20.1,32,8,10,42.6,34.8,0.09,5.4,5.2,30,38.0,51,539,167,31.0,14.18,4.39,0.09,0.28,17.8,27,5,8,52.2,46.2,0.09,-1.2,-0.2,2020-2021
Valladolid,32,38.0,34,359,110,30.6,9.45,2.89,0.08,0.25,18.7,25,7,8,40.1,33.8,0.1,-6.1,-6.8,32,38.0,57,465,155,33.3,12.24,4.08,0.11,0.33,17.8,23,6,7,52.9,47.4,0.1,4.1,3.6,2020-2021
Villarreal,29,38.0,57,392,146,37.2,10.32,3.84,0.11,0.31,17.0,13,12,13,56.4,46.4,0.12,0.6,-1.4,29,38.0,42,400,118,29.5,10.53,3.11,0.09,0.3,18.4,17,7,9,42.5,35.6,0.09,-0.5,-0.6,2020-2021
Alavés,32,38.0,34,307,98,31.9,8.08,2.58,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7,32,38.0,59,458,146,31.9,12.05,3.84,0.1,0.32,18.5,29,12,15,57.8,46.3,0.1,1.2,0.7,2019-2020
Athletic Club,26,38.0,40,401,126,31.4,10.55,3.32,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8,26,38.0,36,386,123,31.9,10.16,3.24,0.08,0.25,17.8,26,5,7,48.8,43.7,0.12,-12.8,-12.7,2019-2020
Atlético Madrid,30,38.0,50,440,136,30.9,11.58,3.58,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6,30,38.0,24,412,109,26.5,10.84,2.87,0.05,0.19,19.8,19,3,4,32.5,29.5,0.07,-8.5,-8.5,2019-2020
Barcelona,28,38.0,84,488,213,43.6,12.84,5.61,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,17.7,16.3,28,38.0,38,364,112,30.8,9.58,2.95,0.09,0.29,19.2,16,6,7,38.3,32.9,0.09,-0.3,-0.9,2019-2020
Betis,27,38.0,48,471,152,32.3,12.39,4.0,0.09,0.28,18.4,20,6,8,51.0,45.2,0.1,-3.0,-3.2,27,38.0,59,437,143,32.7,11.5,3.76,0.11,0.34,17.8,18,11,11,54.8,46.2,0.11,4.2,1.8,2019-2020
Celta Vigo,30,38.0,37,359,131,36.5,9.45,3.45,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4,30,38.0,49,439,144,32.8,11.55,3.79,0.1,0.31,18.5,17,5,5,45.3,41.4,0.1,3.7,2.6,2019-2020
Eibar,26,38.0,38,419,132,31.5,11.03,3.47,0.07,0.23,18.9,21,7,10,42.0,34.2,0.08,-4.0,-3.2,26,38.0,55,374,132,35.3,9.84,3.47,0.14,0.39,17.2,15,4,6,53.0,48.4,0.13,2.0,2.6,2019-2020
Espanyol,31,38.0,25,407,120,29.5,10.71,3.16,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6,31,38.0,56,438,156,35.6,11.53,4.11,0.11,0.32,18.7,22,6,7,51.0,45.8,0.11,5.0,4.2,2019-2020
Getafe,30,38.0,42,408,121,29.7,10.74,3.18,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,0.4,-0.1,30,38.0,35,275,103,37.5,7.24,2.71,0.11,0.29,16.9,15,5,6,41.4,36.7,0.14,-6.4,-6.7,2019-2020
Granada,27,38.0,50,389,118,30.3,10.24,3.11,0.12,0.38,19.0,25,5,5,44.9,40.9,0.11,5.1,4.1,27,38.0,45,443,151,34.1,11.66,3.97,0.09,0.27,19.0,27,4,5,42.6,38.6,0.09,2.4,2.4,2019-2020
Leganés,29,38.0,30,427,143,33.5,11.24,3.76,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9,29,38.0,50,342,131,38.3,9.0,3.45,0.13,0.34,18.7,19,6,7,42.8,37.4,0.11,7.2,6.6,2019-2020
Levante,29,38.0,45,422,133,31.5,11.11,3.5,0.09,0.3,19.0,21,5,5,48.1,44.2,0.11,-3.1,-4.2,29,38.0,51,571,209,36.6,15.03,5.5,0.08,0.23,17.3,26,3,7,62.9,57.4,0.1,-11.9,-9.4,2019-2020
Mallorca,32,38.0,39,410,118,28.8,10.79,3.11,0.08,0.26,19.2,22,8,10,41.1,33.3,0.08,-2.1,-2.3,32,38.0,64,482,174,36.1,12.68,4.58,0.1,0.28,18.2,17,15,16,63.5,51.2,0.11,0.5,-2.2,2019-2020
Osasuna,31,38.0,46,455,142,31.2,11.97,3.74,0.08,0.27,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2,31,38.0,54,419,138,32.9,11.03,3.63,0.12,0.36,17.9,26,5,5,49.4,45.5,0.11,4.6,3.5,2019-2020
