Squad,Unnamed: 1_level_0 # Pl_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance GA_for,Performance GA90_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Performance CS%_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Unnamed: 1_level_0 # Pl_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance GA_against,Performance GA90_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance W_against,Performance D_against,Performance L_against,Performance CS_against,Performance CS%_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against,Season
Real Madrid,3,38,38,3420,38.0,26,0.68,118,93,78.8,29,8,1,21,55.3,1,1,0,0,0.0,3,38,38,3420,38.0,87,2.29,246,159,65.4,1,8,29,2,5.3,5,2,2,1,50.0,2023-2024
Real Sociedad,2,38,38,3417,38.0,39,1.03,135,96,75.6,16,12,10,15,39.5,7,6,1,0,14.3,2,38,38,3420,38.0,51,1.34,151,103,68.9,10,12,16,10,26.3,4,4,0,0,0.0,2023-2024
Sevilla,3,38,38,3420,38.0,54,1.42,175,123,72.0,10,11,17,8,21.1,5,5,0,0,0.0,3,38,38,3420,38.0,48,1.26,162,116,71.6,17,11,10,10,26.3,2,2,0,0,0.0,2023-2024
Valencia,3,38,38,3420,38.0,45,1.18,160,114,73.8,13,10,15,13,34.2,6,3,3,0,50.0,3,38,38,3420,38.0,40,1.05,131,92,75.6,15,10,13,13,34.2,9,8,0,1,0.0,2023-2024
Villarreal,2,38,38,3420,38.0,65,1.71,214,150,72.4,14,11,13,6,15.8,6,6,0,0,0.0,2,38,38,3420,38.0,65,1.71,169,104,64.5,13,11,14,4,10.5,7,5,1,1,16.7,2023-2024
Almería,3,38,38,3420,38.0,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0,3,38,38,3420,38.0,49,1.29,157,108,70.1,19,8,11,10,26.3,3,2,0,1,0.0,2022-2023
Athletic Club,2,38,38,3420,38.0,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0,2,38,38,3420,38.0,47,1.24,164,116,74.4,15,9,14,16,42.1,7,5,2,0,28.6,2022-2023
Atlético Madrid,3,38,38,3420,38.0,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0,3,38,38,3420,38.0,70,1.84,196,128,64.8,7,8,23,5,13.2,1,1,0,0,0.0,2022-2023
Barcelona,2,38,38,3420,38.0,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0,2,38,38,3420,38.0,70,1.84,187,118,62.6,6,4,28,4,10.5,2,0,0,2,,2022-2023
Betis,2,38,38,3420,38.0,41,1.08,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0,2,38,38,3420,38.0,46,1.21,147,103,74.1,12,9,17,13,34.2,9,8,1,0,11.1,2022-2023
Cádiz,2,38,38,3420,38.0,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0,2,38,38,3420,38.0,30,0.79,112,83,76.8,16,12,10,17,44.7,5,4,0,1,0.0,2022-2023
Celta Vigo,2,38,38,3420,38.0,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6,2,38,38,3420,38.0,43,1.13,163,121,74.8,17,10,11,10,26.3,3,2,1,0,33.3,2022-2023
Elche,2,38,38,3420,38.0,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0,2,38,38,3420,38.0,30,0.79,129,98,79.8,23,10,5,16,42.1,5,4,1,0,20.0,2022-2023
Espanyol,4,38,38,3419,38.0,69,1.82,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7,4,38,38,3420,38.0,52,1.37,156,105,69.9,17,13,8,4,10.5,5,5,0,0,0.0,2022-2023
Getafe,1,38,38,3420,38.0,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,1,38,38,3420,38.0,34,0.89,123,87,76.4,16,12,10,14,36.8,8,5,2,1,28.6,2022-2023
Girona,2,38,38,3420,38.0,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3,2,38,38,3420,38.0,58,1.53,169,113,70.4,15,10,13,8,21.1,9,8,1,0,11.1,2022-2023
Mallorca,3,38,38,3420,38.0,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3,3,38,38,3420,38.0,37,0.97,112,75,70.5,16,8,14,13,34.2,5,4,1,0,20.0,2022-2023
Osasuna,2,38,38,3420,38.0,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0,2,38,38,3420,38.0,37,0.97,137,101,75.9,15,8,15,15,39.5,5,4,0,1,0.0,2022-2023
Rayo Vallecano,2,38,38,3420,38.0,53,1.39,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0,2,38,38,3420,38.0,45,1.18,153,109,73.2,15,10,13,10,26.3,8,4,3,1,42.9,2022-2023
Real Madrid,2,38,38,3420,38.0,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0,2,38,38,3419,38.0,75,1.97,217,142,69.6,8,6,24,5,13.2,12,9,2,1,18.2,2022-2023
Real Sociedad,1,38,38,3420,38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,1,38,38,3420,38.0,51,1.34,177,128,72.3,9,8,21,9,23.7,4,2,2,0,50.0,2022-2023
Sevilla,2,38,38,3420,38.0,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3,2,38,38,3420,38.0,47,1.24,145,98,70.3,15,10,13,7,18.4,5,4,0,1,0.0,2022-2023
Valencia,1,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,1,38,38,3420,38.0,42,1.11,147,105,74.8,18,9,11,12,31.6,8,5,2,1,28.6,2022-2023
Valladolid,3,38,38,3420,38.0,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3,3,38,38,3420,38.0,33,0.87,141,108,78.7,20,7,11,18,47.4,4,3,1,0,25.0,2022-2023
Villarreal,3,38,38,3420,38.0,40,1.05,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0.0,3,38,38,3420,38.0,59,1.55,194,135,71.6,12,7,19,9,23.7,7,4,2,1,33.3,2022-2023
Alavés,3,38,38,3420,38.0,65,1.71,168,100,64.9,8,7,23,6,15.8,9,6,3,0,33.3,3,38,38,3420,38.0,31,0.82,118,88,78.8,23,7,8,16,42.1,7,6,1,0,14.3,2021-2022
Athletic Club,2,38,38,3420,38.0,36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0.0,2,38,38,3420,38.0,43,1.13,157,113,74.5,11,13,14,14,36.8,7,3,4,0,57.1,2021-2022
Atlético Madrid,1,38,38,3420,38.0,43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5,1,38,38,3420,38.0,65,1.71,157,93,61.1,9,8,21,7,18.4,5,4,1,0,20.0,2021-2022
Barcelona,2,38,38,3420,38.0,38,1.0,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3,2,38,38,3420,38.0,68,1.79,184,115,66.3,7,10,21,8,21.1,7,6,1,0,14.3,2021-2022
Betis,2,38,38,3420,38.0,40,1.05,132,94,72.0,19,8,11,13,34.2,3,3,0,0,0.0,2,38,38,3420,38.0,62,1.63,188,128,70.2,11,8,19,11,28.9,6,6,0,0,0.0,2021-2022
Cádiz,1,38,38,3420,38.0,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4,1,38,38,3420,38.0,35,0.92,124,86,74.2,15,15,8,13,34.2,6,3,3,0,50.0,2021-2022
Celta Vigo,1,38,38,3420,38.0,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,1,38,38,3420,38.0,43,1.13,141,96,71.6,16,10,12,15,39.5,6,3,3,0,50.0,2021-2022
Elche,2,38,38,3420,38.0,52,1.37,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5,2,38,38,3420,38.0,40,1.05,107,68,63.6,18,9,11,12,31.6,1,1,0,0,0.0,2021-2022
Espanyol,3,38,38,3420,38.0,53,1.39,169,118,71.0,10,12,16,10,26.3,5,4,0,1,0.0,3,38,38,3420,38.0,40,1.05,133,94,73.7,16,12,10,10,26.3,5,5,0,0,0.0,2021-2022
Getafe,2,38,38,3420,38.0,41,1.08,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3,2,38,38,3420,38.0,33,0.87,116,83,74.1,15,15,8,18,47.4,5,3,2,0,40.0,2021-2022
Granada,2,38,38,3420,38.0,61,1.61,193,132,72.0,8,14,16,8,21.1,9,7,2,0,22.2,2,38,38,3420,38.0,44,1.16,134,91,69.4,16,14,8,13,34.2,5,3,0,2,0.0,2021-2022
Levante,4,38,38,3420,38.0,76,2.0,203,126,65.0,8,11,19,7,18.4,6,5,1,0,16.7,4,38,38,3420,38.0,51,1.34,158,103,72.8,19,11,8,12,31.6,13,8,4,1,33.3,2021-2022
Mallorca,4,38,38,3420,38.0,63,1.66,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25.0,4,38,38,3420,38.0,36,0.95,138,104,78.3,19,9,10,15,39.5,7,6,1,0,14.3,2021-2022
Osasuna,2,38,38,3420,38.0,51,1.34,151,99,68.9,12,11,15,12,31.6,7,4,3,0,42.9,2,38,38,3420,38.0,37,0.97,122,83,74.6,15,11,12,15,39.5,8,6,2,0,25.0,2021-2022
Rayo Vallecano,2,38,38,3417,38.0,50,1.32,163,112,73.6,11,9,18,9,23.7,9,7,2,0,22.2,2,38,38,3420,38.0,39,1.03,137,99,74.5,18,9,11,14,36.8,4,4,0,0,0.0,2021-2022
Real Madrid,2,38,38,3420,38.0,31,0.82,129,97,78.3,26,8,4,16,42.1,5,3,2,0,40.0,2,38,38,3420,38.0,80,2.11,254,171,71.7,4,8,26,8,21.1,12,8,3,1,27.3,2021-2022
Real Sociedad,2,38,38,3420,38.0,37,0.97,127,89,74.8,17,11,10,20,52.6,6,5,1,0,16.7,2,38,38,3420,38.0,40,1.05,153,112,79.7,10,11,17,11,28.9,10,9,1,0,10.0,2021-2022
Sevilla,3,38,38,3420,38.0,30,0.79,121,90,76.9,18,16,4,17,44.7,4,2,1,1,33.3,3,38,38,3417,38.0,53,1.4,142,90,64.1,4,16,18,7,18.4,3,2,1,0,33.3,2021-2022
Valencia,3,38,38,3420,38.0,53,1.39,163,112,71.8,11,15,12,12,31.6,8,7,1,0,12.5,3,38,38,3420,38.0,48,1.26,138,92,71.0,12,15,11,8,21.1,9,8,1,0,11.1,2021-2022
Villarreal,2,38,38,3420,38.0,37,0.97,128,91,74.2,16,11,11,14,36.8,5,4,1,0,20.0,2,38,38,3420,38.0,63,1.66,170,107,65.9,11,11,16,11,28.9,6,5,1,0,16.7,2021-2022
Alavés,2,38,38,3420,38.0,57,1.5,142,85,62.0,9,11,18,9,23.7,3,3,0,0,0.0,2,38,38,3415,38.0,36,0.95,102,65,69.6,18,11,9,13,34.2,8,5,2,1,28.6,2020-2021
Athletic Club,2,38,38,3420,38.0,42,1.11,111,69,66.7,11,13,14,9,23.7,6,5,1,0,16.7,2,38,38,3420,38.0,46,1.21,133,89,68.4,14,13,11,12,31.6,5,4,1,0,20.0,2020-2021
Atlético Madrid,1,38,38,3420,38.0,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,1,38,38,3420,38.0,67,1.76,184,118,66.3,4,8,26,7,18.4,7,5,1,1,16.7,2020-2021
Barcelona,2,38,38,3420,38.0,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0,2,38,38,3420,38.0,85,2.24,238,155,66.0,7,7,24,3,7.9,8,4,3,1,42.9,2020-2021
Betis,2,38,38,3420,38.0,50,1.32,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20.0,2,38,38,3420,38.0,50,1.32,156,103,73.1,11,10,17,9,23.7,11,8,3,0,27.3,2020-2021
Cádiz,3,38,38,3420,38.0,58,1.53,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10.0,3,38,38,3420,38.0,36,0.95,101,68,68.3,16,11,11,13,34.2,4,4,0,0,0.0,2020-2021
Celta Vigo,2,38,38,3418,38.0,57,1.5,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5,2,38,38,3420,38.0,55,1.45,140,85,65.7,13,11,14,10,26.3,7,7,0,0,0.0,2020-2021
Eibar,2,38,38,3420,38.0,52,1.37,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25.0,2,38,38,3420,38.0,29,0.76,135,102,81.5,20,12,6,14,36.8,9,4,4,1,50.0,2020-2021
Elche,2,38,38,3420,38.0,55,1.45,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3,2,38,38,3420,38.0,34,0.89,88,55,63.6,18,12,8,13,34.2,3,2,0,1,0.0,2020-2021
Getafe,2,38,38,3420,38.0,43,1.13,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5,2,38,38,3420,38.0,28,0.74,102,73,75.5,18,11,9,21,55.3,5,3,2,0,40.0,2020-2021
Granada,3,38,38,3420,38.0,65,1.71,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5,3,38,38,3420,38.0,47,1.24,125,77,64.8,18,7,13,8,21.1,5,3,1,1,25.0,2020-2021
Huesca,2,38,38,3420,38.0,53,1.39,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0.0,2,38,38,3420,38.0,34,0.89,133,100,76.7,18,13,7,16,42.1,4,3,0,1,0.0,2020-2021
Levante,3,38,38,3420,38.0,57,1.5,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0.0,3,38,38,3420,38.0,46,1.21,131,83,67.2,15,14,9,11,28.9,6,3,3,0,50.0,2020-2021
Osasuna,3,38,38,3415,38.0,48,1.27,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6,3,38,38,3420,38.0,37,0.97,120,83,73.3,16,11,11,15,39.5,6,5,1,0,16.7,2020-2021
Real Madrid,1,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,1,38,38,3420,38.0,67,1.76,170,106,62.4,4,9,25,5,13.2,3,3,0,0,0.0,2020-2021
Real Sociedad,1,38,38,3420,38.0,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,1,38,38,3420,38.0,59,1.55,150,90,66.7,10,11,17,6,15.8,12,9,2,1,18.2,2020-2021
Sevilla,2,38,38,3420,38.0,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3,2,38,38,3420,38.0,53,1.39,142,89,66.9,9,5,24,7,18.4,7,6,1,0,14.3,2020-2021
Valencia,2,38,38,3420,38.0,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5,2,38,38,3418,38.0,50,1.32,138,89,69.6,15,13,10,9,23.7,10,8,1,1,11.1,2020-2021
Valladolid,2,38,38,3420,38.0,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0,2,38,38,3420,38.0,34,0.89,118,83,77.1,17,16,5,14,36.8,8,7,1,0,12.5,2020-2021
Villarreal,2,38,38,3420,38.0,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5,2,38,38,3420,38.0,60,1.58,159,101,69.8,10,13,15,7,18.4,13,12,1,0,7.7,2020-2021
Alavés,3,38,38,3418,38.0,59,1.55,161,99,70.8,10,9,19,9,23.7,15,12,3,0,20.0,3,38,38,3420,38.0,34,0.89,104,70,73.1,19,9,10,14,36.8,6,6,0,0,0.0,2019-2020
Athletic Club,2,38,38,3416,38.0,38,1.0,128,92,74.2,13,12,13,12,31.6,7,5,0,2,0.0,2,38,38,3420,38.0,41,1.08,136,94,75.7,13,12,13,13,34.2,10,8,2,0,20.0,2019-2020
Atlético Madrid,2,38,38,3420,38.0,27,0.71,112,88,78.6,18,16,4,17,44.7,4,3,0,1,0.0,2,38,38,3419,38.0,51,1.34,144,92,68.8,4,16,18,9,23.7,8,6,2,0,25.0,2019-2020
Barcelona,2,38,38,3420,38.0,38,1.0,119,80,73.1,25,7,6,15,39.5,7,6,1,0,14.3,2,38,38,3420,38.0,86,2.26,219,135,63.5,6,7,25,6,15.8,6,6,0,0,0.0,2019-2020
Betis,2,38,38,3418,38.0,60,1.58,154,95,68.2,10,11,17,6,15.8,11,11,0,0,0.0,2,38,38,3420,38.0,48,1.26,159,110,73.6,17,11,10,10,26.3,8,6,1,1,14.3,2019-2020
Celta Vigo,3,38,38,3420,38.0,49,1.29,149,100,70.5,7,16,15,12,31.6,5,5,0,0,0.0,3,38,38,3420,38.0,37,0.97,140,100,77.9,15,16,7,14,36.8,9,6,3,0,33.3,2019-2020
Eibar,2,38,38,3420,38.0,56,1.47,138,81,62.3,11,9,18,11,28.9,6,4,2,0,33.3,2,38,38,3420,38.0,39,1.03,142,101,77.5,18,9,11,15,39.5,10,7,3,0,30.0,2019-2020
Espanyol,2,38,38,3412,38.0,58,1.53,163,106,68.1,5,10,23,6,15.8,7,6,1,0,14.3,2,38,38,3418,38.0,27,0.71,124,99,81.5,23,10,5,18,47.4,4,4,0,0,0.0,2019-2020
Getafe,1,38,38,3420,38.0,37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7,1,38,38,3420,38.0,43,1.13,127,85,70.9,12,12,14,14,36.8,7,6,0,1,0.0,2019-2020
Granada,2,38,38,3420,38.0,45,1.18,156,110,73.7,16,8,14,13,34.2,5,4,1,0,20.0,2,38,38,3420,38.0,52,1.37,123,73,61.8,14,8,16,10,26.3,5,5,0,0,0.0,2019-2020
Leganés,2,38,38,3419,38.0,51,1.34,138,87,67.4,8,12,18,9,23.7,7,6,1,0,14.3,2,38,38,3416,38.0,30,0.79,148,116,81.8,18,12,8,16,42.1,4,3,1,0,25.0,2019-2020
Levante,2,38,38,3420,38.0,53,1.39,215,161,76.7,14,7,17,6,15.8,6,3,2,1,40.0,2,38,38,3420,38.0,47,1.24,138,93,69.6,17,7,14,11,28.9,5,5,0,0,0.0,2019-2020
Mallorca,3,38,38,3420,38.0,65,1.71,190,125,73.7,9,6,23,5,13.2,16,15,1,0,6.3,3,38,38,3420,38.0,40,1.05,127,87,74.8,23,6,9,18,47.4,10,8,1,1,11.1,2019-2020
Osasuna,3,38,38,3418,38.0,54,1.42,143,89,65.7,13,13,12,11,28.9,5,5,0,0,0.0,3,38,38,3412,38.0,46,1.21,150,104,74.7,12,13,13,12,31.6,8,8,0,0,0.0,2019-2020
Real Madrid,2,38,38,3420,38.0,25,0.66,110,85,79.1,26,9,3,19,50.0,2,2,0,0,0.0,2,38,38,3420,38.0,70,1.84,233,164,74.7,3,9,26,6,15.8,11,11,0,0,0.0,2019-2020
Real Sociedad,2,38,38,3420,38.0,48,1.26,144,96,71.5,16,8,14,9,23.7,9,7,1,1,12.5,2,38,38,3420,38.0,56,1.47,144,89,63.9,14,8,16,7,18.4,5,4,1,0,20.0,2019-2020
Sevilla,2,38,38,3420,38.0,34,0.89,117,83,73.5,19,13,6,17,44.7,4,3,1,0,25.0,2,38,38,3418,38.0,54,1.42,171,118,72.5,6,13,19,4,10.5,7,7,0,0,0.0,2019-2020
Valencia,2,38,38,3420,38.0,53,1.39,190,136,75.8,14,11,13,8,21.1,9,7,2,0,22.2,2,38,38,3420,38.0,46,1.21,118,71,65.3,13,11,14,9,23.7,8,5,2,1,28.6,2019-2020
Valladolid,3,38,38,3420,38.0,43,1.13,139,95,74.1,9,15,14,12,31.6,8,7,1,0,12.5,3,38,38,3418,38.0,32,0.84,121,88,76.0,14,15,9,15,39.5,6,3,2,1,40.0,2019-2020
Villarreal,2,38,38,3420,38.0,49,1.29,164,116,75.0,18,6,14,12,31.6,9,8,1,0,11.1,2,38,38,3420,38.0,63,1.66,171,108,69.0,14,6,18,3,7.9,11,10,1,0,9.1,2019-2020
Alavés,2,38,38,3420,38.0,50,1.32,167,119,73.7,13,11,14,8,21.1,6,6,0,0,0.0,2,38,38,3420,38.0,39,1.03,119,79,68.9,14,11,13,13,34.2,2,2,0,0,0.0,2018-2019
Athletic Club,2,38,38,3420,38.0,45,1.18,120,75,66.7,13,14,11,10,26.3,5,5,0,0,0.0,2,38,38,3420,38.0,41,1.08,139,98,74.1,11,14,13,11,28.9,7,5,2,0,28.6,2018-2019
Atlético Madrid,2,38,38,3420,38.0,29,0.76,136,109,82.4,22,10,6,20,52.6,5,5,0,0,0.0,2,38,38,3420,38.0,55,1.45,159,105,67.3,6,10,22,6,15.8,4,3,1,0,25.0,2018-2019
Barcelona,2,38,38,3420,38.0,36,0.95,130,95,73.8,26,9,3,17,44.7,2,2,0,0,0.0,2,38,38,3420,38.0,90,2.37,251,162,67.3,3,9,26,3,7.9,9,8,1,0,11.1,2018-2019
Betis,2,38,38,3420,38.0,52,1.37,155,102,69.0,14,8,16,11,28.9,5,4,1,0,20.0,2,38,38,3420,38.0,44,1.16,163,118,76.1,16,8,14,10,26.3,7,5,2,0,28.6,2018-2019
Celta Vigo,2,38,38,3420,38.0,62,1.63,167,106,66.5,10,11,17,8,21.1,7,6,0,1,0.0,2,38,38,3420,38.0,53,1.39,159,107,71.1,17,11,10,9,23.7,7,7,0,0,0.0,2018-2019
Eibar,2,38,38,3420,38.0,50,1.32,132,82,64.4,11,14,13,9,23.7,4,3,1,0,25.0,2,38,38,3420,38.0,46,1.21,154,108,74.7,13,14,11,11,28.9,8,7,0,1,0.0,2018-2019
Espanyol,1,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0,1,38,38,3419,38.0,48,1.26,158,115,72.2,13,11,14,7,18.4,4,4,0,0,0.0,2018-2019
Getafe,2,38,38,3420,38.0,35,0.92,134,99,76.9,15,14,9,13,34.2,6,4,1,1,20.0,2,38,38,3420,38.0,48,1.26,128,81,67.2,9,14,15,11,28.9,6,6,0,0,0.0,2018-2019
Girona,2,38,38,3420,38.0,53,1.39,206,154,78.2,9,10,19,9,23.7,8,8,0,0,0.0,2,38,38,3420,38.0,37,0.97,143,106,78.3,19,10,9,14,36.8,6,6,0,0,0.0,2018-2019
Huesca,3,38,38,3420,38.0,65,1.71,174,112,67.8,7,12,19,6,15.8,9,9,0,0,0.0,3,38,38,3420,38.0,43,1.13,146,102,74.7,19,12,7,13,34.2,7,6,1,0,14.3,2018-2019
Leganés,2,38,38,3420,38.0,43,1.13,134,91,70.1,11,12,15,11,28.9,4,3,1,0,25.0,2,38,38,3420,38.0,37,0.97,132,94,74.2,15,12,11,13,34.2,5,3,1,1,25.0,2018-2019
Levante,3,38,38,3420,38.0,66,1.74,226,161,74.3,11,11,16,7,18.4,9,8,1,0,11.1,3,38,38,3420,38.0,59,1.55,161,103,66.5,16,11,11,9,23.7,7,5,2,0,28.6,2018-2019
Rayo Vallecano,2,38,38,3420,38.0,70,1.84,182,109,65.4,8,8,22,7,18.4,11,7,4,0,36.4,2,38,38,3420,38.0,41,1.08,149,109,75.8,22,8,8,9,23.7,5,5,0,0,0.0,2018-2019
Real Madrid,3,38,38,3420,38.0,46,1.21,138,91,71.0,21,5,12,12,31.6,8,6,1,1,14.3,3,38,38,3420,38.0,63,1.66,212,151,74.5,12,5,21,9,23.7,9,9,0,0,0.0,2018-2019
Real Sociedad,2,38,38,3420,38.0,46,1.21,142,97,69.0,13,11,14,9,23.7,3,2,1,0,33.3,2,38,38,3420,38.0,45,1.18,143,97,74.1,14,11,13,13,34.2,10,8,2,0,20.0,2018-2019
Sevilla,3,38,38,3419,38.0,47,1.24,156,108,73.7,17,8,13,10,26.3,7,6,1,0,14.3,3,38,38,3420,38.0,62,1.63,173,112,67.1,13,8,17,12,31.6,6,5,1,0,16.7,2018-2019
Valencia,2,38,38,3420,38.0,35,0.92,152,118,81.6,15,16,7,13,34.2,8,7,1,0,12.5,2,38,38,3420,38.0,51,1.34,164,112,72.0,7,16,15,11,28.9,7,5,2,0,28.6,2018-2019
Valladolid,2,38,38,3420,38.0,51,1.34,155,102,71.0,10,11,17,9,23.7,9,6,3,0,33.3,2,38,38,3420,38.0,32,0.84,131,98,78.6,17,11,10,17,44.7,7,4,2,1,33.3,2018-2019
Villarreal,2,38,38,3420,38.0,52,1.37,185,135,73.5,10,14,14,11,28.9,5,3,1,1,25.0,2,38,38,3420,38.0,49,1.29,174,125,73.6,14,14,10,9,23.7,6,3,2,1,40.0,2018-2019
Alavés,2,38,38,3420,38.0,50,1.32,172,122,75.0,15,2,21,12,31.6,10,7,2,1,22.2,2,38,38,3420,38.0,40,1.05,136,95,71.3,21,2,15,13,34.2,3,1,1,1,50.0,2017-2018
Athletic Club,2,38,38,3420,38.0,49,1.29,166,117,72.3,10,13,15,11,28.9,6,3,3,0,50.0,2,38,38,3420,38.0,41,1.08,150,109,76.7,15,13,10,12,31.6,8,6,2,0,25.0,2017-2018
Atlético Madrid,2,38,38,3420,38.0,22,0.58,129,105,83.7,23,10,5,23,60.5,4,1,3,0,75.0,2,38,38,3420,38.0,58,1.53,152,94,64.5,5,10,23,8,21.1,5,4,1,0,20.0,2017-2018
Barcelona,2,38,38,3420,38.0,29,0.76,133,104,79.7,28,9,1,19,50.0,2,2,0,0,0.0,2,38,38,3420,38.0,99,2.61,269,171,64.3,1,9,28,1,2.6,5,3,2,0,40.0,2017-2018
Betis,3,38,38,3420,38.0,61,1.61,156,98,62.8,18,6,14,13,34.2,4,3,1,0,25.0,3,38,38,3420,38.0,60,1.58,163,106,64.4,14,6,18,11,28.9,3,2,1,0,33.3,2017-2018
Celta Vigo,3,38,38,3416,38.0,60,1.58,161,102,65.2,13,10,15,7,18.4,5,4,0,1,0.0,3,38,38,3420,38.0,59,1.55,160,102,64.4,15,10,13,8,21.1,3,2,1,0,33.3,2017-2018
Eibar,3,38,38,3420,38.0,50,1.32,134,87,65.7,14,9,15,11,28.9,4,4,0,0,0.0,3,38,38,3415,38.0,44,1.16,133,90,68.4,15,9,14,15,39.5,3,2,0,1,0.0,2017-2018
Espanyol,2,38,38,3420,38.0,42,1.11,164,122,76.8,12,13,13,12,31.6,6,4,2,0,33.3,2,38,38,3420,38.0,36,0.95,131,97,74.0,13,13,12,15,39.5,3,2,1,0,33.3,2017-2018
Getafe,2,38,38,3420,38.0,33,0.87,130,96,76.2,15,10,13,14,36.8,4,2,1,1,33.3,2,38,38,3420,38.0,42,1.11,132,86,72.0,13,10,15,13,34.2,12,5,5,2,50.0,2017-2018
Girona,2,38,38,3420,38.0,59,1.55,175,119,68.6,14,9,15,11,28.9,5,4,0,1,0.0,2,38,38,3420,38.0,50,1.32,156,105,71.8,15,9,14,10,26.3,8,6,1,1,14.3,2017-2018
La Coruña,5,38,38,3415,38.0,76,2.0,179,105,59.8,6,11,21,6,15.8,5,4,1,0,20.0,5,38,38,3420,38.0,38,1.0,138,98,74.6,21,11,6,14,36.8,5,3,2,0,40.0,2017-2018
Las Palmas,2,38,38,3420,38.0,74,1.95,215,142,67.9,5,7,26,5,13.2,5,5,0,0,0.0,2,38,38,3416,38.0,24,0.63,127,101,85.8,26,7,5,20,52.6,8,6,2,0,25.0,2017-2018
Leganés,3,38,38,3420,38.0,51,1.34,156,104,71.2,12,7,19,14,36.8,7,6,1,0,14.3,3,38,38,3420,38.0,34,0.89,128,95,75.0,19,7,12,17,44.7,3,2,1,0,33.3,2017-2018
