Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Tackles Tkl_for,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Att_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 16_level_0 Tkl+Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Tackles Tkl_against,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Att_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 16_level_0 Tkl+Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Villarreal,32,38.0,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16,32,38.0,688,423,349,240,99,345,780,44.2,435,426,114,312,349,1037,618,16,2022-2023
Alavés,33,38.0,550,324,271,221,58,262,637,41.1,375,373,106,267,376,926,890,7,33,38.0,511,273,249,193,69,233,504,46.2,271,351,87,264,311,822,729,12,2021-2022
Athletic Club,26,38.0,508,292,217,216,75,224,582,38.5,358,411,128,283,339,847,788,8,26,38.0,573,353,293,224,56,232,529,43.9,297,393,131,262,387,960,817,14,2021-2022
Atlético Madrid,26,38.0,636,346,290,279,67,293,619,47.3,326,372,98,274,365,1001,649,14,26,38.0,570,309,297,201,72,217,600,36.2,383,364,103,261,404,974,803,10,2021-2022
Barcelona,38,38.0,587,331,236,270,81,244,493,49.5,249,346,85,261,325,912,467,17,38,38.0,631,352,309,250,72,273,747,36.5,474,376,109,267,392,1023,809,10,2021-2022
Betis,31,38.0,662,392,322,261,79,324,695,46.6,371,386,112,274,361,1023,777,11,31,38.0,647,370,331,254,62,282,654,43.1,372,416,135,281,375,1022,614,11,2021-2022
Cádiz,33,38.0,647,380,346,238,63,301,711,42.3,410,390,106,284,413,1060,768,5,33,38.0,529,312,265,197,67,238,519,45.9,281,328,89,239,323,852,792,12,2021-2022
Celta Vigo,25,38.0,696,409,324,279,93,286,762,37.5,476,423,91,332,376,1072,634,11,25,38.0,554,324,236,237,81,244,590,41.4,346,410,97,313,454,1008,776,14,2021-2022
Elche,28,38.0,589,325,335,191,63,268,622,43.1,354,367,126,241,305,894,769,14,28,38.0,588,346,244,268,76,258,597,43.2,339,363,87,276,359,947,617,9,2021-2022
Espanyol,34,38.0,557,338,308,196,53,275,646,42.6,371,360,114,246,326,883,892,20,34,38.0,574,350,248,249,77,243,616,39.4,373,338,98,240,287,861,591,4,2021-2022
Getafe,31,38.0,587,360,266,243,78,248,594,41.8,346,400,96,304,401,988,719,8,31,38.0,511,279,204,239,68,210,452,46.5,242,343,106,237,357,868,668,8,2021-2022
Granada,32,38.0,611,343,310,240,61,274,632,43.4,358,437,130,307,326,937,841,8,32,38.0,546,280,268,193,85,225,495,45.5,270,359,106,253,307,853,662,11,2021-2022
Levante,31,38.0,558,305,268,212,78,237,611,38.8,374,326,110,216,377,935,735,12,31,38.0,637,384,345,238,54,335,683,49.0,348,379,107,272,327,964,621,17,2021-2022
Mallorca,33,38.0,607,332,301,235,71,248,551,45.0,303,374,119,255,344,951,826,9,33,38.0,648,351,257,304,87,244,612,39.9,368,377,121,256,306,954,746,10,2021-2022
Osasuna,29,38.0,577,331,270,236,71,251,598,42.0,347,340,115,225,368,945,758,5,29,38.0,515,326,265,204,46,206,467,44.1,261,355,99,256,353,868,843,15,2021-2022
Rayo Vallecano,28,38.0,621,359,320,237,64,280,688,40.7,408,410,95,315,365,986,686,9,28,38.0,653,391,304,274,75,282,639,44.1,357,400,130,270,343,996,711,15,2021-2022
Real Madrid,31,38.0,560,345,281,195,84,211,502,42.0,291,379,114,265,334,894,526,17,31,38.0,601,346,347,159,95,324,780,41.5,456,443,161,282,342,943,696,16,2021-2022
Real Sociedad,32,38.0,586,339,271,234,81,260,546,47.6,286,382,105,277,348,934,703,6,32,38.0,701,415,344,276,81,310,670,46.3,360,424,117,307,339,1040,693,9,2021-2022
Sevilla,33,38.0,534,302,252,211,71,236,542,43.5,306,367,124,243,270,804,603,18,33,38.0,609,353,312,203,94,283,588,48.1,305,344,91,253,348,957,748,8,2021-2022
Valencia,34,38.0,591,364,289,217,85,266,623,42.7,357,373,93,280,339,930,746,8,34,38.0,576,335,299,211,66,282,642,43.9,360,314,90,224,286,862,795,7,2021-2022
Villarreal,29,38.0,538,312,250,197,91,229,476,48.1,247,330,109,221,329,867,644,16,29,38.0,628,380,310,234,84,296,746,39.7,450,469,112,357,387,1015,690,11,2021-2022
Alavés,30,38.0,499,292,263,181,55,197,565,34.9,368,341,90,251,428,927,766,8,30,38.0,469,278,197,215,57,213,468,45.5,255,309,89,220,342,811,623,13,2020-2021
Athletic Club,27,38.0,461,269,194,200,67,167,515,32.4,348,341,74,267,344,805,684,9,27,38.0,532,303,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6,2020-2021
Atlético Madrid,25,38.0,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,25,38.0,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9,2020-2021
Barcelona,25,38.0,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,25,38.0,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8,2020-2021
Betis,25,38.0,556,314,274,220,62,211,556,37.9,345,361,74,287,452,1008,687,11,25,38.0,586,336,286,245,55,218,638,34.2,420,408,130,278,364,950,610,12,2020-2021
Cádiz,34,38.0,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8,34,38.0,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10,2020-2021
Celta Vigo,30,38.0,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12,30,38.0,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6,2020-2021
Eibar,30,38.0,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11,30,38.0,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7,2020-2021
Elche,30,38.0,551,335,324,189,38,210,578,36.3,368,357,97,260,386,937,689,11,30,38.0,598,347,216,281,101,253,618,40.9,365,327,57,270,406,1004,586,8,2020-2021
Getafe,31,38.0,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4,31,38.0,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3,2020-2021
Granada,34,38.0,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7,34,38.0,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9,2020-2021
Huesca,27,38.0,556,322,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7,27,38.0,532,309,212,221,99,227,653,34.8,426,325,80,245,323,855,773,14,2020-2021
Levante,29,38.0,512,283,268,189,55,208,543,38.3,335,336,94,242,432,944,680,15,29,38.0,575,334,287,204,84,249,615,40.5,366,374,76,298,433,1008,638,8,2020-2021
Osasuna,28,38.0,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7,28,38.0,505,309,252,195,58,195,440,44.3,245,312,79,233,338,843,694,7,2020-2021
Real Madrid,30,38.0,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12,30,38.0,531,295,277,184,70,216,645,33.5,429,418,133,285,380,911,707,16,2020-2021
Real Sociedad,30,38.0,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5,30,38.0,531,311,253,212,66,220,550,40.0,330,413,104,309,379,910,710,16,2020-2021
Sevilla,26,38.0,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10,26,38.0,516,306,255,196,65,207,599,34.6,392,325,87,238,407,923,635,13,2020-2021
Valencia,30,38.0,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12,30,38.0,480,295,210,198,72,212,553,38.3,341,332,93,239,391,871,540,9,2020-2021
Valladolid,32,38.0,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9,32,38.0,541,314,256,206,79,213,504,42.3,291,311,74,237,368,909,701,12,2020-2021
Villarreal,29,38.0,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17,29,38.0,591,324,280,223,88,255,692,36.8,437,394,94,300,416,1007,617,12,2020-2021
Alavés,32,38.0,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7,32,38.0,555,347,228,258,69,246,497,49.5,251,291,66,225,329,884,584,10,2019-2020
Athletic Club,26,38.0,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7,26,38.0,549,313,270,222,57,250,587,42.6,337,330,85,245,327,876,704,15,2019-2020
Atlético Madrid,30,38.0,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18,30,38.0,572,355,292,224,56,195,543,35.9,348,342,112,230,384,956,709,12,2019-2020
Barcelona,28,38.0,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16,28,38.0,623,361,351,202,70,269,793,33.9,524,430,117,313,525,1148,575,12,2019-2020
Betis,27,38.0,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8,27,38.0,623,374,301,251,71,268,713,37.6,445,369,108,261,364,987,644,13,2019-2020
Celta Vigo,30,38.0,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12,30,38.0,615,348,253,275,87,240,610,39.3,370,401,88,313,384,999,646,14,2019-2020
Eibar,26,38.0,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8,26,38.0,553,331,293,218,42,198,458,43.2,260,328,97,231,342,895,923,17,2019-2020
Espanyol,31,38.0,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17,31,38.0,539,305,265,217,57,208,489,42.5,281,319,107,212,367,906,787,9,2019-2020
Getafe,30,38.0,580,341,235,263,82,235,573,41.0,338,374,60,314,367,947,625,12,30,38.0,520,292,307,174,39,202,476,42.4,274,384,100,284,384,904,852,13,2019-2020
Granada,27,38.0,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10,27,38.0,543,302,267,206,70,253,553,45.8,300,335,99,236,333,876,665,13,2019-2020
Leganés,29,38.0,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7,29,38.0,530,339,260,214,56,239,581,41.1,342,324,100,224,332,862,850,6,2019-2020
Levante,29,38.0,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14,29,38.0,553,349,242,226,85,251,637,39.4,386,385,112,273,321,874,662,7,2019-2020
Mallorca,32,38.0,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9,32,38.0,670,393,315,277,78,317,709,44.7,392,352,94,258,383,1053,690,8,2019-2020
Osasuna,31,38.0,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19,31,38.0,516,316,234,218,64,210,525,40.0,315,345,91,254,406,922,776,18,2019-2020
Real Madrid,26,38.0,586,355,252,253,81,226,595,38.0,369,367,77,290,381,967,590,13,26,38.0,600,352,302,216,82,285,769,37.1,484,367,101,266,374,974,777,14,2019-2020
Real Sociedad,27,38.0,551,321,254,224,73,252,573,44.0,321,346,79,267,320,871,694,12,27,38.0,591,359,268,260,63,234,589,39.7,355,421,108,313,409,1000,708,9,2019-2020
Sevilla,26,38.0,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10,26,38.0,606,380,304,226,76,254,667,38.1,413,385,109,276,430,1036,810,15,2019-2020
Valencia,28,38.0,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12,28,38.0,486,288,207,201,78,203,548,37.0,345,274,74,200,372,858,634,11,2019-2020
Valladolid,30,38.0,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13,30,38.0,555,331,240,224,91,231,569,40.6,338,337,93,244,300,855,613,11,2019-2020
Villarreal,25,38.0,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12,25,38.0,569,337,257,229,83,259,690,37.5,431,353,106,247,369,938,616,9,2019-2020
Alavés,26,38.0,646,389,352,228,66,254,595,42.7,341,419,117,302,390,1036,1066,13,26,38.0,554,330,259,240,55,213,489,43.6,276,363,91,272,364,918,859,10,2018-2019
Athletic Club,27,38.0,643,384,311,245,87,245,646,37.9,401,414,93,321,453,1096,815,7,27,38.0,598,402,290,234,74,254,542,46.9,288,375,81,294,355,953,868,8,2018-2019
Atlético Madrid,29,38.0,784,487,402,298,84,319,700,45.6,381,374,94,280,463,1247,837,12,29,38.0,617,383,331,212,74,205,571,35.9,366,394,100,294,436,1053,817,9,2018-2019
Barcelona,30,38.0,537,346,218,232,87,226,492,45.9,266,360,101,259,391,928,565,16,30,38.0,742,435,426,252,64,307,753,40.8,446,438,106,332,545,1287,689,23,2018-2019
Betis,25,38.0,615,378,309,227,79,219,544,40.3,325,382,80,302,361,976,702,21,25,38.0,659,392,318,258,83,267,716,37.3,449,421,114,307,424,1083,757,16,2018-2019
Celta Vigo,28,38.0,634,377,364,213,57,258,562,45.9,304,380,105,275,382,1016,889,19,28,38.0,617,379,290,250,77,246,626,39.3,380,386,120,266,361,978,727,13,2018-2019
Eibar,25,38.0,637,424,238,289,110,240,563,42.6,323,357,53,304,368,1005,683,10,25,38.0,635,393,387,197,51,248,592,41.9,344,453,98,355,474,1109,1263,15,2018-2019
Espanyol,25,38.0,655,394,324,244,87,263,684,38.5,421,402,134,268,408,1063,950,14,25,38.0,578,382,275,208,95,204,522,39.1,318,441,113,328,420,998,690,17,2018-2019
Getafe,26,38.0,604,358,246,281,77,255,617,41.3,362,422,81,341,453,1057,888,15,26,38.0,643,389,336,240,67,277,576,48.1,299,416,97,319,342,985,878,14,2018-2019
Girona,26,38.0,613,367,309,247,57,264,636,41.5,372,401,124,277,432,1045,928,14,26,38.0,591,366,304,234,53,221,537,41.2,316,311,75,236,407,998,858,17,2018-2019
Huesca,30,38.0,712,452,363,290,59,303,694,43.7,391,414,107,307,440,1152,953,12,30,38.0,634,399,291,272,71,278,592,47.0,314,383,102,281,374,1008,913,9,2018-2019
Leganés,29,38.0,609,382,325,221,63,227,581,39.1,354,329,84,245,432,1041,907,10,29,38.0,520,342,255,198,67,216,469,46.1,253,319,78,241,351,871,916,11,2018-2019
Levante,26,38.0,572,372,308,196,68,264,722,36.6,458,455,151,304,422,994,842,12,26,38.0,765,480,367,296,102,336,738,45.5,402,397,106,291,397,1162,825,12,2018-2019
Rayo Vallecano,29,38.0,651,422,369,223,59,257,592,43.4,335,388,77,311,433,1084,931,16,29,38.0,809,491,335,354,120,314,848,37.0,534,380,120,260,371,1180,768,15,2018-2019
Real Madrid,27,38.0,626,395,267,253,106,245,629,39.0,384,374,78,296,373,999,602,11,27,38.0,651,397,334,243,74,295,755,39.1,460,465,148,317,449,1100,856,18,2018-2019
Real Sociedad,30,38.0,579,344,299,219,61,248,584,42.5,336,444,109,335,425,1004,842,19,30,38.0,733,478,349,290,94,267,678,39.4,411,406,89,317,390,1123,721,11,2018-2019
Sevilla,27,38.0,598,408,288,237,73,203,513,39.6,310,370,114,256,365,963,817,15,27,38.0,640,396,297,245,98,249,606,41.1,357,455,128,327,444,1084,994,15,2018-2019
Valencia,25,38.0,598,384,299,228,71,238,588,40.5,350,447,120,327,418,1016,860,12,25,38.0,583,377,270,247,66,246,589,41.8,343,387,95,292,448,1031,818,16,2018-2019
Valladolid,28,38.0,714,441,369,265,80,280,678,41.3,398,413,113,300,387,1101,874,16,28,38.0,530,347,260,216,54,183,477,38.4,294,358,87,271,395,925,825,12,2018-2019
Villarreal,26,38.0,667,413,333,255,79,273,659,41.4,386,406,142,264,390,1057,877,12,26,38.0,595,359,319,205,71,255,603,42.3,348,403,129,274,439,1034,786,15,2018-2019
Alavés,30,38.0,702,464,364,265,73,267,663,40.3,396,407,133,274,498,1200,981,11,30,38.0,650,462,323,246,81,246,576,42.7,330,317,88,229,422,1072,721,5,2017-2018
Athletic Club,26,38.0,739,486,359,304,76,296,735,40.3,439,432,103,329,465,1204,820,9,26,38.0,670,449,332,280,58,261,611,42.7,350,374,76,298,422,1092,919,6,2017-2018
Atlético Madrid,26,38.0,917,614,442,372,103,377,847,44.5,470,462,129,333,513,1430,885,4,26,38.0,715,494,346,273,96,267,693,38.5,426,390,91,299,488,1203,792,12,2017-2018
Barcelona,25,38.0,629,413,281,262,86,229,552,41.5,323,366,103,263,424,1053,525,10,25,38.0,819,517,438,307,74,354,973,36.4,619,477,128,349,618,1437,694,14,2017-2018
Betis,29,38.0,635,424,319,252,64,213,537,39.7,324,356,95,261,427,1062,869,17,29,38.0,622,405,296,261,65,240,679,35.3,439,356,94,262,448,1070,566,8,2017-2018
Celta Vigo,23,38.0,589,420,304,232,53,218,556,39.2,338,327,101,226,497,1086,780,10,23,38.0,655,426,296,288,71,227,603,37.6,376,372,103,269,495,1150,735,13,2017-2018
Eibar,27,38.0,643,436,271,282,90,258,613,42.1,355,349,53,296,554,1197,712,9,27,38.0,671,435,402,231,38,297,649,45.8,352,401,115,286,510,1181,1156,4,2017-2018
Espanyol,25,38.0,716,500,357,278,81,271,700,38.7,429,362,116,246,515,1231,902,9,25,38.0,661,443,318,275,68,273,596,45.8,323,404,95,309,433,1094,846,9,2017-2018
Getafe,32,38.0,715,491,369,267,79,276,732,37.7,456,350,69,281,487,1202,899,5,32,38.0,696,480,350,273,73,288,584,49.3,296,357,83,274,515,1211,788,14,2017-2018
Girona,25,38.0,611,403,299,254,58,240,606,39.6,366,329,84,245,490,1101,858,6,25,38.0,653,439,318,268,67,284,644,44.1,360,308,96,212,396,1049,896,16,2017-2018
La Coruña,32,38.0,728,500,386,282,60,292,679,43.0,387,391,113,278,484,1212,942,13,32,38.0,624,431,306,263,55,245,620,39.5,375,356,102,254,491,1115,825,8,2017-2018
Las Palmas,36,38.0,654,433,325,269,60,268,647,41.4,379,367,112,255,508,1162,713,21,36,38.0,722,514,306,331,85,264,713,37.0,449,355,90,265,506,1228,785,5,2017-2018
Leganés,28,38.0,721,483,350,307,64,323,697,46.3,374,361,87,274,583,1304,777,9,28,38.0,720,474,356,284,80,267,608,43.9,341,371,85,286,432,1152,796,7,2017-2018
Levante,33,38.0,616,414,328,222,66,239,625,38.2,386,395,127,268,477,1093,811,9,33,38.0,755,522,380,282,93,310,685,45.3,375,380,105,275,454,1209,813,7,2017-2018
Málaga,37,38.0,745,509,383,276,86,272,707,38.5,435,362,101,261,497,1242,890,3,37,38.0,748,509,347,315,86,278,586,47.4,308,359,88,271,452,1200,941,8,2017-2018
Real Madrid,24,38.0,687,470,317,275,95,252,621,40.6,369,362,83,279,424,1111,536,16,24,38.0,644,418,358,205,81,251,752,33.4,501,431,152,279,486,1130,974,17,2017-2018
Real Sociedad,27,38.0,547,374,249,228,70,227,536,42.4,309,367,91,276,446,993,665,6,27,38.0,708,510,366,266,76,261,623,41.9,362,430,127,303,489,1197,855,13,2017-2018
Sevilla,31,38.0,768,535,354,325,89,296,685,43.2,389,419,114,305,409,1177,849,17,31,38.0,699,471,353,277,69,269,661,40.7,392,442,118,324,467,1166,851,12,2017-2018
Valencia,25,38.0,745,492,407,267,71,309,692,44.7,383,416,108,308,459,1204,910,9,25,38.0,746,488,335,312,99,271,699,38.8,428,364,108,256,542,1288,698,13,2017-2018
Villarreal,32,38.0,711,466,356,278,77,277,700,39.6,423,447,131,316,427,1138,1023,7,32,38.0,640,440,294,260,86,247,575,43.0,328,383,109,274,518,1158,696,9,2017-2018
Athletic Club,26,30.0,446,318,220,154,72,133,307,43.3,174,338,78,260,249,695,608,4,26,30.0,586,432,270,223,93,236,405,58.3,169,314,71,243,301,887,554,6,2024-2025-femenino
Atlético Madrid,23,30.0,463,329,221,175,67,145,279,52.0,134,340,87,253,287,750,502,5,23,30.0,587,416,309,210,68,218,407,53.6,189,311,76,235,330,917,664,2,2024-2025-femenino
Barcelona,26,30.0,434,330,94,186,154,150,240,62.5,90,241,25,216,217,651,140,8,26,30.0,526,359,396,97,33,234,487,48.0,253,488,230,258,375,901,1024,7,2024-2025-femenino
Dep La Coruña,27,30.0,507,365,292,163,52,184,398,46.2,214,347,99,248,300,807,832,4,27,30.0,503,368,203,206,94,188,423,44.4,235,285,56,229,282,785,391,3,2024-2025-femenino
Eibar,26,30.0,518,363,280,166,72,223,444,50.2,221,385,93,292,322,840,812,2,26,30.0,466,337,237,171,58,150,302,49.7,152,267,49,218,205,671,439,4,2024-2025-femenino
Espanyol,26,30.0,589,428,288,221,80,196,429,45.7,233,375,97,278,376,965,687,5,26,30.0,492,370,241,172,79,177,328,54.0,151,279,46,233,218,710,547,9,2024-2025-femenino
Granada,24,30.0,547,387,258,204,85,233,439,53.1,206,283,71,212,313,860,477,7,24,30.0,482,341,241,168,73,183,380,48.2,197,333,91,242,271,753,653,6,2024-2025-femenino
Levante,25,30.0,607,432,345,187,75,271,499,54.3,228,374,97,277,310,917,613,6,25,30.0,543,392,254,202,87,192,408,47.1,216,349,58,291,345,888,545,6,2024-2025-femenino
Levante Planas,27,30.0,503,350,204,196,103,187,369,50.7,182,298,55,243,284,787,525,3,27,30.0,639,471,328,230,81,214,455,47.0,241,339,83,256,339,978,594,5,2024-2025-femenino
Madrid CFF,26,30.0,529,388,292,190,47,198,374,52.9,176,324,91,233,315,844,625,4,26,30.0,434,300,179,178,77,151,297,50.8,146,355,74,281,341,775,559,4,2024-2025-femenino
Real Betis,26,30.0,575,418,277,220,78,220,446,49.3,226,360,114,246,267,842,615,14,26,30.0,602,440,207,272,123,214,391,54.7,177,339,55,284,337,939,461,5,2024-2025-femenino
Real Madrid,30,30.0,455,336,170,190,95,154,286,53.8,132,249,45,204,311,766,369,7,30,30.0,566,369,336,165,65,234,539,43.4,305,384,141,243,297,863,784,10,2024-2025-femenino
Real Sociedad,26,30.0,575,393,253,228,94,209,412,50.7,203,297,58,239,236,811,486,7,26,30.0,555,418,281,215,59,161,336,47.9,175,358,76,282,359,914,584,7,2024-2025-femenino
Sevilla,22,30.0,549,408,287,214,48,190,432,44.0,242,326,78,248,365,914,685,5,22,30.0,517,379,220,203,94,199,385,51.7,186,280,51,229,292,809,442,7,2024-2025-femenino
UDG Tenerife,28,30.0,502,370,258,185,59,164,354,46.3,190,362,106,256,332,834,692,5,28,30.0,507,375,238,212,57,183,362,50.6,179,257,53,204,244,751,643,2,2024-2025-femenino
Valencia,30,30.0,668,477,385,221,62,248,511,48.5,263,333,71,262,347,1015,678,3,30,30.0,462,325,184,176,102,171,314,54.5,143,294,55,239,295,757,462,6,2024-2025-femenino
