Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Unnamed: 3_level_0 Att_for,Pass Types Live_for,Pass Types Dead_for,Pass Types FK_for,Pass Types TB_for,Pass Types Sw_for,Pass Types Crs_for,Pass Types TI_for,Pass Types CK_for,Corner Kicks In_for,Corner Kicks Out_for,Corner Kicks Str_for,Outcomes Cmp_for,Outcomes Off_for,Outcomes Blocks_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Unnamed: 3_level_0 Att_against,Pass Types Live_against,Pass Types Dead_against,Pass Types FK_against,Pass Types TB_against,Pass Types Sw_against,Pass Types Crs_against,Pass Types TI_against,Pass Types CK_against,Corner Kicks In_against,Corner Kicks Out_against,Corner Kicks Str_against,Outcomes Cmp_against,Outcomes Off_against,Outcomes Blocks_against,Season
Athletic Club,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,26,38.0,18950,16909,1974,551,29,332,754,859,161,68,54,1,14696,67,340,2021-2022
Atlético Madrid,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,26,38.0,18803,16917,1850,529,32,209,601,729,149,67,64,1,14882,36,316,2021-2022
Barcelona,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,38,38.0,13908,12019,1811,571,39,128,500,644,128,52,52,1,10460,78,301,2021-2022
Betis,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,31,38.0,16934,14870,1935,530,43,168,764,808,215,96,80,2,13052,129,323,2021-2022
Cádiz,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,33,38.0,20783,18843,1877,515,50,183,750,806,176,60,76,3,16729,63,337,2021-2022
Celta Vigo,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,25,38.0,16708,14678,1995,562,22,184,609,925,146,56,57,0,12362,35,394,2021-2022
Elche,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,28,38.0,18212,16269,1839,547,78,195,767,775,195,74,74,0,14329,104,279,2021-2022
Espanyol,34,38.0,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287,34,38.0,19314,17461,1767,487,56,190,888,716,223,83,84,1,15516,86,313,2021-2022
Getafe,31,38.0,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299,31,38.0,21156,19121,1926,575,58,282,752,846,186,60,87,1,16725,109,365,2021-2022
Granada,32,38.0,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295,32,38.0,18856,16832,1955,504,56,176,824,850,205,60,91,2,14611,69,384,2021-2022
Levante,31,38.0,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311,31,38.0,18611,16649,1884,598,54,205,697,713,185,58,68,3,14699,78,256,2021-2022
Mallorca,33,38.0,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311,33,38.0,18463,16519,1887,590,44,155,738,789,161,69,65,3,14388,57,304,2021-2022
Osasuna,29,38.0,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309,29,38.0,19149,17058,2009,543,50,195,719,867,184,56,71,2,14630,82,261,2021-2022
Rayo Vallecano,28,38.0,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321,28,38.0,17259,15156,2049,591,54,156,659,867,177,77,70,1,12928,54,358,2021-2022
Real Madrid,31,38.0,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313,31,38.0,16452,14707,1715,472,41,171,670,615,153,70,55,0,13258,30,311,2021-2022
Real Sociedad,32,38.0,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352,32,38.0,16279,14226,1967,540,36,160,662,914,174,56,66,2,12311,86,320,2021-2022
Sevilla,33,38.0,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305,33,38.0,15095,13204,1838,516,30,143,647,749,158,66,61,1,11300,53,272,2021-2022
Valencia,34,38.0,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289,34,38.0,17920,15730,2093,655,50,198,679,896,172,68,66,1,13730,97,331,2021-2022
Villarreal,29,38.0,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396,29,38.0,15636,13738,1775,533,34,168,749,671,198,76,80,2,11881,123,267,2021-2022
Alavés,30,38.0,14390,12380,1937,595,11,144,645,800,142,42,68,4,10217,73,265,30,38.0,19621,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305,2020-2021
Athletic Club,27,38.0,17841,15737,2027,561,13,200,811,920,197,65,73,3,13577,77,376,27,38.0,18323,16394,1846,532,21,242,753,768,157,46,70,1,14283,83,335,2020-2021
Atlético Madrid,25,38.0,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,25,38.0,19039,17189,1820,563,10,211,708,703,160,54,71,0,15160,30,354,2020-2021
Barcelona,25,38.0,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,25,38.0,15011,13448,1515,426,20,141,514,513,140,43,57,1,11743,48,300,2020-2021
Betis,25,38.0,19679,17720,1894,598,18,163,586,774,184,48,82,2,15816,65,321,25,38.0,17222,15250,1847,548,36,180,654,788,158,64,60,0,13194,125,345,2020-2021
Cádiz,34,38.0,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,34,38.0,23128,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349,2020-2021
Celta Vigo,30,38.0,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,30,38.0,16949,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365,2020-2021
Eibar,30,38.0,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,30,38.0,17650,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333,2020-2021
Elche,30,38.0,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,30,38.0,19233,17498,1671,535,28,149,693,692,164,43,64,1,15678,64,308,2020-2021
Getafe,31,38.0,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,31,38.0,18783,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356,2020-2021
Granada,34,38.0,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,34,38.0,19293,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342,2020-2021
Huesca,27,38.0,17483,15452,1930,598,9,197,824,788,156,59,58,1,13511,101,321,27,38.0,19259,17253,1932,594,20,182,691,811,161,52,55,0,15344,74,309,2020-2021
Levante,29,38.0,18113,16219,1825,509,23,178,697,767,173,61,41,0,14189,69,369,29,38.0,16963,14983,1881,533,22,162,683,790,179,62,66,1,13052,99,297,2020-2021
Osasuna,28,38.0,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281,28,38.0,20219,18086,2037,565,34,198,800,906,176,70,40,2,15379,96,296,2020-2021
Real Madrid,30,38.0,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346,30,38.0,16672,14886,1747,462,21,174,637,677,152,55,64,1,13187,39,319,2020-2021
Real Sociedad,30,38.0,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369,30,38.0,15816,13837,1890,622,18,196,533,756,127,40,46,2,11867,89,293,2020-2021
Sevilla,26,38.0,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301,26,38.0,14857,12969,1854,536,16,156,680,723,157,59,62,2,11221,34,272,2020-2021
Valencia,30,38.0,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297,30,38.0,18941,17081,1787,508,21,216,858,731,200,77,85,0,15047,73,300,2020-2021
Valladolid,32,38.0,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312,32,38.0,18827,16803,1954,544,21,218,775,861,194,65,71,4,14587,70,341,2020-2021
Villarreal,29,38.0,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348,29,38.0,17408,15576,1756,503,13,188,777,753,147,54,40,1,13685,76,311,2020-2021
Alavés,32,38.0,13973,11911,2001,543,17,108,562,881,136,52,53,0,9612,61,278,32,38.0,20109,18001,2016,631,43,269,695,907,176,65,59,5,15671,92,329,2019-2020
Athletic Club,26,38.0,16915,14889,1942,517,14,200,754,874,178,70,65,6,12533,84,306,26,38.0,18082,16006,2005,558,32,208,737,876,173,68,60,2,13649,71,316,2019-2020
Atlético Madrid,30,38.0,17765,15735,1914,511,62,123,574,835,183,60,92,0,13595,116,283,30,38.0,19126,17114,1978,598,15,243,728,769,180,63,67,2,14900,34,343,2019-2020
Barcelona,28,38.0,28227,26418,1726,573,86,183,417,638,185,92,27,2,24758,83,337,28,38.0,14303,12675,1560,465,26,159,560,564,137,48,43,4,10889,68,276,2019-2020
Betis,27,38.0,19823,17676,2063,699,30,205,624,799,185,67,41,2,16182,84,337,27,38.0,15463,13476,1862,519,31,172,708,740,202,75,74,5,11625,125,273,2019-2020
Celta Vigo,30,38.0,18557,16543,1944,593,38,138,636,749,176,61,78,2,14552,70,367,30,38.0,17544,15616,1862,511,19,206,783,838,206,83,79,1,13456,66,329,2019-2020
Eibar,26,38.0,15551,13381,2097,531,11,221,870,1015,189,69,101,1,10439,73,286,26,38.0,18285,15925,2239,580,49,231,630,1037,189,69,63,1,13273,121,310,2019-2020
Espanyol,31,38.0,16363,14389,1909,543,19,146,710,800,156,59,64,6,11881,65,281,31,38.0,18345,16269,2005,608,40,235,646,833,169,69,50,0,13993,71,343,2019-2020
Getafe,30,38.0,13715,11368,2241,630,27,215,833,1094,185,41,69,2,8319,106,377,30,38.0,16917,14498,2276,782,39,190,505,947,132,49,48,1,11770,143,356,2019-2020
Granada,27,38.0,14105,12058,1977,582,16,133,670,825,163,64,57,0,9810,70,306,27,38.0,18617,16434,2108,617,36,215,724,942,181,70,69,1,14365,75,316,2019-2020
Leganés,29,38.0,14838,12774,1989,565,20,160,771,886,157,42,83,3,10336,75,296,29,38.0,19534,17372,2094,632,23,273,636,920,153,63,49,1,15049,68,294,2019-2020
Levante,29,38.0,16332,14321,1930,548,34,227,697,749,189,91,42,6,12415,81,335,29,38.0,17798,15792,1920,508,36,194,854,803,219,78,87,4,13838,86,286,2019-2020
Mallorca,32,38.0,15636,13615,1963,577,18,119,682,793,171,64,60,0,11782,58,325,32,38.0,19483,17602,1827,526,32,173,737,726,177,54,70,3,15595,54,307,2019-2020
Osasuna,31,38.0,15904,13788,2036,533,16,192,755,926,180,67,72,1,10959,80,316,31,38.0,17987,15674,2193,592,52,171,666,1009,176,58,57,4,13039,120,356,2019-2020
Real Madrid,26,38.0,23733,21828,1821,534,59,445,776,786,192,51,68,0,20107,84,328,26,38.0,16712,14786,1862,549,26,161,621,726,148,61,54,1,12998,64,360,2019-2020
Real Sociedad,27,38.0,20229,18172,1979,598,54,115,719,868,181,99,33,2,15989,78,376,27,38.0,15849,13840,1914,553,28,195,590,835,147,52,60,5,11671,95,319,2019-2020
Sevilla,26,38.0,21733,19673,1968,553,30,384,880,837,226,72,79,6,17525,92,350,26,38.0,15845,13850,1929,572,36,135,606,808,146,56,50,1,11772,66,287,2019-2020
Valencia,28,38.0,18258,16284,1874,591,46,238,677,688,169,54,70,8,14490,100,257,28,38.0,19444,17692,1695,464,34,206,826,697,178,58,71,1,15727,57,267,2019-2020
Valladolid,30,38.0,15457,13389,1987,574,24,214,645,806,161,62,56,0,11187,81,293,30,38.0,19675,17690,1939,526,39,186,781,865,195,65,68,1,15445,46,356,2019-2020
Villarreal,25,38.0,20045,18098,1876,510,42,267,619,804,148,53,57,0,16218,71,290,25,38.0,18041,15998,1953,514,27,211,838,811,226,86,89,4,13964,90,301,2019-2020
Alavés,26,38.0,14061,12027,1976,589,21,121,729,818,145,59,54,2,9631,58,342,26,38.0,19419,17243,2085,571,53,258,800,883,231,85,109,4,14913,91,386,2018-2019
Athletic Club,27,38.0,17584,15587,1923,577,49,185,728,847,153,56,72,3,13195,74,369,27,38.0,17674,15586,2009,614,35,193,654,880,139,65,49,4,13325,79,385,2018-2019
Atlético Madrid,29,38.0,19014,17148,1786,470,77,144,590,730,217,83,96,0,14943,80,354,29,38.0,19648,17811,1816,525,23,280,692,749,172,65,59,6,15714,21,351,2018-2019
Barcelona,30,38.0,26691,24835,1754,575,148,219,394,676,205,68,33,2,23263,102,354,30,38.0,14681,13006,1607,487,40,177,578,532,158,64,56,4,11210,68,328,2018-2019
Betis,25,38.0,22871,20943,1849,640,50,234,590,658,186,58,57,17,19411,79,361,25,38.0,14082,12296,1685,472,41,152,594,685,187,64,80,5,10604,101,373,2018-2019
Celta Vigo,28,38.0,18808,16862,1856,548,35,191,659,697,163,70,58,3,14955,90,314,28,38.0,17612,15687,1847,521,64,202,745,786,186,65,71,10,13631,78,367,2018-2019
Eibar,25,38.0,18501,16274,2135,547,20,287,1057,1042,223,36,152,4,12976,92,463,25,38.0,15956,13690,2104,587,61,175,518,892,148,56,42,11,10922,162,361,2018-2019
Espanyol,25,38.0,17740,15748,1908,579,70,174,544,734,175,45,59,14,13855,84,381,25,38.0,18279,16297,1904,579,29,259,822,754,198,80,85,2,14249,78,338,2018-2019
Getafe,26,38.0,13021,10784,2135,621,39,264,638,1001,158,34,64,8,8108,102,408,26,38.0,19627,17352,2158,715,52,255,594,908,159,54,65,6,14702,117,404,2018-2019
Girona,26,38.0,17212,15241,1911,589,39,206,743,767,136,60,59,0,13136,60,314,26,38.0,18884,16848,1962,562,66,169,747,838,207,70,70,4,14706,74,370,2018-2019
Huesca,30,38.0,14891,12867,1930,538,33,161,771,811,168,86,55,5,10586,94,344,30,38.0,18822,16727,1986,627,60,196,692,773,211,66,88,16,14546,109,385,2018-2019
Leganés,29,38.0,15210,13274,1861,458,19,174,744,876,139,40,81,2,10733,75,307,29,38.0,20639,18518,2063,585,40,282,737,912,167,64,55,5,16214,58,314,2018-2019
Levante,26,38.0,14765,12715,1965,537,36,183,674,730,201,117,53,4,10824,85,368,26,38.0,17889,15914,1903,548,49,162,747,759,202,63,84,8,13968,72,369,2018-2019
Rayo Vallecano,29,38.0,16307,14257,1979,588,39,207,783,794,186,84,73,3,12469,71,362,29,38.0,17602,15412,2050,590,78,205,722,891,183,68,61,2,13416,140,393,2018-2019
Real Madrid,27,38.0,24198,22147,1939,625,57,410,762,754,221,49,93,1,20625,112,390,27,38.0,16019,14173,1755,525,46,154,533,668,152,54,62,7,12483,91,356,2018-2019
Real Sociedad,30,38.0,18547,16447,2008,604,61,199,627,848,178,78,71,5,14565,92,381,30,38.0,17566,15585,1908,554,32,219,743,800,183,62,62,4,13338,73,399,2018-2019
Sevilla,27,38.0,18806,16760,1935,559,50,219,812,775,223,68,77,18,14555,111,427,27,38.0,17254,15174,1987,608,53,186,662,777,176,58,83,7,13190,93,319,2018-2019
Valencia,25,38.0,17639,15690,1874,579,47,218,715,722,196,61,86,14,13679,75,372,25,38.0,20420,18540,1810,496,34,184,781,740,170,66,64,7,16386,70,384,2018-2019
Valladolid,28,38.0,16279,14209,1974,592,21,204,804,745,201,69,70,6,12015,96,364,28,38.0,18620,16614,1941,582,51,212,801,777,199,57,90,1,14608,65,405,2018-2019
Villarreal,26,38.0,17648,15718,1835,509,48,183,618,765,168,75,64,4,13758,95,343,26,38.0,19100,17060,1953,576,52,263,820,786,214,70,92,2,15157,87,331,2018-2019
Alavés,30,38.0,13876,11799,1969,566,37,133,558,817,138,61,55,6,9696,108,301,30,38.0,20975,18847,2069,661,37,282,805,841,235,68,117,7,16759,59,348,2017-2018
Athletic Club,26,38.0,17614,15565,1945,576,43,178,816,822,189,84,94,2,13195,104,384,26,38.0,18019,15914,2009,586,32,210,644,849,189,70,67,3,13708,96,385,2017-2018
Atlético Madrid,26,38.0,18580,16668,1805,504,62,134,524,785,167,43,88,4,14484,107,366,26,38.0,20707,18799,1884,606,21,276,694,762,163,66,45,5,16583,24,418,2017-2018
Barcelona,25,38.0,25740,23730,1876,573,113,227,409,750,215,81,66,1,22147,134,384,25,38.0,15296,13580,1617,486,70,219,534,561,155,49,69,2,11775,99,311,2017-2018
Betis,29,38.0,21622,19743,1817,612,53,232,534,656,139,61,33,5,17953,62,304,29,38.0,16312,14311,1870,493,43,176,754,814,222,73,92,6,12416,131,346,2017-2018
Celta Vigo,23,38.0,21071,19136,1843,596,45,215,583,718,153,48,34,1,16981,92,323,23,38.0,16893,14993,1827,492,55,199,669,760,194,79,65,5,12810,73,292,2017-2018
Eibar,27,38.0,17961,15706,2171,590,17,323,1055,1025,229,60,149,2,12725,84,396,27,38.0,16795,14423,2216,546,64,177,473,1061,140,50,40,7,11768,156,350,2017-2018
Espanyol,25,38.0,17192,15114,2002,602,34,179,720,832,160,64,87,0,12753,76,378,25,38.0,19826,17806,1940,558,46,236,715,839,196,71,78,2,15453,80,323,2017-2018
Getafe,32,38.0,13193,10994,2091,590,53,243,585,917,181,42,73,2,8531,108,340,32,38.0,20094,17884,2101,742,54,226,694,841,180,62,74,5,15456,109,353,2017-2018
Girona,25,38.0,16037,14020,1937,603,31,339,828,767,176,36,66,20,11843,80,298,25,38.0,18292,16166,1997,647,99,127,614,833,170,62,66,0,14053,129,306,2017-2018
La Coruña,32,38.0,16975,14924,1957,516,43,222,747,796,203,91,54,1,12784,94,323,32,38.0,19584,17453,2048,560,37,255,756,880,220,74,106,3,15475,83,362,2017-2018
Las Palmas,36,38.0,19788,17574,2133,748,49,197,581,777,175,77,59,0,15824,81,320,36,38.0,16479,14486,1879,532,73,154,666,778,200,75,80,3,12571,114,317,2017-2018
Leganés,28,38.0,14887,12781,2009,592,29,162,690,891,152,60,75,1,10383,97,351,28,38.0,20217,18099,2028,652,48,247,638,812,176,44,71,4,15687,90,340,2017-2018
Levante,33,38.0,14768,12732,1966,540,44,161,726,818,182,61,79,9,10715,70,360,33,38.0,20115,18022,1980,584,51,240,741,797,194,77,75,4,16099,113,338,2017-2018
Málaga,37,38.0,15769,13674,2006,580,32,179,742,861,153,63,67,2,11424,89,347,37,38.0,20218,17998,2083,663,49,223,695,887,176,64,68,0,15890,137,333,2017-2018
Real Madrid,24,38.0,24496,22486,1895,563,77,395,904,729,279,62,110,2,20954,115,387,24,38.0,16245,14428,1741,518,37,174,531,583,134,49,59,2,12894,76,327,2017-2018
Real Sociedad,27,38.0,20838,18744,2003,604,45,216,782,823,233,100,93,0,16973,91,385,27,38.0,16097,14169,1839,475,55,193,596,751,166,69,62,3,12215,89,343,2017-2018
Sevilla,31,38.0,20571,18451,1983,568,62,147,657,809,221,97,80,1,16366,137,401,31,38.0,17336,15253,2009,655,29,177,684,750,186,70,71,4,13236,74,382,2017-2018
Valencia,25,38.0,18004,16054,1867,596,49,193,605,682,202,60,88,6,14289,83,311,25,38.0,19424,17355,1987,554,34,243,787,830,206,80,82,3,15392,82,398,2017-2018
Villarreal,32,38.0,18797,16834,1852,552,57,183,517,707,179,66,38,5,14995,111,319,32,38.0,18855,16743,2003,661,41,224,873,753,224,65,101,2,14775,109,406,2017-2018
Athletic Club,26,30.0,14972,13326,1595,353,6,60,515,778,145,98,26,3,11822,51,277,26,30.0,13538,12075,1417,325,8,64,522,697,118,62,37,1,10347,46,297,2024-2025-femenino
Atlético Madrid,23,30.0,16594,15074,1455,314,13,27,541,707,159,74,54,6,13559,65,284,23,30.0,11713,10211,1451,382,2,55,455,583,127,59,34,8,8644,51,291,2024-2025-femenino
Barcelona,26,30.0,22664,21305,1287,235,28,45,878,634,301,134,51,8,19651,72,302,26,30.0,7865,6492,1313,268,5,38,113,387,33,19,10,0,5159,60,208,2024-2025-femenino
Dep La Coruña,27,30.0,11499,9959,1504,360,6,47,297,665,85,36,25,2,8316,36,248,27,30.0,14397,12863,1459,294,14,52,760,723,192,111,35,10,10950,75,324,2024-2025-femenino
Eibar,26,30.0,8728,7086,1589,370,2,36,365,734,77,22,34,5,4956,53,241,26,30.0,17207,15497,1616,311,16,49,597,870,178,78,56,3,13183,94,329,2024-2025-femenino
Espanyol,26,30.0,8382,6800,1522,325,4,20,431,735,107,66,21,1,5124,60,286,26,30.0,15813,14150,1608,385,9,51,481,789,133,81,27,1,12345,55,309,2024-2025-femenino
Granada,24,30.0,13827,12241,1509,321,6,67,678,742,146,93,43,1,10208,77,288,24,30.0,12186,10596,1544,365,17,57,422,716,113,67,26,5,8910,46,250,2024-2025-femenino
Levante,25,30.0,13927,12292,1580,341,8,40,443,757,128,70,37,6,10610,55,320,25,30.0,13553,11940,1572,326,10,43,533,794,154,98,30,1,10305,41,311,2024-2025-femenino
Levante Planas,27,30.0,13597,12004,1532,387,11,64,368,743,122,93,12,2,10244,61,270,27,30.0,13449,11848,1503,379,8,31,441,702,111,69,25,0,10044,98,268,2024-2025-femenino
Madrid CFF,26,30.0,12849,11138,1647,328,9,64,442,751,126,65,38,4,9332,64,319,26,30.0,13473,11786,1644,308,4,33,469,888,152,99,26,4,10086,43,268,2024-2025-femenino
Real Betis,26,30.0,11853,10137,1664,457,12,58,353,720,85,52,10,1,8460,52,319,26,30.0,13830,12214,1499,323,19,54,608,756,167,85,34,8,10529,117,287,2024-2025-femenino
Real Madrid,30,30.0,16851,15315,1458,324,22,90,634,694,182,113,29,0,13859,78,279,30,30.0,11191,9670,1459,313,9,35,348,592,99,53,10,3,8146,62,222,2024-2025-femenino
Real Sociedad,26,30.0,15838,14201,1542,327,12,37,486,751,164,73,54,10,12654,95,318,26,30.0,11473,9927,1502,372,12,48,409,677,106,60,33,1,8461,44,258,2024-2025-femenino
Sevilla,22,30.0,11070,9534,1481,355,11,33,381,689,78,66,5,0,7661,55,255,22,30.0,14945,13323,1545,334,13,63,537,784,162,86,43,3,11451,77,304,2024-2025-femenino
UDG Tenerife,28,30.0,11368,9750,1522,316,14,35,479,747,108,65,26,1,7808,96,236,28,30.0,14495,12825,1639,434,6,56,514,780,132,82,26,2,10917,31,293,2024-2025-femenino
Valencia,30,30.0,10188,8633,1498,376,6,59,498,669,112,73,25,2,6881,57,281,30,30.0,15079,13378,1614,370,18,53,580,778,148,84,38,2,11668,87,304,2024-2025-femenino
