Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Union Berlin,28,34.0,9960,13705,72.7,178823,74942,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,25,23.5,31.6,1.5,292,792,239,75,1049,28,34.0,16465,20253,81.3,291665,98135,6966,7921,87.9,7697,8708,88.4,1456,2714,53.6,36,32.4,41.9,3.6,295,1264,306,88,1491,2024-2025 Bundesliga
Werder Bremen,23,34.0,13999,17550,79.8,250040,91419,5827,6663,87.5,6247,7263,86.0,1455,2530,57.5,38,37.4,44.0,0.6,327,954,335,91,1351,23,34.0,14300,17808,80.3,246128,90286,6723,7496,89.7,6054,7014,86.3,1217,2399,50.7,39,36.3,42.7,2.7,353,1067,274,59,1336,2024-2025 Bundesliga
Wolfsburg,27,34.0,11590,15088,76.8,219100,82094,4735,5598,84.6,5178,6041,85.7,1421,2665,53.3,38,33.0,36.5,5.0,316,999,247,53,1205,27,34.0,14240,17731,80.3,245839,92107,6618,7474,88.5,5949,6888,86.4,1290,2363,54.6,43,40.5,39.7,2.5,367,1098,285,81,1348,2024-2025 Bundesliga
Alavés,29,38.0,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,29,38.0,14251,18138,78.6,260653,94982,6140,6970,88.1,6230,7338,84.9,1563,2925,53.4,28,33.3,32.3,-5.3,306,1034,245,97,1323,2024-2025
Athletic Club,31,38.0,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579,31,38.0,14953,18891,79.2,269493,95206,6402,7284,87.9,6730,7799,86.3,1481,2854,51.9,11,22.9,21.5,-11.9,242,911,205,69,1177,2024-2025
Atlético Madrid,24,38.0,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,24,38.0,16246,19538,83.2,291315,95937,7097,7859,90.3,7307,8119,90.0,1542,2749,56.1,17,23.9,29.8,-6.9,286,1462,282,84,1543,2024-2025
Barcelona,28,38.0,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,28,38.0,8511,11890,71.6,161116,69199,3752,4435,84.6,3313,4086,81.1,1208,2491,48.5,31,32.6,21.8,-1.6,222,595,166,59,780,2024-2025
Betis,36,38.0,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,36,38.0,13910,17627,78.9,246914,92271,6224,7089,87.8,6031,7022,85.9,1341,2578,52.0,32,38.4,32.4,-6.4,309,1110,251,69,1411,2024-2025
Celta Vigo,30,38.0,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659,30,38.0,14946,18445,81.0,266539,89590,6617,7382,89.6,6584,7411,88.8,1433,2809,51.0,45,33.3,31.9,11.7,308,1103,243,85,1222,2024-2025
Espanyol,27,38.0,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000,27,38.0,17987,21580,83.4,311271,106771,8341,9165,91.0,7778,8804,88.3,1534,2689,57.0,39,39.6,41.3,-0.6,431,1501,381,103,1821,2024-2025
Getafe,30,38.0,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981,30,38.0,13966,18284,76.4,250679,92537,6043,6962,86.8,6205,7399,83.9,1371,2889,47.5,21,31.3,28.0,-10.3,259,997,227,66,1284,2024-2025
Girona,30,38.0,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691,30,38.0,13798,16818,82.0,243267,83228,6108,6712,91.0,6052,6873,88.1,1281,2411,53.1,46,36.5,33.6,9.5,348,1070,254,74,1183,2024-2025
Las Palmas,34,38.0,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210,34,38.0,14104,17854,79.0,247245,90659,6398,7238,88.4,6069,7135,85.1,1278,2493,51.3,43,47.5,42.7,-4.5,387,1190,306,96,1470,2024-2025
Leganés,26,38.0,11207,14840,75.5,201808,76373,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,27,23.3,21.8,3.7,241,796,187,45,1030,26,38.0,16312,20203,80.7,281718,102752,7566,8514,88.9,6971,8047,86.6,1403,2710,51.8,34,40.9,42.8,-6.9,426,1363,325,109,1675,2024-2025
Mallorca,28,38.0,12613,16224,77.7,232365,90368,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,24,26.5,28.3,-2.5,282,973,239,112,1184,28,38.0,14980,18666,80.3,263472,92330,6786,7634,88.9,6376,7462,85.4,1438,2695,53.4,31,36.0,38.6,-5.0,423,1233,330,94,1587,2024-2025
Osasuna,25,38.0,12184,16028,76.0,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221,25,38.0,15229,18864,80.7,268789,97445,6895,7684,89.7,6578,7586,86.7,1433,2702,53.0,38,40.6,43.2,-2.6,349,1251,349,83,1546,2024-2025
Rayo Vallecano,26,38.0,13936,17861,78.0,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,27,36.2,32.2,-9.2,374,1081,242,85,1362,26,38.0,12793,16724,76.5,231656,91987,5660,6481,87.3,5397,6418,84.1,1412,2884,49.0,33,33.0,33.7,0.0,346,1064,274,81,1326,2024-2025
Real Madrid,30,38.0,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967,30,38.0,12981,15895,81.7,221381,81881,6427,7066,91.0,4989,5720,87.2,1218,2278,53.5,27,32.0,27.3,-5.0,309,1034,223,56,1168,2024-2025
Real Sociedad,31,38.0,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341,31,38.0,12635,16415,77.0,229468,84576,5620,6418,87.6,5326,6305,84.5,1400,2797,50.1,32,29.0,31.9,3.0,321,1061,236,68,1141,2024-2025
Sevilla,35,38.0,14432,18057,79.9,252909,88471,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,32,30.8,24.4,1.2,357,1072,210,60,1193,35,38.0,14301,17994,79.5,254797,88615,6318,7161,88.2,6361,7373,86.3,1337,2634,50.8,37,34.0,31.7,3.0,309,1122,235,72,1262,2024-2025
Valencia,32,38.0,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340,32,38.0,15307,18992,80.6,273196,96683,6744,7559,89.2,6698,7661,87.4,1513,2779,54.4,38,37.2,37.8,0.8,321,1184,291,92,1419,2024-2025
Valladolid,38,38.0,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991,38,38.0,17117,20501,83.5,295213,99282,7740,8497,91.1,7685,8589,89.5,1328,2457,54.0,62,46.8,44.4,15.2,449,1475,381,103,1753,2024-2025
Villarreal,31,38.0,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48.0,1.3,427,1146,371,102,1522,31,38.0,16617,19916,83.4,296022,99699,7409,8192,90.4,7220,8075,89.4,1638,2748,59.6,28,28.5,33.8,-0.5,357,1325,295,94,1597,2024-2025
Alavés,30,38.0,10091,14116,71.5,191648,83394,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260,30,38.0,16352,20256,80.7,284862,101637,7545,8460,89.2,6916,7981,86.7,1491,2870,52.0,29,29.8,34.6,-0.8,346,1223,282,76,1502,2023-2024
Almería,35,38.0,12774,16540,77.2,228494,85956,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097,35,38.0,15460,19368,79.8,269733,101064,7325,8212,89.2,6187,7240,85.5,1518,2848,53.3,56,45.3,45.1,10.7,467,1293,355,102,1644,2023-2024
Athletic Club,27,38.0,14509,18724,77.5,256772,96209,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37.0,40.3,4.0,355,1205,343,113,1610,27,38.0,14887,19081,78.0,268488,97964,6516,7486,87.0,6412,7514,85.3,1562,3003,52.0,27,32.0,29.0,-5.0,301,999,254,78,1298,2023-2024
Atlético Madrid,27,38.0,17064,20709,82.4,282535,101502,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44.0,0.6,359,1226,380,68,1597,27,38.0,16440,19995,82.2,290195,98965,7460,8271,90.2,7083,7986,88.7,1555,2770,56.1,33,29.7,32.7,3.3,342,1392,303,79,1544,2023-2024
Barcelona,29,38.0,21506,24761,86.9,359810,114447,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925,29,38.0,10455,13768,75.9,186415,77373,4978,5702,87.3,3966,4699,84.4,1202,2489,48.3,35,30.9,30.0,4.1,316,806,254,79,992,2023-2024
Betis,35,38.0,15310,18979,80.7,256941,94528,7398,8260,89.6,5944,6913,86.0,1383,2561,54.0,31,32.7,33.8,-1.7,368,1037,327,53,1441,35,38.0,15171,18933,80.1,260627,96763,7430,8311,89.4,6063,6998,86.6,1368,2619,52.2,23,32.6,32.7,-9.6,314,1142,277,88,1457,2023-2024
Cádiz,34,38.0,10763,14990,71.8,202974,86219,4837,5694,84.9,4144,5163,80.3,1455,3198,45.5,17,25.2,26.3,-8.2,292,899,219,106,1017,34,38.0,15783,19905,79.3,271822,103062,7651,8676,88.2,6204,7335,84.6,1515,2819,53.7,37,40.2,38.1,-3.2,375,1375,310,92,1679,2023-2024
Celta Vigo,31,38.0,13890,17776,78.1,235944,93057,6703,7631,87.8,5538,6545,84.6,1223,2495,49.0,35,38.2,39.1,-3.2,367,1129,293,71,1345,31,38.0,16975,21005,80.8,295825,102419,7874,8770,89.8,7062,8158,86.6,1598,2993,53.4,32,35.9,37.3,-3.9,355,1256,297,95,1535,2023-2024
Getafe,33,38.0,10713,15193,70.5,207208,83225,4641,5528,84.0,4142,5344,77.5,1625,3436,47.3,27,27.9,27.4,-0.9,324,1037,220,103,1141,33,38.0,14502,18849,76.9,251452,97400,6843,7786,87.9,5798,6956,83.4,1413,2993,47.2,37,38.0,34.2,-1.0,341,1051,276,71,1325,2023-2024
Girona,25,38.0,18793,21914,85.8,318093,108506,8986,9734,92.3,7878,8692,90.6,1460,2446,59.7,64,54.0,52.4,10.0,377,1431,362,88,1685,25,38.0,13335,16590,80.4,237377,89769,6162,6892,89.4,5439,6294,86.4,1405,2570,54.7,30,37.7,38.0,-7.7,374,1074,310,95,1277,2023-2024
Granada,40,38.0,12127,15976,75.9,225286,88195,5270,6031,87.4,5127,6099,84.1,1458,2965,49.2,27,31.1,30.4,-4.1,283,834,263,94,1044,40,38.0,15485,19420,79.7,273295,100227,7146,7984,89.5,6433,7443,86.4,1530,2949,51.9,54,43.8,39.8,10.2,355,1276,317,82,1490,2023-2024
Las Palmas,29,38.0,19105,22882,83.5,298427,110392,10201,11174,91.3,7170,8097,88.6,1145,2312,49.5,23,23.3,28.2,-0.3,295,1295,271,54,1596,29,38.0,11893,15778,75.4,213442,85461,5555,6417,86.6,4659,5572,83.6,1355,2736,49.5,33,41.8,36.0,-8.8,327,1019,240,80,1207,2023-2024
Mallorca,25,38.0,11476,15645,73.4,218346,89351,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174,25,38.0,15384,19315,79.6,260780,94062,7559,8492,89.0,5999,7074,84.8,1408,2781,50.6,29,28.5,32.9,0.5,348,1230,277,78,1399,2023-2024
Osasuna,29,38.0,12874,17335,74.3,243978,96863,5474,6420,85.3,5487,6696,81.9,1666,3277,50.8,32,28.5,31.6,3.5,301,1128,263,104,1322,29,38.0,14977,19141,78.2,259645,97973,7066,7947,88.9,6054,7238,83.6,1442,2865,50.3,44,38.3,36.0,5.7,315,1147,288,89,1427,2023-2024
Rayo Vallecano,26,38.0,13282,17459,76.1,240192,94205,5918,6783,87.2,5584,6657,83.9,1436,3063,46.9,12,24.6,25.3,-12.6,314,1082,255,81,1335,26,38.0,13590,17768,76.5,238089,96172,6551,7515,87.2,5230,6299,83.0,1406,2883,48.8,36,36.3,34.7,-0.3,354,1043,292,77,1371,2023-2024
Real Madrid,27,38.0,21794,24691,88.3,349864,112682,11641,12391,93.9,7949,8734,91.0,1624,2474,65.6,66,52.5,50.5,13.5,476,1701,391,59,1935,27,38.0,14072,17114,82.2,244643,88878,6723,7390,91.0,5703,6439,88.6,1325,2385,55.6,17,26.4,28.4,-9.4,299,995,259,92,1261,2023-2024
Real Sociedad,31,38.0,15263,19249,79.3,276751,93632,6489,7461,87.0,6923,8022,86.3,1553,2800,55.5,36,30.7,32.9,5.3,320,1133,246,63,1414,31,38.0,11674,15616,74.8,211049,80731,5319,6162,86.3,4658,5623,82.8,1358,2891,47.0,24,24.6,26.7,-0.6,263,787,207,60,941,2023-2024
Sevilla,35,38.0,14628,18599,78.6,267530,97170,6501,7367,88.2,6128,7177,85.4,1667,3111,53.6,30,31.7,32.7,-1.7,363,1207,286,134,1416,35,38.0,14795,18653,79.3,260954,97812,6814,7694,88.6,6091,7147,85.2,1505,2803,53.7,40,42.0,36.5,-2.0,382,1173,293,97,1483,2023-2024
Valencia,29,38.0,12233,16255,75.3,217671,80185,5491,6436,85.3,5177,6140,84.3,1226,2710,45.2,24,27.0,24.2,-3.0,267,886,218,72,1162,29,38.0,16672,20730,80.4,302306,108756,7313,8278,88.3,7237,8324,86.9,1754,3119,56.2,31,32.8,34.4,-1.8,299,1382,318,93,1587,2023-2024
Villarreal,32,38.0,15349,18637,82.4,278006,102363,6662,7409,89.9,6931,7828,88.5,1525,2599,58.7,47,40.5,40.4,6.5,365,1160,339,88,1558,32,38.0,15642,19145,81.7,275471,95593,7263,8043,90.3,6475,7386,87.7,1534,2794,54.9,48,40.6,44.6,7.4,408,1214,392,125,1655,2023-2024
Almería,29,38.0,12151,15855,76.6,225475,89276,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,0.5,316,846,218,81,1090,29,38.0,15420,19392,79.5,271389,96958,7336,8173,89.8,6009,7055,85.2,1644,2972,55.3,49,49.5,49.2,-0.5,423,1406,370,91,1707,2022-2023
Athletic Club,26,38.0,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816,26,38.0,13537,17573,77.0,245545,92725,6176,7079,87.2,5335,6384,83.6,1644,3105,52.9,28,26.9,27.7,1.1,286,913,253,70,1212,2022-2023
Atlético Madrid,27,38.0,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.0,40.0,3.0,418,1200,335,68,1571,27,38.0,16384,20021,81.8,301152,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,22,31.3,31.5,-9.3,331,1304,267,93,1634,2022-2023
Barcelona,29,38.0,21298,24733,86.1,364375,115139,10267,11175,91.9,8599,9543,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,482,104,2182,29,38.0,10316,13758,75.0,190049,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,10,23.0,21.6,-13.0,244,747,198,61,955,2022-2023
Betis,30,38.0,14678,18249,80.4,245275,92460,7288,8070,90.3,5334,6273,85.0,1432,2667,53.7,26,34.6,31.7,-8.6,310,988,270,54,1272,30,38.0,14220,17964,79.2,252008,95359,6584,7458,88.3,5828,6839,85.2,1478,2672,55.3,28,37.0,35.7,-9.0,326,1182,302,86,1571,2022-2023
Cádiz,38,38.0,9940,13952,71.2,190101,78677,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.7,24.7,-7.7,269,830,192,93,969,38,38.0,15630,19569,79.9,277547,103054,7208,8097,89.0,6172,7272,84.9,1772,3099,57.2,32,38.4,40.0,-6.4,393,1364,339,96,1739,2022-2023
Celta Vigo,26,38.0,14700,18499,79.5,267004,91075,6259,7148,87.6,6536,7569,86.4,1565,2844,55.0,31,30.8,31.6,0.2,353,1143,274,77,1403,26,38.0,14618,18416,79.4,264587,95274,6485,7336,88.4,6036,7073,85.3,1704,2985,57.1,35,30.5,29.2,4.5,279,1132,218,89,1297,2022-2023
Elche,32,38.0,12051,15758,76.5,218542,87460,5427,6202,87.5,4762,5677,83.9,1477,2793,52.9,21,27.1,26.2,-6.1,313,941,211,82,1197,32,38.0,15598,19238,81.1,278092,100384,7007,7840,89.4,6508,7501,86.8,1682,2859,58.8,44,48.7,43.7,-4.7,416,1340,325,92,1615,2022-2023
Espanyol,33,38.0,10827,14698,73.7,208293,86401,4483,5312,84.4,4607,5640,81.7,1483,2971,49.9,31,35.0,30.2,-4.0,319,906,233,83,1146,33,38.0,15807,19603,80.6,278055,101521,7448,8318,89.5,6120,7171,85.3,1742,3004,58.0,47,44.6,40.9,2.4,426,1297,324,92,1634,2022-2023
Getafe,25,38.0,9690,14126,68.6,189556,83925,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24.0,-1.5,248,844,214,94,1003,25,38.0,17070,21494,79.4,307288,104475,7505,8488,88.4,7300,8503,85.9,1833,3374,54.3,29,31.0,32.4,-2.0,360,1296,254,86,1519,2022-2023
Girona,29,38.0,15146,18604,81.4,264810,95707,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.5,35.4,3.5,366,1086,265,91,1378,29,38.0,14391,17921,80.3,258164,90467,6386,7118,89.7,6021,6982,86.2,1573,2822,55.7,39,38.6,38.5,0.4,377,1220,296,95,1439,2022-2023
Mallorca,31,38.0,10451,14261,73.3,199896,84037,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,0.5,252,815,182,69,948,31,38.0,16934,20763,81.6,294260,97924,7875,8733,90.2,7059,8172,86.4,1588,2872,55.3,31,31.8,35.9,-0.8,378,1539,332,115,1706,2022-2023
Osasuna,26,38.0,12725,16835,75.6,242236,95597,5565,6377,87.3,5130,6255,82.0,1759,3323,52.9,30,28.4,31.7,1.6,322,1140,271,114,1356,26,38.0,14139,18199,77.7,256353,94725,6318,7230,87.4,5956,7018,84.9,1573,2988,52.6,29,34.8,34.3,-5.8,326,1049,277,77,1371,2022-2023
Rayo Vallecano,28,38.0,13497,17666,76.4,251321,91899,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30.0,29.7,-1.0,386,1247,269,102,1390,28,38.0,12926,17027,75.9,231723,93838,6099,6948,87.8,4988,6083,82.0,1497,2986,50.1,34,36.8,30.9,-2.8,330,963,252,70,1231,2022-2023
Real Madrid,26,38.0,22082,25012,88.3,357586,113878,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017,26,38.0,13004,15986,81.3,225607,85520,6326,6960,90.9,4976,5716,87.1,1292,2373,54.4,21,27.8,26.3,-6.8,317,1013,248,63,1189,2022-2023
Real Sociedad,30,38.0,15324,19134,80.1,269422,96159,6955,7910,87.9,6451,7502,86.0,1505,2659,56.6,36,39.7,36.4,-3.7,346,1145,290,65,1483,30,38.0,12130,16093,75.4,216970,81534,5571,6377,87.4,4694,5669,82.8,1456,3002,48.5,26,24.8,26.4,1.2,300,873,222,78,1025,2022-2023
Sevilla,35,38.0,15379,19193,80.1,273953,95369,7106,7918,89.7,6324,7354,86.0,1599,2958,54.1,31,32.0,34.0,-1.0,341,1230,302,95,1513,35,38.0,13660,17319,78.9,246669,89019,6107,6903,88.5,5592,6545,85.4,1572,2903,54.2,40,42.0,34.1,-2.0,397,1136,274,101,1275,2022-2023
Valencia,28,38.0,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,28,38.0,12580,16357,76.9,229406,88530,5588,6399,87.3,5099,6072,84.0,1540,2918,52.8,34,32.3,32.3,1.7,289,986,232,51,1225,2022-2023
Valladolid,36,38.0,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244,36,38.0,13635,17448,78.1,239805,96442,6612,7546,87.6,5113,6088,84.0,1511,2794,54.1,46,46.7,43.0,-0.7,455,1184,346,94,1486,2022-2023
Villarreal,32,38.0,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622,32,38.0,12047,15331,78.6,217557,84062,5567,6240,89.2,4683,5572,84.0,1447,2598,55.7,29,35.7,30.5,-6.7,343,969,278,84,1242,2022-2023
Alavés,33,38.0,9676,14175,68.3,191044,85739,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3,20,25.5,22.8,-5.5,260,835,199,84,984,33,38.0,15404,19908,77.4,272347,102045,7074,8103,87.3,5979,7189,83.2,1768,3310,53.4,48,42.0,47.0,6.0,384,1127,342,92,1568,2021-2022
Athletic Club,26,38.0,12947,17283,74.9,229197,91473,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8,34,37.5,36.0,-3.5,351,1056,306,82,1572,26,38.0,14696,18950,77.6,278283,100413,6260,7140,87.7,5962,7115,83.8,2048,3642,56.2,26,27.7,31.5,-1.7,332,1026,253,82,1379,2021-2022
Atlético Madrid,26,38.0,15076,19098,78.9,253140,88718,7378,8289,89.0,5269,6266,84.1,1640,3060,53.6,45,40.2,39.6,4.8,347,989,325,66,1463,26,38.0,14882,18803,79.1,269373,93187,6571,7450,88.2,6101,7135,85.5,1763,3155,55.9,28,20.8,21.6,7.2,250,1068,187,47,1320,2021-2022
Barcelona,38,38.0,21489,25006,85.9,359280,114923,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9,52,47.6,54.7,4.4,402,1698,390,99,2079,38,38.0,10460,13908,75.2,191240,80066,4733,5441,87.0,3959,4789,82.7,1381,2671,51.7,27,24.7,23.3,2.3,265,750,214,60,938,2021-2022
Betis,31,38.0,15702,19444,80.8,273534,99419,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1,45,37.7,35.1,7.3,395,1136,294,51,1518,31,38.0,13052,16934,77.1,232630,89082,5986,6800,88.0,5058,6097,83.0,1531,2849,53.7,29,30.2,31.0,-1.2,308,1011,253,79,1375,2021-2022
Cádiz,33,38.0,10136,14415,70.3,195586,77863,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1,21,24.6,28.9,-3.6,277,829,233,120,1080,33,38.0,16729,20783,80.5,292201,107898,7875,8901,88.5,6714,7838,85.7,1663,2923,56.9,31,30.4,35.0,0.6,357,1481,336,92,1805,2021-2022
Celta Vigo,25,38.0,16007,20591,77.7,286771,95793,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6,29,28.8,31.6,0.2,286,1105,285,84,1447,25,38.0,12362,16708,74.0,227784,91488,5369,6407,83.8,4961,6088,81.5,1613,3048,52.9,29,28.7,27.2,0.3,293,989,257,80,1251,2021-2022
Elche,28,38.0,12948,16836,76.9,237191,93098,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6,29,27.6,24.8,1.4,261,861,204,78,1102,28,38.0,14329,18212,78.7,256254,92494,6340,7186,88.2,5813,6829,85.1,1633,2988,54.7,41,41.7,38.2,-0.7,372,1095,327,109,1477,2021-2022
Espanyol,34,38.0,13360,16919,79.0,237866,88599,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4,25,25.8,24.8,-0.8,300,993,212,59,1212,34,38.0,15516,19314,80.3,275016,98608,7112,7983,89.1,6148,7212,85.2,1748,2957,59.1,39,36.7,43.5,2.3,367,1282,378,102,1705,2021-2022
Getafe,31,38.0,10278,14607,70.4,196813,82509,4550,5489,82.9,3938,5092,77.3,1516,3176,47.7,26,19.4,19.7,6.6,288,808,166,73,917,31,38.0,16725,21156,79.1,307501,104030,7102,8082,87.9,6938,8090,85.8,2111,3622,58.3,30,27.4,29.1,2.6,299,1096,270,78,1521,2021-2022
Granada,32,38.0,10582,14889,71.1,199289,81817,4550,5400,84.3,4234,5295,80.0,1460,3218,45.4,28,26.7,25.9,1.3,306,840,205,82,1047,32,38.0,14611,18856,77.5,263943,98808,6498,7472,87.0,5971,7050,84.7,1731,3199,54.1,46,44.6,41.8,1.4,426,1217,347,111,1611,2021-2022
Levante,31,38.0,12584,16422,76.6,226757,88940,5742,6544,87.7,4982,5929,84.0,1501,2917,51.5,34,31.7,25.8,2.3,318,968,254,63,1343,31,38.0,14699,18611,79.0,255582,93473,7006,7884,88.9,5539,6557,84.5,1615,3015,53.6,59,41.2,41.1,17.8,393,1056,300,69,1448,2021-2022
Mallorca,33,38.0,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,25.7,28.3,-2.7,303,806,235,64,1129,33,38.0,14388,18463,77.9,256615,94635,6448,7397,87.2,5850,6917,84.6,1606,3001,53.5,40,33.8,36.9,6.2,329,1078,316,107,1379,2021-2022
Osasuna,29,38.0,11904,16522,72.0,228055,96276,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,22.9,27.6,0.1,297,1099,298,124,1328,29,38.0,14630,19149,76.4,258592,91704,6586,7550,87.2,5894,7112,82.9,1602,3263,49.1,37,32.5,31.0,4.5,335,1016,271,70,1330,2021-2022
Rayo Vallecano,28,38.0,12747,16933,75.3,237761,93060,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,30.7,35.8,-2.7,359,1012,267,109,1312,28,38.0,12928,17259,74.9,235500,96786,5832,6766,86.2,5108,6181,82.6,1591,3174,50.1,33,34.7,33.7,-1.7,313,1058,267,63,1330,2021-2022
Real Madrid,31,38.0,21373,24517,87.2,355560,112655,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,50.7,55.1,8.3,526,1694,455,57,2078,31,38.0,13258,16452,80.6,234875,88823,6260,6951,90.1,5038,5817,86.6,1529,2706,56.5,20,32.2,33.4,-12.2,319,1027,246,77,1257,2021-2022
