Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Augsburg,29,26.8,44.3,34,374,3060,34.0,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.03,0.76,1.79,1.0,1.76,1.02,0.74,1.76,0.97,1.71,29,26.6,55.7,34,374,3060,34.0,49,31,80,44,5,5,50,3,48.9,45.0,35.0,80.0,604,1438,1.44,0.91,2.35,1.29,2.21,1.44,1.03,2.47,1.32,2.35,2024-2025 Bundesliga
Bayern Munich,29,27.7,67.9,34,374,3060,34.0,96,66,162,87,9,10,48,1,81.7,74.0,59.7,133.7,831,2138,2.82,1.94,4.76,2.56,4.5,2.4,1.76,4.16,2.18,3.93,29,26.5,32.1,34,374,3060,34.0,32,25,57,31,1,2,65,2,25.5,24.0,18.1,42.1,286,669,0.94,0.74,1.68,0.91,1.65,0.75,0.53,1.28,0.71,1.24,2024-2025 Bundesliga
Bochum,27,28.0,45.5,34,374,3060,34.0,32,23,55,31,1,3,71,2,41.8,39.3,30.0,69.4,378,1090,0.94,0.68,1.62,0.91,1.59,1.23,0.88,2.11,1.16,2.04,27,26.5,54.5,34,374,3060,34.0,68,52,120,65,3,6,44,4,63.2,58.2,49.1,107.3,599,1447,2.0,1.53,3.53,1.91,3.44,1.86,1.44,3.3,1.71,3.15,2024-2025 Bundesliga
Dortmund,28,26.6,58.9,34,374,3060,34.0,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563,2.03,1.65,3.68,1.88,3.53,1.8,1.39,3.19,1.66,3.06,28,26.7,41.1,34,374,3060,34.0,50,39,89,46,4,4,65,5,42.8,39.6,30.9,70.5,473,1058,1.47,1.15,2.62,1.35,2.5,1.26,0.91,2.17,1.17,2.07,2024-2025 Bundesliga
Eint Frankfurt,26,24.9,49.7,34,374,3060,34.0,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347,2.0,1.38,3.38,1.91,3.29,1.91,1.33,3.24,1.81,3.13,26,26.7,50.3,34,374,3060,34.0,44,28,72,43,1,3,58,3,48.0,45.7,35.6,81.3,547,1289,1.29,0.82,2.12,1.26,2.09,1.41,1.05,2.46,1.34,2.39,2024-2025 Bundesliga
Freiburg,26,27.1,48.7,34,374,3060,34.0,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129,1.35,1.03,2.38,1.35,2.38,1.3,0.9,2.2,1.21,2.11,26,26.5,51.3,34,374,3060,34.0,52,39,91,50,2,4,59,2,42.4,39.4,30.7,70.1,471,1182,1.53,1.15,2.68,1.47,2.62,1.25,0.9,2.15,1.16,2.06,2024-2025 Bundesliga
Gladbach,26,26.5,49.6,34,374,3060,34.0,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112,1.56,1.15,2.71,1.44,2.59,1.49,1.11,2.6,1.37,2.48,26,26.7,50.4,34,374,3060,34.0,55,34,89,48,7,8,46,1,63.4,57.0,45.2,102.2,607,1520,1.62,1.0,2.62,1.41,2.41,1.86,1.33,3.19,1.68,3.01,2024-2025 Bundesliga
Heidenheim,27,26.8,43.5,34,374,3060,34.0,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974,1.09,0.76,1.85,0.94,1.71,1.18,0.84,2.02,1.07,1.91,27,26.6,56.5,34,374,3060,34.0,64,50,114,58,6,6,78,2,57.6,53.0,43.1,96.1,643,1620,1.88,1.47,3.35,1.71,3.18,1.7,1.27,2.96,1.56,2.83,2024-2025 Bundesliga
Hoffenheim,35,26.5,48.7,34,374,3060,34.0,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73.0,481,1218,1.35,0.88,2.24,1.26,2.15,1.25,0.96,2.22,1.19,2.15,35,26.7,51.3,34,374,3060,34.0,65,51,116,62,3,6,48,3,55.8,51.1,41.4,92.5,529,1347,1.91,1.5,3.41,1.82,3.32,1.64,1.22,2.86,1.5,2.72,2024-2025 Bundesliga
Holstein Kiel,27,25.6,43.6,34,374,3060,34.0,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875,1.44,0.85,2.29,1.32,2.18,1.17,0.79,1.96,1.06,1.84,27,26.5,56.4,34,374,3060,34.0,77,52,129,71,6,7,74,2,61.0,55.6,44.5,100.1,549,1572,2.26,1.53,3.79,2.09,3.62,1.79,1.31,3.1,1.64,2.94,2024-2025 Bundesliga
Leverkusen,23,27.0,59.2,34,374,3060,34.0,70,53,123,67,3,6,62,1,56.9,52.0,41.9,93.9,696,1692,2.06,1.56,3.62,1.97,3.53,1.67,1.23,2.91,1.53,2.76,23,26.4,40.8,34,374,3060,34.0,39,25,64,35,4,4,68,1,36.2,33.1,22.8,55.9,403,984,1.15,0.74,1.88,1.03,1.76,1.07,0.67,1.74,0.97,1.64,2024-2025 Bundesliga
Mainz 05,25,27.4,50.4,34,374,3060,34.0,53,37,90,49,4,4,71,5,50.1,47.0,37.5,84.6,466,1286,1.56,1.09,2.65,1.44,2.53,1.47,1.1,2.58,1.38,2.49,25,26.5,49.6,34,374,3060,34.0,43,28,71,39,4,5,83,6,48.1,44.6,31.2,75.8,436,1123,1.26,0.82,2.09,1.15,1.97,1.42,0.92,2.33,1.31,2.23,2024-2025 Bundesliga
RB Leipzig,29,25.3,52.2,34,374,3060,34.0,51,36,87,48,3,4,68,5,46.6,43.4,35.6,79.0,516,1353,1.5,1.06,2.56,1.41,2.47,1.37,1.05,2.42,1.28,2.32,29,26.4,47.8,34,374,3060,34.0,48,35,83,46,2,3,73,1,53.3,51.0,38.8,89.8,530,1275,1.41,1.03,2.44,1.35,2.38,1.57,1.14,2.71,1.5,2.64,2024-2025 Bundesliga
St. Pauli,28,26.9,44.2,34,374,3060,34.0,26,22,48,25,1,2,53,4,35.3,33.7,26.3,60.0,418,1073,0.76,0.65,1.41,0.74,1.38,1.04,0.77,1.81,0.99,1.76,28,26.5,55.8,34,374,3060,34.0,40,30,70,39,1,5,75,1,45.4,41.5,35.0,76.4,484,1388,1.18,0.88,2.06,1.15,2.03,1.33,1.03,2.36,1.22,2.25,2024-2025 Bundesliga
Stuttgart,29,24.9,57.2,34,374,3060,34.0,61,45,106,59,2,6,72,5,62.3,57.7,45.3,103.0,545,1493,1.79,1.32,3.12,1.74,3.06,1.83,1.33,3.17,1.7,3.03,29,26.6,42.8,34,374,3060,34.0,52,34,86,50,2,3,96,7,46.9,44.5,33.8,78.3,443,1023,1.53,1.0,2.53,1.47,2.47,1.38,0.99,2.37,1.31,2.3,2024-2025 Bundesliga
Union Berlin,28,27.2,40.0,34,374,3060,34.0,36,25,61,33,3,3,72,1,37.0,34.7,23.5,58.2,390,1049,1.06,0.74,1.79,0.97,1.71,1.09,0.69,1.78,1.02,1.71,28,26.5,60.0,34,374,3060,34.0,49,36,85,47,2,6,57,2,47.8,43.0,32.4,75.4,595,1491,1.44,1.06,2.5,1.38,2.44,1.4,0.95,2.36,1.27,2.22,2024-2025 Bundesliga
Werder Bremen,23,27.5,50.0,34,374,3060,34.0,53,38,91,50,3,5,75,4,49.1,45.7,37.4,83.1,495,1351,1.56,1.12,2.68,1.47,2.59,1.45,1.1,2.54,1.34,2.44,23,26.3,50.1,34,374,3060,34.0,54,39,93,51,3,3,81,8,48.1,45.7,36.3,82.1,540,1336,1.59,1.15,2.74,1.5,2.65,1.41,1.07,2.48,1.35,2.41,2024-2025 Bundesliga
Wolfsburg,27,25.2,46.1,34,374,3060,34.0,53,38,91,49,4,5,75,3,47.5,43.4,33.0,76.4,489,1205,1.56,1.12,2.68,1.44,2.56,1.4,0.97,2.37,1.28,2.25,27,26.8,53.9,34,374,3060,34.0,53,43,96,51,2,3,67,2,52.5,50.1,40.5,90.6,549,1348,1.56,1.26,2.82,1.5,2.76,1.55,1.19,2.74,1.47,2.67,2024-2025 Bundesliga
