Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Aerial Duels Won%_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Aerial Duels Won%_against,Season
Alavés,30,38.0,109,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2,30,38.0,84,4,2,545,566,59,805,422,462,7,3,0,2052,602,608,49.8,2017-2018
Athletic Club,26,38.0,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0,26,38.0,106,8,6,513,509,96,644,422,449,6,8,2,2135,609,715,46.0,2017-2018
Atlético Madrid,26,38.0,96,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7,26,38.0,98,0,0,507,517,24,694,488,494,4,5,1,2187,539,554,49.3,2017-2018
Barcelona,25,38.0,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5,25,38.0,99,4,1,547,369,99,534,618,517,1,5,3,2055,286,343,45.5,2017-2018
Betis,29,38.0,91,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7,29,38.0,96,4,2,516,448,131,754,448,405,3,3,4,2061,453,447,50.3,2017-2018
Celta Vigo,23,38.0,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0,23,38.0,97,1,0,572,399,73,669,495,426,4,3,2,2086,524,545,49.0,2017-2018
Eibar,27,38.0,86,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2,27,38.0,78,6,4,470,456,156,473,510,435,3,3,1,2066,718,752,48.8,2017-2018
Espanyol,25,38.0,88,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5,25,38.0,113,3,2,555,495,80,715,433,443,4,3,3,2100,633,597,51.5,2017-2018
Getafe,32,38.0,134,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6,32,38.0,107,3,1,517,645,109,694,515,480,4,12,1,2160,730,541,57.4,2017-2018
Girona,25,38.0,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9,25,38.0,112,3,1,520,589,129,614,396,439,5,8,0,1948,597,643,48.1,2017-2018
La Coruña,32,38.0,100,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9,32,38.0,75,2,2,461,494,83,756,491,431,5,5,0,2085,584,558,51.1,2017-2018
Las Palmas,36,38.0,89,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7,36,38.0,103,7,5,694,460,114,666,506,514,5,8,0,2163,540,474,53.3,2017-2018
Leganés,28,38.0,105,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,51.0,28,38.0,82,4,4,526,568,90,638,432,474,5,3,2,2229,627,653,49.0,2017-2018
Levante,33,38.0,111,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6,33,38.0,93,6,4,466,527,113,741,454,522,6,5,1,2030,559,468,54.4,2017-2018
Málaga,37,38.0,101,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9,37,38.0,76,0,0,472,583,137,695,452,509,7,6,1,2107,739,602,55.1,2017-2018
Real Madrid,24,38.0,67,4,2,436,517,115,904,424,470,9,4,2,2087,406,369,52.4,24,38.0,97,3,1,531,421,76,531,486,418,3,10,3,1891,369,406,47.6,2017-2018
Real Sociedad,27,38.0,64,5,4,419,538,91,782,446,374,5,8,1,2038,498,467,51.6,27,38.0,94,1,1,556,391,89,596,489,510,5,5,2,1910,467,498,48.4,2017-2018
Sevilla,31,38.0,99,3,2,562,493,137,657,409,535,3,8,1,2129,582,504,53.6,31,38.0,80,3,3,527,537,74,684,467,471,6,5,1,2076,504,582,46.4,2017-2018
Valencia,25,38.0,107,5,4,518,548,83,605,459,492,7,5,0,2023,534,460,53.7,25,38.0,97,5,3,561,494,82,787,542,488,3,8,2,2033,460,534,46.3,2017-2018
Villarreal,32,38.0,117,6,4,598,458,111,517,427,466,5,8,0,2021,553,533,50.9,32,38.0,83,4,2,475,571,109,873,518,440,7,5,1,2047,533,553,49.1,2017-2018
