Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Goals GA_for,Goals PKA_for,Goals FK_for,Goals CK_for,Goals OG_for,Expected PSxG_for,Expected PSxG/SoT_for,Expected PSxG+/-_for,Expected /90_for,Launched Cmp_for,Launched Att_for,Launched Cmp%_for,Passes Att (GK)_for,Passes Thr_for,Passes Launch%_for,Passes AvgLen_for,Goal Kicks Att_for,Goal Kicks Launch%_for,Goal Kicks AvgLen_for,Crosses Opp_for,Crosses Stp_for,Crosses Stp%_for,Sweeper #OPA_for,Sweeper #OPA/90_for,Sweeper AvgDist_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Goals GA_against,Goals PKA_against,Goals FK_against,Goals CK_against,Goals OG_against,Expected PSxG_against,Expected PSxG/SoT_against,Expected PSxG+/-_against,Expected /90_against,Launched Cmp_against,Launched Att_against,Launched Cmp%_against,Passes Att (GK)_against,Passes Thr_against,Passes Launch%_against,Passes AvgLen_against,Goal Kicks Att_against,Goal Kicks Launch%_against,Goal Kicks AvgLen_against,Crosses Opp_against,Crosses Stp_against,Crosses Stp%_against,Sweeper #OPA_against,Sweeper #OPA/90_against,Sweeper AvgDist_against,Season
Osasuna,2,38.0,51,4,0,11,2,49.1,0.29,0.1,0.0,396,876,45.2,884,84,68.6,46.5,315,85.7,58.5,546,24,4.4,71,1.87,18.1,2,38.0,37,6,1,5,0,39.3,0.26,2.3,0.06,191,625,30.6,998,157,41.7,36.2,340,61.5,46.8,694,37,5.3,31,0.82,13.2,2021-2022
Rayo Vallecano,2,38.0,50,7,0,4,1,49.7,0.25,0.7,0.02,224,648,34.6,889,193,50.6,42.1,283,70.0,52.2,495,44,8.9,41,1.08,13.9,2,38.0,39,4,0,5,1,39.5,0.27,1.5,0.04,273,708,38.6,1007,166,47.1,38.8,337,69.4,51.4,645,29,4.5,39,1.03,14.8,2021-2022
Real Madrid,2,38.0,31,3,1,2,0,37.0,0.25,6.0,0.16,79,261,30.3,926,201,21.0,28.8,289,23.2,28.2,506,24,4.7,31,0.82,15.5,2,38.0,80,8,0,10,0,81.0,0.29,1.0,0.03,254,612,41.5,823,142,45.1,38.1,359,67.1,48.2,472,20,4.2,35,0.92,14.9,2021-2022
Real Sociedad,2,38.0,37,5,1,8,0,35.5,0.24,-1.5,-0.04,211,521,40.5,1094,139,34.1,32.9,269,55.0,44.0,522,21,4.0,51,1.34,16.4,2,38.0,40,9,2,5,0,47.5,0.25,7.5,0.2,229,682,33.6,1003,142,50.8,40.0,262,65.6,46.9,481,30,6.2,45,1.18,15.1,2021-2022
Sevilla,3,38.0,30,2,2,6,0,31.3,0.24,1.3,0.03,181,446,40.6,1051,145,29.0,29.1,277,50.9,40.6,503,32,6.4,36,0.95,13.7,3,38.0,53,2,1,11,2,41.1,0.27,-9.9,-0.26,254,699,36.3,914,147,50.1,40.0,324,74.4,50.9,626,29,4.6,44,1.16,13.7,2021-2022
Valencia,3,38.0,53,7,0,7,3,54.1,0.29,4.1,0.11,248,623,39.8,749,140,55.3,39.8,298,70.1,50.4,534,20,3.7,45,1.18,16.0,3,38.0,48,8,0,5,3,40.7,0.23,-4.3,-0.11,220,586,37.5,918,157,46.7,37.7,284,55.3,44.3,576,33,5.7,33,0.87,13.3,2021-2022
Villarreal,2,38.0,37,4,0,3,1,37.1,0.26,1.1,0.03,146,385,37.9,1232,199,23.1,28.0,281,35.9,35.3,583,25,4.3,66,1.74,16.8,2,38.0,63,5,0,10,1,57.5,0.31,-4.5,-0.12,201,618,32.5,898,134,49.8,40.3,277,61.7,46.4,442,29,6.6,53,1.39,15.6,2021-2022
Alavés,2,38.0,57,3,0,5,0,51.1,0.35,-5.9,-0.16,309,615,50.2,792,116,53.7,40.3,306,62.1,44.8,545,19,3.5,37,0.97,14.5,2,38.0,36,5,2,2,1,35.5,0.29,0.5,0.01,223,618,36.1,1010,154,45.0,37.5,240,68.3,50.7,496,16,3.2,51,1.34,17.8,2020-2021
Athletic Club,2,38.0,42,5,1,6,1,37.5,0.29,-3.5,-0.09,206,493,41.8,817,210,36.5,35.2,270,72.2,52.2,555,24,4.3,36,0.95,15.1,2,38.0,46,4,1,4,3,39.7,0.27,-3.3,-0.09,254,666,38.1,1016,160,44.3,37.9,306,70.6,50.8,609,16,2.6,42,1.11,15.3,2020-2021
Atlético Madrid,1,38.0,25,1,0,5,3,33.1,0.25,11.1,0.29,202,539,37.5,709,131,49.6,39.1,294,63.6,45.9,513,14,2.7,27,0.71,15.7,1,38.0,67,5,1,6,2,59.8,0.3,-5.2,-0.14,204,549,37.2,955,160,42.4,36.3,290,49.7,42.2,446,18,4.0,41,1.08,15.3,2020-2021
Barcelona,2,38.0,38,5,1,5,2,36.0,0.24,0.0,0.0,92,207,44.4,1068,193,14.8,24.8,215,22.8,29.3,369,19,5.1,40,1.05,13.9,2,38.0,85,4,3,4,5,77.8,0.31,-2.2,-0.06,225,586,38.4,862,137,46.8,37.9,314,58.3,45.7,355,18,5.1,32,0.84,12.3,2020-2021
Betis,2,38.0,50,8,1,4,3,46.9,0.28,-0.1,0.0,212,606,35.0,953,163,48.1,37.8,250,59.2,45.1,505,21,4.2,48,1.26,19.0,2,38.0,50,8,1,9,0,50.7,0.26,0.7,0.02,201,526,38.2,1047,146,37.7,35.0,265,49.4,40.8,453,16,3.5,36,0.95,16.0,2020-2021
Cádiz,3,38.0,58,9,2,4,1,53.8,0.3,-3.2,-0.09,396,998,39.7,846,72,78.7,54.1,349,95.1,65.0,606,33,5.4,26,0.68,27.0,3,38.0,36,4,0,5,3,35.2,0.32,2.2,0.06,146,351,41.6,790,166,30.4,31.2,232,47.8,40.9,549,26,4.7,49,1.29,15.9,2020-2021
Celta Vigo,2,38.0,57,7,2,4,1,49.7,0.32,-6.3,-0.17,194,607,32.0,1025,156,40.0,32.7,315,62.5,46.6,553,10,1.8,45,1.18,15.7,2,38.0,55,7,1,4,0,50.5,0.31,-4.5,-0.12,267,615,43.4,946,132,48.7,39.7,222,69.4,49.7,416,13,3.1,36,0.95,15.8,2020-2021
Eibar,2,38.0,52,3,0,5,0,47.5,0.33,-4.5,-0.12,340,847,40.1,938,124,65.9,40.2,250,91.6,68.4,406,14,3.4,63,1.66,24.3,2,38.0,29,4,0,5,0,38.5,0.23,9.5,0.25,350,898,39.0,1184,154,54.8,39.7,373,66.8,49.7,822,20,2.4,32,0.84,12.6,2020-2021
Elche,2,38.0,55,6,0,6,1,58.8,0.32,4.8,0.13,267,604,44.2,1039,168,36.6,45.0,353,63.5,45.3,537,10,1.9,34,0.89,12.4,2,38.0,34,2,0,5,1,31.9,0.34,-1.1,-0.03,175,402,43.5,819,138,34.9,33.7,208,55.8,44.7,509,16,3.1,47,1.24,16.6,2020-2021
Getafe,2,38.0,43,7,0,3,3,39.7,0.29,-0.3,-0.01,370,913,40.5,863,48,80.1,51.7,263,84.4,55.4,444,17,3.8,50,1.32,18.5,2,38.0,28,3,0,0,1,27.7,0.22,0.7,0.02,291,696,41.8,1026,173,48.5,39.6,300,66.0,49.5,606,25,4.1,51,1.34,17.0,2020-2021
Granada,3,38.0,65,6,2,4,1,61.9,0.31,-2.1,-0.05,310,848,36.6,944,79,62.6,46.5,316,81.3,56.1,546,12,2.2,62,1.63,18.0,3,38.0,47,3,1,7,0,44.0,0.33,-3.0,-0.08,230,564,40.8,910,151,43.2,36.9,272,62.9,48.2,470,22,4.7,37,0.97,15.2,2020-2021
Huesca,2,38.0,53,5,1,10,2,48.2,0.29,-2.8,-0.07,188,508,37.0,1077,187,35.7,34.2,298,41.6,38.3,539,16,3.0,34,0.89,13.4,2,38.0,34,3,0,4,2,36.7,0.26,4.7,0.12,221,581,38.0,903,169,42.6,37.1,295,66.4,50.4,624,19,3.0,47,1.24,16.5,2020-2021
Levante,3,38.0,57,3,1,6,2,49.8,0.29,-5.2,-0.14,136,382,35.6,936,197,32.4,32.2,282,28.0,29.6,532,9,1.7,71,1.87,18.2,3,38.0,46,3,0,5,1,40.1,0.27,-4.9,-0.13,283,695,40.7,920,146,51.8,40.3,295,73.9,54.4,506,18,3.6,53,1.39,17.1,2020-2021
Osasuna,3,38.0,48,5,0,5,2,47.0,0.3,1.0,0.03,441,996,44.3,995,92,71.5,48.0,302,94.4,61.3,600,30,5.0,76,2.0,17.5,3,38.0,37,5,0,2,1,34.6,0.25,-1.4,-0.04,193,643,30.0,980,149,45.7,37.2,315,61.9,45.8,544,13,2.4,41,1.08,16.2,2020-2021
Real Madrid,1,38.0,28,7,0,3,1,32.7,0.22,5.7,0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,1,38.0,67,3,1,8,3,53.1,0.3,-10.9,-0.29,290,691,42.0,942,157,45.9,38.0,354,73.2,50.7,562,20,3.6,37,0.97,14.3,2020-2021
Real Sociedad,1,38.0,38,3,0,4,1,35.0,0.3,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3,1,38.0,59,9,2,8,1,53.5,0.3,-4.5,-0.12,295,744,39.7,1016,132,51.4,39.8,288,77.1,53.4,523,15,2.9,36,0.95,14.0,2020-2021
Sevilla,2,38.0,33,4,0,4,2,33.5,0.24,2.5,0.07,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,0.95,11.2,2,38.0,53,6,0,5,1,46.7,0.28,-5.3,-0.14,284,693,41.0,911,127,50.2,39.7,347,68.0,49.3,551,10,1.8,57,1.5,19.1,2020-2021
Valencia,2,38.0,53,5,3,5,2,48.2,0.24,-2.8,-0.07,291,664,43.8,871,145,49.1,41.4,338,69.8,50.4,655,11,1.7,31,0.82,19.2,2,38.0,50,8,1,6,2,45.4,0.27,-2.6,-0.07,222,584,38.0,833,135,48.1,38.9,262,69.8,49.9,462,19,4.1,38,1.0,15.8,2020-2021
Valladolid,2,38.0,57,6,1,5,0,53.4,0.3,-3.6,-0.1,251,810,31.0,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,0.74,14.9,2,38.0,34,7,0,4,0,38.1,0.26,4.1,0.11,262,603,43.4,902,137,46.1,38.4,284,65.8,50.2,556,23,4.1,43,1.13,15.1,2020-2021
Villarreal,2,38.0,44,7,0,3,2,38.7,0.25,-3.3,-0.09,167,431,38.7,1098,208,26.0,30.2,304,48.0,40.5,597,28,4.7,32,0.84,13.9,2,38.0,60,12,1,3,3,63.1,0.32,6.1,0.16,232,601,38.6,972,143,44.1,37.5,255,67.5,48.6,420,16,3.8,61,1.61,17.3,2020-2021
Alavés,3,38.0,59,12,3,3,0,56.6,0.27,-2.4,-0.06,375,828,45.3,783,103,66.0,42.5,344,90.4,58.6,527,12,2.3,15,0.39,13.1,3,38.0,34,6,0,5,0,36.2,0.3,2.2,0.06,182,528,34.5,911,137,43.4,37.4,230,57.8,47.0,409,19,4.6,43,1.13,16.8,2019-2020
Athletic Club,2,38.0,38,5,2,2,2,39.8,0.28,3.8,0.1,345,817,42.2,976,172,56.5,41.4,298,89.3,60.9,547,26,4.8,20,0.53,10.0,2,38.0,41,8,1,4,1,39.5,0.22,-0.5,-0.01,228,636,35.8,897,161,48.6,39.1,319,62.7,47.4,582,25,4.3,34,0.89,14.7,2019-2020
Atlético Madrid,2,38.0,27,3,1,4,3,29.8,0.24,5.8,0.15,233,592,39.4,637,112,56.4,30.2,320,72.8,50.0,533,12,2.3,12,0.32,,2,38.0,51,6,0,3,1,54.0,0.32,4.0,0.1,242,653,37.1,951,157,45.8,37.9,344,63.1,48.3,441,19,4.3,38,1.0,15.2,2019-2020
Barcelona,2,38.0,38,6,2,1,0,36.5,0.26,-1.5,-0.04,127,249,51.0,1237,182,15.4,25.7,254,22.8,27.8,401,19,4.7,43,1.13,15.2,2,38.0,86,6,5,3,2,75.2,0.32,-8.8,-0.23,196,561,34.9,790,156,47.0,38.6,271,70.1,51.7,301,16,5.3,31,0.82,14.1,2019-2020
Betis,2,38.0,60,11,1,4,1,54.8,0.29,-4.2,-0.11,158,464,34.1,1045,171,34.1,33.0,284,38.0,35.5,524,12,2.3,59,1.55,17.8,2,38.0,48,6,1,10,0,48.9,0.27,0.9,0.02,238,646,36.8,863,130,48.6,40.0,316,71.8,52.0,457,21,4.6,36,0.95,14.7,2019-2020
Celta Vigo,3,38.0,49,5,3,3,0,45.8,0.28,-3.2,-0.08,202,576,35.1,784,136,44.5,30.1,339,67.0,49.1,604,20,3.3,16,0.42,16.0,3,38.0,37,6,3,4,0,43.8,0.25,6.8,0.18,192,550,34.9,816,144,48.2,39.0,234,67.1,49.5,506,15,3.0,46,1.21,15.8,2019-2020
Eibar,2,38.0,56,4,2,3,1,52.2,0.35,-2.8,-0.07,297,896,33.1,882,93,72.3,51.6,268,96.3,70.6,471,26,5.5,77,2.03,17.9,2,38.0,39,7,1,6,1,42.2,0.23,4.2,0.11,287,801,35.8,1160,167,50.3,38.8,356,61.0,46.6,667,20,3.0,25,0.66,13.0,2019-2020
Espanyol,2,38.0,58,6,0,4,2,54.4,0.31,-1.6,-0.04,228,688,33.1,895,133,52.5,31.1,316,69.0,49.6,495,29,5.9,51,1.35,7.8,2,38.0,27,4,1,4,2,32.8,0.24,7.8,0.21,250,681,36.7,918,168,47.8,39.1,330,73.3,52.2,530,28,5.3,46,1.21,15.6,2019-2020
Getafe,1,38.0,37,5,0,2,2,38.3,0.3,3.3,0.09,359,970,37.0,880,46,83.4,52.7,259,91.1,58.5,383,20,5.2,69,1.82,18.1,1,38.0,43,6,2,7,1,36.9,0.26,-5.1,-0.13,304,797,38.1,1022,133,54.3,41.5,334,72.5,51.7,629,20,3.2,56,1.47,16.5,2019-2020
Granada,2,38.0,45,4,1,5,0,45.9,0.27,0.9,0.02,329,899,36.6,1074,137,60.1,42.5,325,78.2,55.1,538,27,5.0,68,1.79,13.6,2,38.0,52,5,2,7,2,38.3,0.28,-11.7,-0.31,212,562,37.7,873,146,42.5,37.1,278,68.7,51.0,497,26,5.2,32,0.84,14.5,2019-2020
Leganés,2,38.0,51,6,2,7,1,46.5,0.29,-3.5,-0.09,260,774,33.6,828,165,62.1,41.8,292,89.0,62.5,513,18,3.5,42,1.11,14.5,2,38.0,30,3,4,2,0,36.7,0.22,6.7,0.18,233,671,34.7,901,175,49.9,39.7,321,68.8,51.3,566,33,5.8,43,1.13,15.2,2019-2020
Levante,2,38.0,53,3,1,9,2,54.3,0.23,3.3,0.09,179,515,34.8,813,206,43.2,37.6,354,46.3,39.4,636,20,3.1,49,1.29,14.4,2,38.0,47,5,1,3,2,43.5,0.29,-1.5,-0.04,247,610,40.5,858,151,47.2,38.4,306,67.0,48.7,531,18,3.4,48,1.26,15.3,2019-2020
Mallorca,3,38.0,65,15,2,7,1,63.8,0.26,-0.2,-0.01,253,670,37.8,932,185,51.9,37.6,320,58.1,47.8,539,26,4.8,28,0.74,,3,38.0,40,8,2,1,1,38.8,0.24,-0.2,-0.01,226,528,42.8,808,142,38.7,36.0,320,67.2,49.0,506,15,3.0,32,0.84,13.4,2019-2020
Osasuna,3,38.0,54,5,3,5,0,51.1,0.33,-2.9,-0.08,289,858,33.7,885,144,67.2,44.6,306,85.9,58.4,488,21,4.3,47,1.24,18.2,3,38.0,46,8,1,4,0,41.8,0.23,-4.2,-0.11,233,777,30.0,951,140,54.7,40.9,332,77.4,53.6,597,11,1.8,33,0.87,15.5,2019-2020
Real Madrid,2,38.0,25,2,0,5,0,30.8,0.26,5.8,0.15,90,312,28.8,970,227,22.7,26.9,246,37.4,38.2,460,23,5.0,37,0.97,14.2,2,38.0,70,11,1,4,1,73.2,0.28,4.2,0.11,278,695,40.0,963,171,48.1,38.3,336,69.0,50.3,574,14,2.4,39,1.03,15.0,2019-2020
Real Sociedad,2,38.0,48,7,2,4,1,45.4,0.26,-1.6,-0.04,220,509,43.2,1128,133,30.1,30.3,246,69.1,48.0,447,13,2.9,65,1.71,17.7,2,38.0,56,4,1,7,2,46.3,0.3,-7.7,-0.2,226,701,32.2,924,149,52.8,40.3,286,74.5,53.3,532,15,2.8,29,0.76,13.7,2019-2020
Sevilla,2,38.0,34,3,3,2,1,32.3,0.24,-0.7,-0.02,179,450,39.8,813,179,34.9,33.7,281,59.1,45.5,478,19,4.0,29,0.76,11.7,2,38.0,54,7,2,5,1,51.4,0.27,-1.6,-0.04,261,730,35.8,926,148,53.7,41.1,311,74.9,51.4,637,22,3.5,27,0.71,12.7,2019-2020
Valencia,2,38.0,53,7,3,4,1,50.2,0.22,-1.8,-0.05,211,599,35.2,878,201,41.3,34.2,337,70.0,50.3,619,12,1.9,19,0.5,10.8,2,38.0,46,5,2,4,1,47.0,0.34,2.0,0.05,212,569,37.3,827,138,46.9,38.6,273,66.3,50.5,509,17,3.3,56,1.47,16.5,2019-2020
Valladolid,3,38.0,43,7,2,5,0,48.0,0.29,5.0,0.13,258,793,32.5,789,130,63.1,49.5,365,80.8,56.1,590,15,2.5,18,0.47,,3,38.0,32,3,2,2,1,33.7,0.24,2.7,0.07,232,546,42.5,812,163,43.0,36.8,284,69.4,50.8,492,19,3.9,38,1.0,14.3,2019-2020
Villarreal,2,38.0,49,8,0,10,2,45.2,0.22,-1.8,-0.05,146,442,33.0,858,173,32.3,28.0,329,50.2,40.5,648,19,2.9,27,0.71,10.2,2,38.0,63,10,1,4,1,61.6,0.3,-0.4,-0.01,259,659,39.3,916,152,50.5,39.2,302,64.9,48.9,478,16,3.3,59,1.55,17.1,2019-2020
Alavés,2,38.0,50,6,3,2,2,52.6,0.29,4.6,0.12,325,794,40.9,805,98,61.6,48.9,337,88.4,57.0,632,21,3.3,42,1.11,8.6,2,38.0,39,2,2,7,0,33.9,0.26,-5.1,-0.13,242,629,38.5,905,178,43.4,37.4,325,72.6,52.4,584,29,5.0,35,0.92,14.4,2018-2019
Athletic Club,2,38.0,45,5,0,6,0,42.8,0.32,-2.2,-0.06,358,825,43.4,901,123,64.9,36.7,264,90.9,62.7,508,22,4.3,36,0.95,11.1,2,38.0,41,5,1,1,2,43.2,0.27,4.2,0.11,274,700,39.1,944,166,49.9,39.0,297,77.1,53.3,574,19,3.3,38,1.0,14.5,2018-2019
Atlético Madrid,2,38.0,29,5,0,4,2,42.3,0.28,15.3,0.4,220,596,36.9,583,104,56.6,33.3,302,88.1,57.2,555,22,4.0,16,0.42,,2,38.0,55,3,3,6,2,53.5,0.32,0.5,0.01,242,565,42.8,885,166,45.2,38.0,280,58.9,46.8,462,17,3.7,27,0.71,13.0,2018-2019
Barcelona,2,38.0,36,2,0,2,1,40.4,0.3,5.4,0.14,125,244,51.2,970,211,15.7,27.3,224,41.1,37.8,440,8,1.8,38,1.0,16.2,2,38.0,90,8,6,6,2,90.0,0.33,2.0,0.05,234,629,37.2,829,149,48.7,39.2,305,73.8,52.4,308,10,3.2,33,0.87,15.1,2018-2019
Betis,2,38.0,52,4,2,8,0,51.5,0.31,-0.5,-0.01,128,337,38.0,1153,195,20.3,30.6,276,37.3,36.8,466,25,5.4,58,1.53,18.7,2,38.0,44,5,4,2,1,48.3,0.26,5.3,0.14,209,614,34.0,777,105,51.9,40.9,259,81.5,56.7,469,14,3.0,38,1.0,16.1,2018-2019
Celta Vigo,2,38.0,62,6,4,5,1,59.7,0.32,-1.3,-0.03,257,669,38.4,925,161,44.3,38.0,348,74.4,55.1,581,20,3.4,37,0.97,15.6,2,38.0,53,7,2,5,1,51.0,0.28,-1.0,-0.03,244,609,40.1,784,147,51.4,40.0,263,78.3,53.3,539,24,4.5,34,0.89,14.1,2018-2019
Eibar,2,38.0,50,3,2,3,1,44.1,0.31,-4.9,-0.13,325,855,38.0,912,108,69.4,44.6,235,94.5,66.5,403,20,5.0,84,2.21,18.1,2,38.0,46,7,2,7,0,45.8,0.26,-0.2,-0.01,340,865,39.3,1029,165,56.8,42.3,393,71.5,51.7,865,19,2.2,21,0.55,12.1,2018-2019
Espanyol,1,38.0,50,6,5,7,2,51.8,0.27,3.8,0.1,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.5,12.3,1,38.0,48,4,2,7,5,45.1,0.26,2.1,0.06,224,590,38.0,884,179,44.0,37.8,287,70.0,51.1,431,15,3.5,38,1.0,15.8,2018-2019
Getafe,2,38.0,35,4,1,2,2,40.1,0.26,7.1,0.19,359,963,37.3,832,52,83.5,50.3,282,95.0,59.3,475,20,4.2,38,1.0,15.5,2,38.0,48,6,0,1,1,44.3,0.3,-2.7,-0.07,249,652,38.2,963,150,47.1,39.1,290,68.3,51.7,488,23,4.7,39,1.03,15.4,2018-2019
Girona,2,38.0,53,8,2,6,2,61.0,0.27,10.0,0.26,223,578,38.6,896,177,40.5,38.2,328,65.5,48.4,554,19,3.4,27,0.71,9.6,2,38.0,37,6,1,3,0,41.3,0.26,4.3,0.11,254,652,39.0,856,139,51.3,39.1,280,76.1,53.0,578,34,5.9,39,1.03,14.8,2018-2019
Huesca,3,38.0,65,9,2,1,3,61.5,0.31,-0.5,-0.01,332,851,39.0,782,75,71.9,51.2,310,93.2,61.9,525,7,1.3,12,0.32,11.6,3,38.0,43,6,1,7,0,46.0,0.27,3.0,0.08,195,569,34.3,861,176,42.5,37.0,295,68.8,51.7,636,33,5.2,45,1.18,14.2,2018-2019
Leganés,2,38.0,43,3,2,3,1,43.2,0.3,1.2,0.03,344,834,41.2,894,112,63.0,39.8,307,88.3,60.3,585,28,4.8,30,0.79,15.7,2,38.0,37,3,0,5,1,37.5,0.26,1.5,0.04,199,614,32.4,838,169,44.4,38.3,324,74.7,54.3,601,21,3.5,33,0.87,15.8,2018-2019
Levante,3,38.0,66,8,1,6,2,68.9,0.27,4.9,0.13,207,577,35.9,662,184,48.2,40.5,394,65.5,47.8,595,19,3.2,32,0.84,11.8,3,38.0,59,5,1,8,3,55.5,0.31,-0.5,-0.01,252,645,39.1,824,151,49.2,39.4,298,80.5,55.5,537,21,3.9,49,1.29,15.5,2018-2019
Rayo Vallecano,2,38.0,70,7,0,10,1,65.8,0.3,-3.2,-0.08,240,581,41.3,887,197,44.2,37.2,306,61.8,46.5,574,13,2.3,35,0.92,15.5,2,38.0,41,5,1,3,1,49.3,0.3,9.3,0.25,234,625,37.4,803,139,48.6,39.5,307,76.5,55.0,576,22,3.8,22,0.58,12.6,2018-2019
Real Madrid,3,38.0,46,6,0,6,0,47.9,0.31,1.9,0.05,126,363,34.7,923,233,27.1,32.3,256,44.1,42.5,400,26,6.5,38,1.0,14.2,3,38.0,63,9,1,9,2,68.8,0.29,7.8,0.21,272,649,41.9,886,150,46.4,38.2,309,77.0,52.7,598,17,2.8,26,0.68,13.1,2018-2019
Real Sociedad,2,38.0,46,2,1,11,2,39.9,0.27,-4.1,-0.11,218,556,39.2,1156,142,31.2,31.5,295,66.1,47.7,590,28,4.7,52,1.37,17.8,2,38.0,45,8,0,3,1,50.1,0.29,6.1,0.16,263,694,37.9,901,126,52.1,40.0,289,77.9,54.0,493,18,3.7,45,1.18,15.5,2018-2019
Sevilla,3,38.0,47,6,2,4,0,50.3,0.28,3.3,0.09,191,630,30.3,875,216,45.8,40.2,294,77.9,55.3,539,30,5.6,30,0.79,20.7,3,38.0,62,5,0,5,2,62.7,0.34,2.7,0.07,241,633,38.1,812,134,47.3,39.1,326,76.4,53.8,612,19,3.1,31,0.82,14.7,2018-2019
Valencia,2,38.0,35,7,2,6,2,42.4,0.23,9.4,0.25,186,548,33.9,635,176,46.6,35.1,305,82.6,57.1,620,14,2.3,18,0.47,12.5,2,38.0,51,5,1,8,1,58.7,0.32,8.7,0.23,227,608,37.3,903,148,41.5,36.6,315,74.0,53.0,551,11,2.0,27,0.71,13.5,2018-2019
Valladolid,2,38.0,51,6,1,8,1,53.2,0.29,3.2,0.08,269,842,31.9,900,172,59.1,42.4,347,89.3,60.6,614,20,3.3,14,0.37,11.2,2,38.0,32,4,3,3,1,38.3,0.25,7.3,0.19,245,581,42.2,748,157,43.6,37.9,313,81.5,56.5,620,26,4.2,37,0.97,13.9,2018-2019
Villarreal,2,38.0,52,3,2,5,3,55.8,0.28,6.8,0.18,227,532,42.7,708,154,45.9,39.2,303,68.3,50.6,677,23,3.4,36,0.95,11.8,2,38.0,49,3,1,9,2,51.9,0.27,4.9,0.13,246,614,40.1,835,129,48.7,38.8,291,71.1,51.7,485,17,3.5,35,0.92,14.7,2018-2019
Alavés,2,38.0,50,7,2,7,2,49.4,0.25,1.4,0.04,330,786,42.0,708,103,65.5,48.6,360,89.4,56.7,657,17,2.6,19,0.5,9.0,2,38.0,40,1,1,4,0,37.9,0.27,-2.1,-0.06,224,589,38.0,917,156,43.2,37.6,256,75.4,53.7,431,22,5.1,32,0.84,14.9,2017-2018
Athletic Club,2,38.0,49,3,3,5,3,52.0,0.28,6.0,0.16,407,840,48.5,1066,140,57.6,43.6,271,83.4,58.8,525,29,5.5,31,0.82,14.2,2,38.0,41,6,0,6,2,46.7,0.27,7.7,0.2,274,721,38.0,924,139,50.2,40.2,306,84.0,55.6,654,29,4.4,31,0.82,13.0,2017-2018
Atlético Madrid,2,38.0,22,1,1,2,1,33.2,0.23,12.2,0.32,194,581,33.4,635,109,55.0,42.4,289,80.3,54.5,550,26,4.7,14,0.37,11.9,2,38.0,58,4,2,2,1,58.8,0.36,1.8,0.05,235,571,41.2,924,173,41.9,36.9,257,71.6,52.5,417,27,6.5,47,1.24,15.0,2017-2018
Barcelona,2,38.0,29,2,0,1,0,37.0,0.26,8.0,0.21,130,310,41.9,1061,197,17.6,27.9,272,45.2,41.3,411,15,3.6,41,1.08,7.7,2,38.0,99,3,6,7,3,96.1,0.36,0.1,0.0,236,640,36.9,859,136,49.7,40.5,280,76.1,53.8,323,11,3.4,36,0.95,14.5,2017-2018
Betis,3,38.0,61,3,0,7,4,48.1,0.29,-8.9,-0.24,199,577,34.5,1239,163,32.4,34.5,312,56.4,43.3,584,25,4.3,29,0.76,10.4,3,38.0,60,2,1,3,4,53.4,0.32,-2.6,-0.07,211,610,34.6,795,104,51.6,40.7,246,81.3,56.7,422,18,4.3,35,0.92,15.2,2017-2018
Celta Vigo,3,38.0,60,4,0,8,1,49.5,0.29,-9.5,-0.25,247,700,35.3,1154,124,43.4,36.3,280,71.1,53.1,539,14,2.6,38,1.0,14.1,3,38.0,59,2,3,4,2,55.3,0.33,-1.7,-0.05,239,717,33.3,869,127,55.6,41.7,285,82.1,56.5,473,23,4.9,37,0.97,15.1,2017-2018
Eibar,3,38.0,50,4,2,3,3,47.8,0.34,0.8,0.02,359,957,37.5,992,96,73.5,52.4,239,95.4,69.5,379,23,6.1,100,2.63,21.4,3,38.0,44,2,2,7,1,37.6,0.27,-5.4,-0.14,295,873,33.8,1037,131,54.7,42.3,388,78.9,55.7,850,30,3.5,33,0.87,13.1,2017-2018
Espanyol,2,38.0,42,4,1,5,2,47.2,0.26,7.2,0.19,237,673,35.2,756,172,52.1,39.3,329,84.8,57.2,568,31,5.5,24,0.63,11.3,2,38.0,36,2,1,1,3,38.1,0.27,5.1,0.13,269,712,37.8,1025,149,49.4,39.7,273,75.5,55.2,592,49,8.3,42,1.11,13.5,2017-2018
Getafe,2,38.0,33,2,0,3,0,42.3,0.31,9.3,0.24,292,925,31.6,813,80,74.2,52.5,332,97.0,64.3,549,25,4.6,37,0.97,9.9,2,38.0,42,5,1,6,1,42.9,0.26,1.9,0.05,248,584,42.5,883,152,44.2,38.4,258,75.2,53.2,463,20,4.3,57,1.5,17.3,2017-2018
