Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Age_for,Unnamed: 3_level_0 Poss_for,Playing Time MP_for,Playing Time Starts_for,Playing Time Min_for,Playing Time 90s_for,Performance Gls_for,Performance Ast_for,Performance G+A_for,Performance G-PK_for,Performance PK_for,Performance PKatt_for,Performance CrdY_for,Performance CrdR_for,Expected xG_for,Expected npxG_for,Expected xAG_for,Expected npxG+xAG_for,Progression PrgC_for,Progression PrgP_for,Per 90 Minutes Gls_for,Per 90 Minutes Ast_for,Per 90 Minutes G+A_for,Per 90 Minutes G-PK_for,Per 90 Minutes G+A-PK_for,Per 90 Minutes xG_for,Per 90 Minutes xAG_for,Per 90 Minutes xG+xAG_for,Per 90 Minutes npxG_for,Per 90 Minutes npxG+xAG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 Age_against,Unnamed: 3_level_0 Poss_against,Playing Time MP_against,Playing Time Starts_against,Playing Time Min_against,Playing Time 90s_against,Performance Gls_against,Performance Ast_against,Performance G+A_against,Performance G-PK_against,Performance PK_against,Performance PKatt_against,Performance CrdY_against,Performance CrdR_against,Expected xG_against,Expected npxG_against,Expected xAG_against,Expected npxG+xAG_against,Progression PrgC_against,Progression PrgP_against,Per 90 Minutes Gls_against,Per 90 Minutes Ast_against,Per 90 Minutes G+A_against,Per 90 Minutes G-PK_against,Per 90 Minutes G+A-PK_against,Per 90 Minutes xG_against,Per 90 Minutes xAG_against,Per 90 Minutes xG+xAG_against,Per 90 Minutes npxG_against,Per 90 Minutes npxG+xAG_against,Season
Villarreal,32,28.4,56.9,38,418,3420,38.0,57,33,90,53,4,7,91,4,61.6,56.1,43.2,99.3,846,1622,1.5,0.87,2.37,1.39,2.26,1.62,1.14,2.76,1.48,2.61,32,27.2,43.1,38,418,3420,38.0,39,29,68,35,4,4,105,5,49.9,46.7,35.7,82.4,640,1242,1.03,0.76,1.79,0.92,1.68,1.31,0.94,2.25,1.23,2.17,2022-2023
Alavés,33,27.9,42.0,38,418,3420,38.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,0.76,0.53,1.29,0.61,1.13,0.98,0.67,1.65,0.84,1.51,33,27.6,58.2,38,418,3420,38.0,65,48,113,59,6,9,79,4,57.0,50.0,42.0,92.0,656,1568,1.71,1.26,2.97,1.55,2.82,1.5,1.11,2.61,1.32,2.42,2021-2022
Athletic Club,26,26.9,48.1,38,418,3420,38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15,26,27.6,51.9,38,418,3420,38.0,35,26,61,32,3,3,105,9,38.4,36.0,27.7,63.7,586,1379,0.92,0.68,1.61,0.84,1.53,1.01,0.73,1.74,0.95,1.68,2021-2022
Atlético Madrid,26,28.1,50.6,38,418,3420,38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39,26,27.6,49.4,38,418,3420,38.0,40,28,68,33,7,8,102,4,33.4,27.4,20.8,48.2,495,1320,1.05,0.74,1.79,0.87,1.61,0.88,0.55,1.43,0.72,1.27,2021-2022
Barcelona,38,26.2,64.2,38,418,3420,38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.0,1.67,1.25,2.92,1.52,2.78,38,27.7,35.2,38,418,3420,38.0,38,27,65,36,2,3,93,5,34.4,32.1,24.7,56.8,448,938,1.0,0.71,1.71,0.95,1.66,0.91,0.65,1.56,0.84,1.49,2021-2022
Betis,31,28.9,53.7,38,418,3420,38.0,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.4,1.29,2.28,31,27.4,45.9,38,418,3420,38.0,38,29,67,35,3,3,74,3,43.4,41.1,30.2,71.3,686,1375,1.0,0.76,1.76,0.92,1.68,1.14,0.79,1.94,1.08,1.88,2021-2022
Cádiz,33,28.5,41.3,38,418,3420,38.0,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56,33,27.6,59.1,38,418,3420,38.0,51,31,82,40,11,13,98,6,48.3,38.2,30.4,68.5,735,1805,1.34,0.82,2.16,1.05,1.87,1.27,0.8,2.07,1.0,1.8,2021-2022
Celta Vigo,25,28.4,55.2,38,418,3420,38.0,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77,25,27.4,44.4,38,418,3420,38.0,41,29,70,37,4,8,103,5,45.7,39.4,28.7,68.0,547,1251,1.08,0.76,1.84,0.97,1.74,1.2,0.75,1.96,1.04,1.79,2021-2022
Elche,28,29.1,48.4,38,418,3420,38.0,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.0,1.76,0.89,0.73,1.61,0.86,1.59,28,27.4,51.6,38,418,3420,38.0,52,41,93,45,7,9,80,2,59.1,52.1,41.7,93.8,657,1477,1.37,1.08,2.45,1.18,2.26,1.56,1.1,2.65,1.37,2.47,2021-2022
Espanyol,34,27.7,46.9,38,418,3420,38.0,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55,34,27.5,52.9,38,418,3420,38.0,51,39,90,47,4,5,120,7,51.2,47.3,36.7,84.1,800,1705,1.34,1.03,2.37,1.24,2.26,1.35,0.97,2.31,1.25,2.21,2021-2022
Getafe,31,26.6,41.5,38,418,3420,38.0,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.5,0.74,1.42,0.77,0.51,1.28,0.67,1.18,31,27.8,58.8,38,418,3420,38.0,40,30,70,38,2,4,110,4,38.6,35.5,27.4,63.0,612,1521,1.05,0.79,1.84,1.0,1.79,1.02,0.72,1.74,0.94,1.66,2021-2022
Granada,32,28.1,44.7,38,418,3420,38.0,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,1.13,0.74,1.87,1.05,1.79,1.03,0.7,1.73,0.92,1.63,32,27.6,66.0,38,418,3420,38.0,59,46,105,52,7,9,101,9,61.2,54.6,44.6,99.2,706,1611,1.55,1.21,2.76,1.37,2.58,1.61,1.17,2.79,1.44,2.61,2021-2022
Levante,31,28.0,47.2,38,418,3420,38.0,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02,31,27.4,53.1,38,418,3420,38.0,76,59,135,71,5,6,104,5,55.0,50.2,41.2,91.4,716,1448,2.0,1.55,3.55,1.87,3.42,1.45,1.08,2.53,1.32,2.41,2021-2022
Mallorca,33,27.9,45.3,38,418,3420,38.0,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.7,0.88,1.55,33,27.7,54.9,38,418,3420,38.0,59,40,99,53,6,8,114,6,49.3,43.0,33.8,76.8,650,1379,1.55,1.05,2.61,1.39,2.45,1.3,0.89,2.19,1.13,2.02,2021-2022
Osasuna,29,27.7,46.9,38,418,3420,38.0,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.6,1.57,0.81,1.41,29,27.6,53.3,38,418,3420,38.0,49,37,86,45,4,7,73,1,46.3,40.8,32.5,73.2,722,1330,1.29,0.97,2.26,1.18,2.16,1.22,0.85,2.07,1.07,1.93,2021-2022
Rayo Vallecano,28,27.5,49.9,38,418,3420,38.0,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.0,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85,28,27.6,50.1,38,418,3420,38.0,49,33,82,42,7,9,110,3,48.4,41.5,34.7,76.1,603,1330,1.29,0.87,2.16,1.11,1.97,1.27,0.91,2.19,1.09,2.0,2021-2022
Real Madrid,31,27.7,59.9,38,418,3420,38.0,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97,31,27.6,34.0,38,418,3420,38.0,31,20,51,28,3,5,82,3,43.9,39.8,32.2,72.0,632,1257,0.82,0.53,1.34,0.74,1.26,1.15,0.85,2.0,1.05,1.89,2021-2022
Real Sociedad,32,25.7,54.3,38,418,3420,38.0,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02,32,27.7,45.3,38,418,3420,38.0,37,28,65,32,5,6,95,2,38.7,34.0,28.1,62.1,587,1206,0.97,0.74,1.71,0.84,1.58,1.02,0.74,1.76,0.89,1.63,2021-2022
Sevilla,33,28.6,59.4,38,418,3420,38.0,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91,33,27.8,40.2,38,418,3420,38.0,30,19,49,28,2,4,98,4,36.9,33.8,25.0,58.9,521,1182,0.79,0.5,1.29,0.74,1.24,0.97,0.66,1.63,0.89,1.55,2021-2022
Valencia,34,24.8,43.6,38,418,3420,38.0,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52,34,27.8,56.4,38,418,3420,38.0,50,34,84,43,7,8,133,7,47.7,41.6,32.3,73.8,597,1392,1.32,0.89,2.21,1.13,2.03,1.26,0.85,2.11,1.09,1.94,2021-2022
Villarreal,29,28.0,56.8,38,418,3420,38.0,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.5,2.84,1.69,1.34,3.03,1.58,2.92,29,27.6,43.0,38,418,3420,38.0,36,20,56,32,4,5,98,3,44.8,41.1,30.2,71.4,583,1095,0.95,0.53,1.47,0.84,1.37,1.18,0.8,1.97,1.08,1.88,2021-2022
Alavés,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,30,27.5,57.3,38,418,3420,38.0,57,44,101,54,3,3,80,3,49.9,47.5,37.1,84.7,632,1479,1.5,1.16,2.66,1.42,2.58,1.31,0.98,2.29,1.25,2.23,2020-2021
Athletic Club,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,42.8,38.9,31.0,70.0,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.94,1.02,1.84,27,27.6,50.2,38,418,3420,38.0,41,29,70,36,5,6,80,5,37.5,32.9,27.1,60.0,589,1380,1.08,0.76,1.84,0.95,1.71,0.99,0.71,1.7,0.87,1.58,2020-2021
Atlético Madrid,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31,25,27.5,47.6,38,418,3420,38.0,22,15,37,21,1,4,59,3,37.1,34.0,27.7,61.7,557,1394,0.58,0.39,0.97,0.55,0.95,0.98,0.73,1.71,0.89,1.62,2020-2021
Barcelona,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16,25,27.4,45.0,38,418,3420,38.0,36,20,56,31,5,5,76,6,40.8,36.9,25.4,62.3,529,1038,0.95,0.53,1.47,0.82,1.34,1.07,0.67,1.74,0.97,1.64,2020-2021
Betis,25,27.9,53.6,38,418,3420,38.0,50,35,85,42,8,11,93,8,49.1,40.6,33.4,74.0,694,1442,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.95,25,27.4,46.1,38,418,3420,38.0,47,31,78,39,8,10,83,2,46.8,39.2,30.1,69.3,551,1311,1.24,0.82,2.05,1.03,1.84,1.23,0.79,2.02,1.03,1.82,2020-2021
Cádiz,34,28.8,34.8,38,418,3420,38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37,34,27.5,65.7,38,418,3420,38.0,57,41,98,48,9,10,87,4,55.4,47.6,39.3,86.9,820,1881,1.5,1.08,2.58,1.26,2.34,1.46,1.03,2.49,1.25,2.29,2020-2021
Celta Vigo,30,26.6,53.3,38,418,3420,38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15,30,27.4,46.3,38,418,3420,38.0,56,37,93,49,7,8,102,6,51.0,45.0,35.7,80.7,578,1249,1.47,0.97,2.45,1.29,2.26,1.34,0.94,2.28,1.18,2.12,2020-2021
Eibar,30,28.2,49.3,38,418,3420,38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79,30,27.5,50.4,38,418,3420,38.0,52,40,92,49,3,5,66,2,45.7,41.7,35.2,77.0,446,1056,1.37,1.05,2.42,1.29,2.34,1.2,0.93,2.13,1.1,2.03,2020-2021
Elche,30,28.1,47.5,38,418,3420,38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,501,929,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.3,30,27.4,52.4,38,418,3420,38.0,54,43,97,48,6,10,79,2,60.9,53.2,44.0,97.2,702,1647,1.42,1.13,2.55,1.26,2.39,1.6,1.16,2.76,1.4,2.56,2020-2021
Getafe,31,26.7,43.3,38,418,3420,38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.0,0.91,0.62,1.53,0.8,1.42,31,27.4,57.2,38,418,3420,38.0,40,26,66,33,7,8,106,6,40.3,34.0,25.8,59.8,454,1195,1.05,0.68,1.74,0.87,1.55,1.06,0.68,1.74,0.9,1.57,2020-2021
Granada,34,27.4,41.4,38,418,3420,38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68,34,27.6,59.0,38,418,3420,38.0,64,41,105,58,6,12,104,6,56.2,46.8,38.2,85.0,636,1449,1.68,1.08,2.76,1.53,2.61,1.48,1.01,2.48,1.23,2.24,2020-2021
Huesca,27,28.0,48.3,38,418,3420,38.0,32,23,55,29,3,4,69,2,38.7,35.9,26.6,62.5,617,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.72,0.94,1.64,27,27.3,51.7,38,418,3420,38.0,51,37,88,46,5,5,64,2,48.1,44.3,35.6,80.0,657,1447,1.34,0.97,2.32,1.21,2.18,1.27,0.94,2.2,1.17,2.11,2020-2021
Levante,29,28.0,52.2,38,418,3420,38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,621,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72,29,27.4,47.6,38,418,3420,38.0,55,42,97,52,3,4,87,7,53.5,50.6,40.0,90.6,625,1299,1.45,1.11,2.55,1.37,2.47,1.41,1.05,2.46,1.33,2.38,2020-2021
Osasuna,28,27.9,43.2,38,418,3420,38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,28,27.4,56.9,38,418,3420,38.0,46,31,77,41,5,8,65,0,47.8,41.5,33.2,74.6,678,1525,1.21,0.82,2.03,1.08,1.89,1.26,0.87,2.13,1.09,1.96,2020-2021
Real Madrid,30,27.9,59.3,38,418,3420,38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.0,1.62,1.25,2.87,1.56,2.8,30,27.5,40.3,38,418,3420,38.0,27,17,44,20,7,8,87,3,37.6,31.3,24.4,55.7,545,1157,0.71,0.45,1.16,0.53,0.97,0.99,0.64,1.63,0.82,1.47,2020-2021
Real Sociedad,30,25.0,54.9,38,418,3420,38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.6,1.04,2.64,1.36,2.4,30,27.4,44.9,38,418,3420,38.0,37,24,61,34,3,5,91,6,39.2,35.3,26.1,61.4,436,1011,0.97,0.63,1.61,0.89,1.53,1.03,0.69,1.72,0.93,1.61,2020-2021
Sevilla,26,28.1,60.9,38,418,3420,38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37,26,27.3,55.0,38,418,3420,38.0,31,20,51,27,4,6,109,1,34.8,30.1,22.5,52.6,544,1103,0.82,0.53,1.34,0.71,1.24,0.91,0.59,1.51,0.79,1.39,2020-2021
Valencia,30,25.2,46.9,38,418,3420,38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.2,62.1,576,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63,30,27.6,53.1,38,418,3420,38.0,51,29,80,46,5,8,99,5,52.2,46.2,33.8,80.0,713,1644,1.34,0.76,2.11,1.21,1.97,1.37,0.89,2.26,1.22,2.11,2020-2021
Valladolid,32,28.1,45.2,38,418,3420,38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53,32,27.4,54.9,38,418,3420,38.0,57,44,101,51,6,7,96,2,52.9,47.4,38.3,85.6,693,1549,1.5,1.16,2.66,1.34,2.5,1.39,1.01,2.4,1.25,2.25,2020-2021
Villarreal,29,28.0,55.2,38,418,3420,38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.5,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29,29,27.5,44.4,38,418,3420,38.0,42,25,67,35,7,9,78,4,42.5,35.6,26.2,61.8,635,1227,1.11,0.66,1.76,0.92,1.58,1.12,0.69,1.81,0.94,1.63,2020-2021
Alavés,32,27.6,41.5,38,418,3420,38.0,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,0.89,0.53,1.42,0.74,1.26,1.03,0.71,1.74,0.91,1.62,32,27.3,58.5,38,418,3420,38.0,59,36,95,47,12,15,87,3,57.8,46.3,37.1,83.5,656,1548,1.55,0.95,2.5,1.24,2.18,1.52,0.98,2.5,1.22,2.2,2019-2020
Athletic Club,26,26.7,48.7,38,418,3420,38.0,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,1.05,0.61,1.66,0.84,1.45,1.09,0.69,1.78,0.89,1.58,26,27.1,51.3,38,418,3420,38.0,36,26,62,31,5,7,89,0,48.8,43.7,34.6,78.3,615,1390,0.95,0.68,1.63,0.82,1.5,1.28,0.91,2.19,1.15,2.06,2019-2020
Atlético Madrid,30,26.1,48.6,38,418,3420,38.0,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,1.32,0.92,2.24,1.16,2.08,1.5,1.04,2.53,1.33,2.37,30,27.4,51.4,38,418,3420,38.0,24,15,39,21,3,4,113,4,32.5,29.5,22.9,52.5,619,1523,0.63,0.39,1.03,0.55,0.95,0.85,0.6,1.46,0.78,1.38,2019-2020
Barcelona,28,27.8,66.4,38,418,3420,38.0,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,2.21,1.63,3.84,2.05,3.68,1.75,1.3,3.05,1.62,2.93,28,27.0,33.6,38,418,3420,38.0,38,21,59,32,6,7,89,4,38.3,32.9,23.6,56.5,576,1003,1.0,0.55,1.55,0.84,1.39,1.01,0.62,1.63,0.87,1.49,2019-2020
Betis,27,27.5,56.7,38,418,3420,38.0,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,1.26,0.92,2.18,1.11,2.03,1.34,0.97,2.31,1.19,2.16,27,27.0,43.3,38,418,3420,38.0,59,40,99,48,11,11,111,5,54.8,46.2,36.1,82.3,613,1263,1.55,1.05,2.61,1.26,2.32,1.44,0.95,2.39,1.22,2.16,2019-2020
Celta Vigo,30,25.8,51.7,38,418,3420,38.0,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,0.97,0.68,1.66,0.82,1.5,1.03,0.69,1.72,0.85,1.54,30,27.2,48.4,38,418,3420,38.0,49,31,80,44,5,5,119,5,45.3,41.4,33.4,74.7,679,1436,1.29,0.82,2.11,1.16,1.97,1.19,0.88,2.07,1.09,1.97,2019-2020
Eibar,26,29.3,46.3,38,418,3420,38.0,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,1.0,0.63,1.63,0.82,1.45,1.1,0.68,1.79,0.9,1.58,26,27.0,53.7,38,418,3420,38.0,55,38,93,51,4,6,70,2,53.0,48.4,40.0,88.5,561,1177,1.45,1.0,2.45,1.34,2.34,1.39,1.05,2.45,1.27,2.33,2019-2020
Espanyol,31,27.7,47.4,38,418,3420,38.0,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,0.66,0.45,1.11,0.55,1.0,1.02,0.72,1.74,0.94,1.66,31,27.3,52.6,38,418,3420,38.0,56,35,91,50,6,7,75,6,51.0,45.8,34.9,80.8,688,1452,1.47,0.92,2.39,1.32,2.24,1.34,0.92,2.26,1.21,2.13,2019-2020
Getafe,30,27.5,45.0,38,418,3420,38.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,1.11,0.82,1.92,0.95,1.76,1.09,0.73,1.83,0.95,1.69,30,27.2,55.0,38,418,3420,38.0,35,21,56,30,5,6,122,11,41.4,36.7,29.5,66.1,376,1089,0.92,0.55,1.47,0.79,1.34,1.09,0.78,1.87,0.96,1.74,2019-2020
Granada,27,26.8,43.8,38,418,3420,38.0,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,1.32,0.89,2.21,1.18,2.08,1.18,0.8,1.98,1.08,1.88,27,27.4,56.2,38,418,3420,38.0,45,37,82,41,4,5,116,7,42.6,38.6,33.1,71.7,672,1397,1.18,0.97,2.16,1.08,2.05,1.12,0.87,1.99,1.02,1.89,2019-2020
Leganés,29,26.9,43.9,38,418,3420,38.0,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,0.79,0.5,1.29,0.71,1.21,1.05,0.73,1.78,0.95,1.68,29,27.2,56.1,38,418,3420,38.0,50,34,84,44,6,7,105,5,42.8,37.4,29.7,67.1,632,1423,1.32,0.89,2.21,1.16,2.05,1.13,0.78,1.91,0.98,1.77,2019-2020
Levante,29,27.7,48.3,38,418,3420,38.0,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,1.18,0.74,1.92,1.05,1.79,1.27,0.95,2.22,1.16,2.12,29,27.2,51.7,38,418,3420,38.0,51,40,91,48,3,7,96,1,62.9,57.4,47.2,104.7,741,1499,1.34,1.05,2.39,1.26,2.32,1.65,1.24,2.9,1.51,2.75,2019-2020
Mallorca,32,26.8,45.0,38,418,3420,38.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,1.03,0.55,1.58,0.82,1.37,1.08,0.67,1.75,0.88,1.55,32,27.2,55.0,38,418,3420,38.0,64,39,103,49,15,16,118,4,63.5,51.2,43.2,94.4,774,1681,1.68,1.03,2.71,1.29,2.32,1.67,1.14,2.81,1.35,2.48,2019-2020
Osasuna,31,27.7,47.4,38,418,3420,38.0,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,1.21,0.68,1.89,1.0,1.68,1.3,0.91,2.21,1.14,2.04,31,27.0,52.6,38,418,3420,38.0,54,39,93,49,5,5,83,4,49.4,45.5,35.9,81.4,581,1311,1.42,1.03,2.45,1.29,2.32,1.3,0.94,2.24,1.2,2.14,2019-2020
Real Madrid,26,27.6,58.8,38,418,3420,38.0,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,1.82,1.37,3.18,1.53,2.89,1.79,1.31,3.1,1.56,2.87,26,27.0,41.2,38,418,3420,38.0,25,21,46,23,2,2,87,1,33.3,31.7,23.9,55.6,604,1211,0.66,0.55,1.21,0.61,1.16,0.88,0.63,1.51,0.83,1.46,2019-2020
Real Sociedad,27,24.8,56.2,38,418,3420,38.0,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,1.42,1.0,2.42,1.32,2.32,1.29,0.93,2.22,1.19,2.12,27,27.3,43.8,38,418,3420,38.0,47,33,80,40,7,9,101,7,43.0,36.0,27.7,63.7,546,1133,1.24,0.87,2.11,1.05,1.92,1.13,0.73,1.86,0.95,1.68,2019-2020
Sevilla,26,27.7,57.9,38,418,3420,38.0,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,1.39,0.92,2.32,1.21,2.13,1.4,1.01,2.41,1.26,2.27,26,27.2,42.1,38,418,3420,38.0,33,21,54,30,3,4,100,5,36.1,33.0,24.4,57.4,552,1138,0.87,0.55,1.42,0.79,1.34,0.95,0.64,1.59,0.87,1.51,2019-2020
Valencia,28,27.0,49.0,38,418,3420,38.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,1.18,0.89,2.08,1.05,1.95,1.14,0.83,1.97,0.98,1.81,28,27.1,51.0,38,418,3420,38.0,52,31,83,45,7,9,90,4,56.0,49.1,35.3,84.4,863,1698,1.37,0.82,2.18,1.18,2.0,1.47,0.93,2.4,1.29,2.22,2019-2020
Valladolid,30,27.1,44.7,38,418,3420,38.0,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,0.82,0.5,1.32,0.74,1.24,0.96,0.63,1.59,0.85,1.48,30,27.3,55.3,38,418,3420,38.0,43,26,69,36,7,8,95,4,54.5,48.4,38.7,87.1,797,1764,1.13,0.68,1.82,0.95,1.63,1.43,1.02,2.45,1.27,2.29,2019-2020
Villarreal,25,27.6,52.9,38,418,3420,38.0,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,1.63,1.05,2.68,1.37,2.42,1.67,1.13,2.81,1.45,2.59,25,27.2,47.1,38,418,3420,38.0,47,35,82,39,8,9,84,5,46.3,39.3,31.9,71.1,676,1465,1.24,0.92,2.16,1.03,1.95,1.22,0.84,2.06,1.03,1.87,2019-2020
Alavés,26,26.7,42.7,38,418,3420,38.0,39,27,66,37,2,3,101,1,41.1,38.8,29.0,67.8,511,1113,1.03,0.71,1.74,0.97,1.68,1.08,0.76,1.85,1.02,1.79,26,26.9,57.3,38,418,3420,38.0,48,31,79,42,6,6,93,2,53.2,48.6,36.6,85.2,714,1843,1.26,0.82,2.08,1.11,1.92,1.4,0.96,2.36,1.28,2.24,2018-2019
Athletic Club,27,27.6,50.0,38,418,3420,38.0,39,26,65,34,5,7,120,4,43.4,37.8,30.7,68.5,626,1452,1.03,0.68,1.71,0.89,1.58,1.14,0.81,1.95,0.99,1.8,27,27.2,50.0,38,418,3420,38.0,45,32,77,40,5,5,106,2,45.7,41.8,33.9,75.6,677,1317,1.18,0.84,2.03,1.05,1.89,1.2,0.89,2.09,1.1,1.99,2018-2019
